task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.8121122863390905
0,demo_0,98,0.5,49,0.4557142857142856
0,demo_0,98,0.3,29,0.9773399014778321
0,demo_0,98,0.15,15,0.9678571428571429
0,demo_1,84,1.0,84,0.7315581654348486
0,demo_1,84,0.5,42,0.7296815493071875
0,demo_1,84,0.3,25,0.4707692307692308
0,demo_1,84,0.15,13,0.7197802197802198
0,demo_10,93,1.0,93,0.8486914744412282
0,demo_10,93,0.5,46,0.4057354301572618
0,demo_10,93,0.3,28,0.7629994526546251
0,demo_10,93,0.15,14,0.7890109890109891
0,demo_11,128,1.0,128,0.7519323840827601
0,demo_11,128,0.5,64,0.6421547866124311
0,demo_11,128,0.3,38,0.7325746799431011
0,demo_11,128,0.15,19,0.8929824561403509
0,demo_12,86,1.0,86,0.85078541440634
0,demo_12,86,0.5,43,0.4628511023859861
0,demo_12,86,0.3,26,0.816068376068376
0,demo_12,86,0.15,13,0.5714285714285714
