task_id,demo,T,rho
0,demo_0,148,0.4049130626311835
0,demo_1,179,0.6296134526047839
0,demo_10,157,0.7891018922221051
0,demo_11,152,0.7197288117059302
0,demo_12,172,0.5608327850140205
0,demo_13,146,0.6541544156632895
0,demo_14,149,0.7427280972247416
0,demo_15,154,0.687785964825813
0,demo_16,155,0.6548064838387418
0,demo_17,154,0.5940790392403296
0,demo_18,152,0.6591590975881465
0,demo_19,157,0.6616699433759823
0,demo_2,136,0.6954391488955678
0,demo_20,154,0.5649441008074785
0,demo_21,163,0.5542171679385506
0,demo_22,146,0.6740169473552293
0,demo_23,161,0.7806303197607546
0,demo_24,177,0.8300085697962294
0,demo_25,143,0.6051413375357036
0,demo_26,136,0.7640284337579313
0,demo_27,154,0.7835826412676509
0,demo_28,136,0.4261581031439339
0,demo_29,175,0.6090371697268249
0,demo_3,146,0.6070218734636038
0,demo_30,155,0.5981373465244433
0,demo_31,179,0.5529617307973971
0,demo_32,153,0.6367556592014796
0,demo_33,152,0.696092100137371
0,demo_34,160,0.6395523262627447
0,demo_35,150,0.7150842259655985
0,demo_36,151,0.7173823631927501
0,demo_37,149,0.47029203700344646
0,demo_38,157,0.7898957448260038
0,demo_39,171,0.69281205750354
0,demo_4,153,0.6918398938522777
0,demo_40,137,0.6008176675938544
0,demo_41,151,0.737082607180202
0,demo_42,160,0.7566477206140865
0,demo_43,151,0.6269013593586615
0,demo_44,150,0.9266847415440685
0,demo_45,149,0.5725956829312534
0,demo_48,151,0.6048344370860926
0,demo_49,148,0.579468936132407
0,demo_5,150,0.8130974709987111
0,demo_6,156,0.7246100109054701
0,demo_7,153,0.7742853122110087
0,demo_9,141,0.6565734834539149
1,demo_0,139,0.5984851870056749
1,demo_10,132,0.7523127736064659
1,demo_11,162,0.6022953563631077
1,demo_12,133,0.6506972995582578
1,demo_13,142,0.6864106825149678
1,demo_14,157,0.5529431465092192
1,demo_15,130,0.7119010228188285
1,demo_16,119,0.7214855433698905
1,demo_17,144,0.6195321919459852
1,demo_18,177,0.45555392046536597
1,demo_19,127,0.6579431477315335
1,demo_2,125,0.8259047619047618
1,demo_20,123,0.5190891385381332
1,demo_21,147,0.6730462640443071
1,demo_22,125,0.7802211981566819
1,demo_23,140,0.5999737595941486
1,demo_24,127,0.6157374859392575
1,demo_25,131,0.810569583088667
1,demo_26,138,0.8046937251848789
1,demo_27,121,0.722883078173689
1,demo_28,140,0.6637773064223395
1,demo_29,178,0.5470636611914305
1,demo_3,133,0.6985909889098182
1,demo_30,171,0.4558979528163775
1,demo_31,151,0.591084001394214
1,demo_32,172,0.528740186263481
1,demo_33,145,0.6010352700362148
1,demo_34,127,0.6047349550056242
1,demo_35,139,0.7169980785557888
1,demo_36,141,0.6722119953765143
1,demo_37,135,0.5907960199004976
1,demo_38,130,0.7456308293162545
1,demo_39,164,0.47395970780678237
1,demo_4,127,0.7290612110986127
1,demo_40,151,0.6831822934820494
1,demo_41,136,0.6969657936167167
1,demo_42,139,0.6908038786362214
1,demo_43,142,0.6590170392987296
1,demo_44,137,0.6415657027647618
1,demo_45,163,0.5952416579380518
1,demo_46,135,0.7368403082626086
1,demo_47,156,0.5799086469314535
1,demo_48,137,0.6792008139339518
1,demo_49,128,0.7326039186962094
1,demo_5,156,0.6990659227766274
1,demo_6,168,0.5483724014355061
1,demo_7,141,0.621353653837921
1,demo_8,176,0.6275720889280212
1,demo_9,150,0.6737134983777057
2,demo_0,137,0.4454841600238953
2,demo_1,124,0.6980393391030684
2,demo_10,163,0.4990828026889676
2,demo_11,167,0.6701485153617035
2,demo_12,122,0.49815776168871295
2,demo_13,139,0.6896912283837525
2,demo_14,124,0.7745900865460267
2,demo_15,125,0.6192933947772656
2,demo_16,134,0.7919275801443909
2,demo_17,128,0.5985968687053652
2,demo_18,124,0.6933375295043273
2,demo_19,128,0.6131260300311298
2,demo_2,129,0.7751900715563508
2,demo_20,145,0.6013856085655801
2,demo_21,123,0.6633669112999961
2,demo_22,135,0.7117061750073165
2,demo_23,121,0.9201734182360112
2,demo_24,131,0.6974643676933753
2,demo_25,177,0.6063909904606916
2,demo_26,129,0.7129807692307694
2,demo_27,128,0.57417368613807
2,demo_28,128,0.7828351034609045
2,demo_29,126,0.7979212598425197
2,demo_3,125,0.550574500768049
2,demo_30,149,0.7490658443678578
2,demo_31,126,0.8023607049118862
2,demo_32,122,0.5246992112246011
2,demo_33,124,0.684317859952793
2,demo_34,132,0.7987352141630966
2,demo_35,123,0.705582283215746
2,demo_36,128,0.7762944057864859
2,demo_37,132,0.5258044486650352
2,demo_38,133,0.6712235133287764
2,demo_39,136,0.7099947521587711
2,demo_40,116,0.6987813785414985
2,demo_41,120,0.6105215639974998
2,demo_42,124,0.7462659323367427
2,demo_43,125,0.7127311827956987
2,demo_44,126,0.5955125609298838
2,demo_45,115,0.7103132644204214
2,demo_46,118,0.42820622381938434
2,demo_47,129,0.5612813059033991
2,demo_48,129,0.7961147137745976
2,demo_49,134,0.7955036845845959
2,demo_5,118,0.7747417089391168
2,demo_6,126,0.5666861642294714
2,demo_7,124,0.6337686860739575
2,demo_8,134,0.5015149814835597
2,demo_9,170,0.4920133609345327
3,demo_0,134,0.2300352872230327
3,demo_1,179,0.5713493607850522
3,demo_10,130,0.41981455434322473
3,demo_11,149,0.32312715399963726
3,demo_12,126,0.7245984251968505
3,demo_14,125,0.6091367127496159
3,demo_15,135,0.4070676031606673
3,demo_16,140,0.7085521856071376
3,demo_17,123,0.5323032077491584
3,demo_18,139,0.6865230796729076
3,demo_19,132,0.5258722795886315
3,demo_2,172,0.6431066239331357
3,demo_20,124,0.4749394177812745
3,demo_21,135,0.6049458589405913
3,demo_22,132,0.5320605469259546
3,demo_23,135,0.550053653302117
3,demo_24,135,0.8562579260559946
3,demo_25,166,0.546534095008231
3,demo_26,171,0.49158566731466147
3,demo_27,168,0.44992938889760636
3,demo_28,127,0.38661182977127856
3,demo_29,141,0.552095552035618
3,demo_3,136,0.7246743953055674
3,demo_31,162,0.4440902053598773
3,demo_32,131,0.47398174344739225
3,demo_33,134,0.6438110200875322
3,demo_34,134,0.5284080848888391
3,demo_35,162,0.230318913967887
3,demo_36,131,0.6970746810441467
3,demo_37,132,0.5378626997751144
3,demo_38,139,0.5701282452299029
3,demo_39,141,0.3683976197611199
3,demo_4,166,0.5429137344150692
3,demo_40,149,0.7119426809359696
3,demo_41,129,0.5271355098389984
3,demo_42,174,0.7925749594236738
3,demo_43,177,0.36972394868509895
3,demo_44,135,0.6428202126621794
3,demo_45,161,0.6144898780768346
3,demo_46,129,0.3925760286225403
3,demo_47,149,0.37340105205877017
3,demo_48,174,0.6654688345340128
3,demo_49,142,0.6291505916917964
3,demo_5,132,0.6659900966851549
3,demo_6,128,0.4903463193554293
3,demo_7,160,0.4912428219852338
3,demo_8,162,0.6891954256584825
3,demo_9,150,0.4452411218276368
4,demo_1,155,0.3018110921336728
4,demo_10,160,0.25166705730692607
4,demo_11,148,0.21499091201871645
4,demo_12,162,0.3574187684617133
4,demo_13,150,0.38498955509133737
4,demo_14,141,0.21499636114559695
4,demo_15,144,0.39375452134072825
4,demo_16,150,0.5296608738166141
4,demo_18,179,0.695880149812734
4,demo_19,156,0.43619035577120635
4,demo_2,137,0.09368174435753354
4,demo_21,141,0.14366625283616594
4,demo_22,142,0.3038175489479056
4,demo_23,136,0.40023853823767946
4,demo_24,152,0.27756819005050604
4,demo_25,150,0.45404506866971867
4,demo_26,148,0.36601428164227784
4,demo_27,152,0.4277844982538153
4,demo_28,135,0.36206223783045566
4,demo_3,136,0.16391393540384522
4,demo_30,159,0.44773405779794606
4,demo_32,159,0.4483341294482923
4,demo_33,162,0.4106421324346104
4,demo_34,158,0.40815292709158923
4,demo_35,156,0.4048553049580376
4,demo_36,141,0.3398647202363115
4,demo_37,159,0.43721339861476005
4,demo_38,142,0.5433987648551628
4,demo_39,146,0.3687913863395102
4,demo_4,147,0.3647326387052415
4,demo_40,164,0.6124522193353555
4,demo_41,160,0.4409849994140396
4,demo_42,141,0.07871912325013912
4,demo_43,148,0.33590363408196583
4,demo_44,142,0.36811884549373314
4,demo_45,160,0.6268750732450487
4,demo_47,163,0.5817580261692187
4,demo_48,144,0.44297484125070336
4,demo_49,157,0.2894523037230447
4,demo_6,150,0.18633894839770657
4,demo_7,151,0.42218891599860575
4,demo_8,148,0.4590855750970804
4,demo_9,149,0.2482350807183022
5,demo_0,132,0.7816157326000636
5,demo_1,160,0.7422653228641743
5,demo_10,177,0.8398659995498694
5,demo_11,133,0.8605043817141224
5,demo_12,136,0.7689184676303611
5,demo_13,135,0.5980636035508732
5,demo_15,146,0.7711008068791996
5,demo_16,142,0.8357429205496332
5,demo_17,145,0.6827704298535663
5,demo_18,157,0.9014289346870173
5,demo_19,150,0.7152406773634384
5,demo_2,127,0.8487532808398949
5,demo_20,135,0.8740708223587943
5,demo_21,137,0.5768290178654768
5,demo_23,170,0.7740096848455983
5,demo_25,131,0.8555170020818876
5,demo_26,161,0.6673395445134577
5,demo_27,130,0.9004547378770704
5,demo_28,127,0.8918260217472814
5,demo_29,157,0.5314998232437562
5,demo_3,177,0.5129347656723395
5,demo_30,146,0.6377199155524279
5,demo_31,129,0.8783038908765655
5,demo_32,148,0.6921821150009071
5,demo_33,139,0.5782251217659412
5,demo_34,140,0.8928035686951958
5,demo_35,140,0.7452843803984169
5,demo_36,139,0.766097680861522
5,demo_37,165,0.7799134453557024
5,demo_38,157,0.882649359026042
5,demo_39,133,0.859657624386611
5,demo_4,133,0.8664877934320198
5,demo_40,162,0.5727199210794837
5,demo_41,137,0.6638742136016577
5,demo_42,156,0.6717674764109939
5,demo_43,177,0.7718767853742144
5,demo_44,133,0.7813733791738505
5,demo_45,147,0.7412674066294418
5,demo_46,149,0.675497914021404
5,demo_47,126,0.7964814398200225
5,demo_48,135,0.8476782752902158
5,demo_49,136,0.8489671294308477
5,demo_5,175,0.5848992386923422
5,demo_6,139,0.6658965994905939
5,demo_7,133,0.9377072260025913
5,demo_8,142,0.7316210909258557
5,demo_9,136,0.8559706120891178
6,demo_0,169,0.5509994530356521
6,demo_1,149,0.5793469980047161
6,demo_10,152,0.6132217962123852
6,demo_11,171,0.6113714758511888
6,demo_12,154,0.5931425942811143
6,demo_13,149,0.6262071467440595
6,demo_14,154,0.48427511767170217
6,demo_15,173,0.6240410511238534
6,demo_16,147,0.5807297372855103
6,demo_17,167,0.6491955847341463
6,demo_18,144,0.46105216622458006
6,demo_19,149,0.7147179394159261
6,demo_2,159,0.6533824934320517
6,demo_20,146,0.35743109714362836
6,demo_21,162,0.6544941084818385
6,demo_22,153,0.5979252945197217
6,demo_23,158,0.7184673823588023
6,demo_24,150,0.5747544335303792
6,demo_25,177,0.7529691314208549
6,demo_26,156,0.5124780705220401
6,demo_27,149,0.6551569018683113
6,demo_28,151,0.6583583130010455
