task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.7560838768497089
0,demo_0,98,0.5,49,0.32877551020408163
0,demo_0,98,0.3,29,0.3551724137931034
0,demo_0,98,0.15,15,0.9857142857142854
0,demo_1,84,1.0,84,0.7973676217474942
0,demo_1,84,0.5,42,0.7441050158009886
0,demo_1,84,0.3,25,0.4915384615384616
0,demo_1,84,0.15,13,0.9120879120879121
0,demo_10,93,1.0,93,0.690027155262451
0,demo_10,93,0.5,46,0.16053037311131668
0,demo_10,93,0.3,28,0.49589490968801314
0,demo_10,93,0.15,14,0.9296703296703297
0,demo_11,128,1.0,128,0.6920264145760849
0,demo_11,128,0.5,64,0.3586538461538461
0,demo_11,128,0.3,38,0.18306160411423567
0,demo_11,128,0.15,19,0.8736842105263157
0,demo_12,86,1.0,86,0.8754846926741827
0,demo_12,86,0.5,43,0.7056780428873453
0,demo_12,86,0.3,26,0.6813675213675212
0,demo_12,86,0.15,13,0.8406593406593407
0,demo_13,88,1.0,88,0.8211405022718469
0,demo_13,88,0.5,44,0.6830162085976039
0,demo_13,88,0.3,26,0.5452991452991452
0,demo_13,88,0.15,13,0.9120879120879121
0,demo_14,112,1.0,112,0.7877985444357126
0,demo_14,112,0.5,56,0.9408065618591935
0,demo_14,112,0.3,34,0.9868601986249044
0,demo_14,112,0.15,17,0.9779411764705883
0,demo_15,84,1.0,84,0.8834463906044348
0,demo_15,84,0.5,42,0.6408718904464793
0,demo_15,84,0.3,25,0.7184615384615384
0,demo_15,84,0.15,13,0.8406593406593407
0,demo_16,89,1.0,89,0.8789751447054819
0,demo_16,89,0.5,44,0.744890768146582
0,demo_16,89,0.3,27,0.7808302808302808
0,demo_16,89,0.15,13,0.4450549450549451
0,demo_17,97,1.0,97,0.940524405638544
0,demo_17,97,0.5,48,0.8760312635692575
0,demo_17,97,0.3,29,0.7866995073891624
0,demo_17,97,0.15,15,0.6142857142857142
0,demo_18,75,1.0,75,0.9194879089615932
0,demo_18,75,0.5,38,0.7505197505197505
0,demo_18,75,0.3,22,0.0852625635234331
0,demo_18,75,0.15,11,0.4272727272727273
0,demo_19,99,1.0,99,0.8407421150278294
0,demo_19,99,0.5,50,0.23351740696278508
0,demo_19,99,0.3,30,0.4794215795328142
0,demo_19,99,0.15,15,0.9571428571428571
0,demo_2,90,1.0,90,0.873795118738939
0,demo_2,90,0.5,45,0.9101449275362318
0,demo_2,90,0.3,27,0.9383394383394383
0,demo_2,90,0.15,14,0.6615384615384616
0,demo_20,87,1.0,87,0.9049719326383319
0,demo_20,87,0.5,44,0.6420014094432699
0,demo_20,87,0.3,26,0.8871794871794871
0,demo_20,87,0.15,13,0.8956043956043955
0,demo_21,121,1.0,121,0.3333491396829697
0,demo_21,121,0.5,60,0.13548207835509865
0,demo_21,121,0.3,36,0.8507078507078508
0,demo_21,121,0.15,18,0.8658410732714137
0,demo_22,96,1.0,96,0.8594818231144872
0,demo_22,96,0.5,48,0.37993920972644374
0,demo_22,96,0.3,29,0.4039408866995073
0,demo_22,96,0.15,14,1.0
0,demo_23,85,1.0,85,0.9303888997459449
0,demo_23,85,0.5,42,0.8834778381006402
0,demo_23,85,0.3,26,0.7887179487179486
0,demo_23,85,0.15,13,0.7802197802197801
0,demo_24,100,1.0,100,0.7402700270027002
0,demo_24,100,0.5,50,0.4987755102040816
0,demo_24,100,0.3,30,0.6978865406006673
0,demo_24,100,0.15,15,0.9678571428571429
0,demo_25,91,1.0,91,0.8594999203694856
0,demo_25,91,0.5,46,0.6632747456059205
0,demo_25,91,0.3,27,0.9829059829059829
0,demo_25,91,0.15,14,0.9208791208791209
0,demo_26,105,1.0,105,0.49787476674269127
0,demo_26,105,0.5,52,-0.12379407495944675
0,demo_26,105,0.3,32,0.3720674486803519
0,demo_26,105,0.15,16,0.9382352941176471
0,demo_27,113,1.0,113,0.7735627786279861
0,demo_27,113,0.5,56,0.1927546138072454
0,demo_27,113,0.3,34,0.6913674560733384
0,demo_27,113,0.15,17,0.8848039215686275
0,demo_28,92,1.0,92,0.6918761462940985
0,demo_28,92,0.5,46,0.7539315448658649
0,demo_28,92,0.3,28,0.571975916803503
0,demo_28,92,0.15,14,1.0
0,demo_29,124,1.0,124,0.6078678206136899
0,demo_29,124,0.5,62,0.8335473798191937
0,demo_29,124,0.3,37,0.9551920341394023
0,demo_29,124,0.15,19,0.9736842105263157
0,demo_3,97,1.0,97,0.7918945928887018
0,demo_3,97,0.5,48,0.2803951367781155
0,demo_3,97,0.3,29,0.40689655172413786
0,demo_3,97,0.15,15,0.9785714285714284
0,demo_30,127,1.0,127,0.9405464941882263
0,demo_30,127,0.5,64,0.8575091575091575
0,demo_30,127,0.3,38,0.7465805886858519
0,demo_30,127,0.15,19,0.29473684210526313
0,demo_31,151,1.0,151,0.87392471244336
0,demo_31,151,0.5,76,0.31991797676008205
0,demo_31,151,0.3,45,0.28353096179183135
0,demo_31,151,0.15,23,0.8231225296442688
0,demo_32,93,1.0,93,0.827758049595655
0,demo_32,93,0.5,46,0.4754239901325933
0,demo_32,93,0.3,28,0.7296113847837985
0,demo_32,93,0.15,14,0.7362637362637363
0,demo_33,111,1.0,111,0.8418831168831168
0,demo_33,111,0.5,56,-0.007723855092276145
0,demo_33,111,0.3,33,0.3602941176470589
0,demo_33,111,0.15,17,0.9362745098039217
0,demo_35,89,1.0,89,0.886346612189309
0,demo_35,89,0.5,44,0.6255109231853417
0,demo_35,89,0.3,27,0.9487179487179487
0,demo_35,89,0.15,13,0.9285714285714285
0,demo_36,102,1.0,102,0.8093197098122149
0,demo_36,102,0.5,51,0.7889592760180996
0,demo_36,102,0.3,31,0.7620967741935485
0,demo_36,102,0.15,15,0.8214285714285712
0,demo_38,89,1.0,89,0.8669901259788902
0,demo_38,89,0.5,44,0.9099365750528541
0,demo_38,89,0.3,27,0.876068376068376
0,demo_38,89,0.15,13,0.8406593406593407
0,demo_39,108,1.0,108,0.8076824144731201
0,demo_39,108,0.5,54,0.8377739660758529
0,demo_39,108,0.3,32,0.9582111436950146
0,demo_39,108,0.15,16,0.8176470588235294
0,demo_4,105,1.0,105,0.7339104291934481
0,demo_4,105,0.5,52,0.2739690941688722
0,demo_4,105,0.3,32,0.6096041055718474
0,demo_4,105,0.15,16,0.9529411764705882
0,demo_40,95,1.0,95,0.7064529675251959
0,demo_40,95,0.5,48,0.40067303517151537
0,demo_40,95,0.3,28,0.5949644225506295
0,demo_40,95,0.15,14,0.8021978021978022
0,demo_41,95,1.0,95,0.9054591265397537
0,demo_41,95,0.5,48,0.4356274424663482
0,demo_41,95,0.3,28,0.30268199233716475
0,demo_41,95,0.15,14,0.9340659340659341
0,demo_42,109,1.0,109,0.8666852006301549
0,demo_42,109,0.5,54,0.8231370306842004
0,demo_42,109,0.3,33,0.857620320855615
0,demo_42,109,0.15,16,0.8088235294117646
0,demo_43,96,1.0,96,0.9258681497558329
0,demo_43,96,0.5,48,0.8024316109422492
0,demo_43,96,0.3,29,0.6231527093596056
0,demo_43,96,0.15,14,0.8109890109890111
0,demo_44,88,1.0,88,0.865820154274242
0,demo_44,88,0.5,44,0.719520789288231
0,demo_44,88,0.3,26,0.9309401709401708
0,demo_44,88,0.15,13,0.8131868131868131
0,demo_45,90,1.0,90,0.9538379223772481
0,demo_45,90,0.5,45,0.8411067193675889
0,demo_45,90,0.3,27,0.7942612942612942
0,demo_45,90,0.15,14,0.6307692307692307
0,demo_46,85,1.0,85,0.8094195817862029
0,demo_46,85,0.5,42,0.30751154687626614
0,demo_46,85,0.3,26,0.3716239316239316
0,demo_46,85,0.15,13,0.8186813186813187
0,demo_47,92,1.0,92,0.8781499005902932
0,demo_47,92,0.5,46,0.8379278445883441
0,demo_47,92,0.3,28,0.9425287356321838
0,demo_47,92,0.15,14,0.7054945054945055
0,demo_48,96,1.0,96,0.6008545849158979
0,demo_48,96,0.5,48,0.008575770733825445
