task_id,demo,T_full,fraction,T_used,rho
0,demo_0,138,1.0,138,0.9086872044731714
0,demo_0,138,0.5,69,0.6133357690902449
0,demo_0,138,0.3,41,0.8890243902439027
0,demo_0,138,0.15,21,0.9350649350649349
0,demo_1,138,1.0,138,0.890426471897696
0,demo_1,138,0.5,69,0.3434782608695653
0,demo_1,138,0.3,41,0.8681184668989548
0,demo_1,138,0.15,21,0.9714285714285713
0,demo_10,130,1.0,130,0.9005202856791706
0,demo_10,130,0.5,65,0.47989510489510484
0,demo_10,130,0.3,39,0.975506072874494
0,demo_10,130,0.15,20,0.9984962406015038
0,demo_11,127,1.0,127,0.972558117735283
0,demo_11,127,0.5,64,0.8934981684981685
0,demo_11,127,0.3,38,0.9525112156691103
0,demo_11,127,0.15,19,0.9421052631578948
0,demo_12,138,1.0,138,0.8164017817799075
0,demo_12,138,0.5,69,0.42619656558275487
0,demo_12,138,0.3,41,0.9444250871080141
0,demo_12,138,0.15,21,0.9896103896103896
0,demo_13,128,1.0,128,0.9258778154184215
0,demo_13,128,0.5,64,0.48241758241758237
0,demo_13,128,0.3,38,0.8498741656636394
0,demo_13,128,0.15,19,0.9894736842105263
0,demo_14,128,1.0,128,0.9212369529390221
0,demo_14,128,0.5,64,0.5915293040293039
0,demo_14,128,0.3,38,0.860159754896597
0,demo_14,128,0.15,19,0.9842105263157893
0,demo_15,140,1.0,140,0.8951914456276926
0,demo_15,140,0.5,70,0.3966232175662672
0,demo_15,140,0.3,42,0.8876914350538855
0,demo_15,140,0.15,21,0.9883116883116884
0,demo_16,185,1.0,185,0.7816610439331338
0,demo_16,185,0.5,92,0.23018356117935357
0,demo_16,185,0.3,56,-0.1014354066985646
0,demo_16,185,0.15,28,0.9540229885057472
0,demo_17,195,1.0,195,0.716339477900597
0,demo_17,195,0.5,98,0.11315979062665364
0,demo_17,195,0.3,58,0.25891291642314435
0,demo_17,195,0.15,29,0.7960591133004924
0,demo_18,126,1.0,126,0.9295088113985752
0,demo_18,126,0.5,63,0.7045890937019971
0,demo_18,126,0.3,38,0.7991027464711675
0,demo_18,126,0.15,19,0.9456140350877192
0,demo_19,127,1.0,127,0.8888029621297338
0,demo_19,127,0.5,64,0.5737637362637362
0,demo_19,127,0.3,38,0.8192362402888719
0,demo_19,127,0.15,19,0.9105263157894736
0,demo_2,151,1.0,151,0.6954688044614847
0,demo_2,151,0.5,76,0.483444976076555
0,demo_2,151,0.3,45,0.9150197628458496
0,demo_2,151,0.15,23,0.9683794466403162
0,demo_20,116,1.0,116,0.9036020451312806
0,demo_20,116,0.5,58,0.6078009166692302
0,demo_20,116,0.3,35,0.9145658263305323
0,demo_20,116,0.15,17,0.9779411764705883
0,demo_21,128,1.0,128,0.9067364035890862
0,demo_21,128,0.5,64,0.6383241758241758
0,demo_21,128,0.3,38,0.9715504978662874
0,demo_21,128,0.15,19,0.9122807017543859
0,demo_22,129,1.0,129,0.9141882826475852
0,demo_22,129,0.5,64,0.600686813186813
0,demo_22,129,0.3,39,0.9811740890688259
0,demo_22,129,0.15,19,0.9649122807017543
0,demo_23,137,1.0,137,0.9385722553064386
0,demo_23,137,0.5,68,0.6248425392220482
0,demo_23,137,0.3,41,0.8027874564459933
0,demo_23,137,0.15,21,0.9779220779220777
0,demo_24,153,1.0,153,0.9364855990242986
0,demo_24,153,0.5,76,0.6104716336295284
0,demo_24,153,0.3,46,0.8751773049645388
0,demo_24,153,0.15,23,0.9901185770750988
