task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.414682179782851
0,demo_0,148,0.5,74,0.8956238430211031
0,demo_0,148,0.3,44,0.7076814658210007
0,demo_0,148,0.15,22,0.9830604178430267
0,demo_1,179,1.0,179,0.7041303119703722
0,demo_1,179,0.5,90,0.9363707453595094
0,demo_1,179,0.3,54,0.9544120449780825
0,demo_1,179,0.15,27,0.9633699633699633
0,demo_10,157,1.0,157,0.7344532030091976
0,demo_10,157,0.5,78,0.8995182033156717
0,demo_10,157,0.3,47,0.6710222016651249
0,demo_10,157,0.15,24,0.8721739130434782
0,demo_11,152,1.0,152,0.616348526165433
0,demo_11,152,0.5,76,0.8474914559125085
0,demo_11,152,0.3,46,0.6630280604378661
0,demo_11,152,0.15,23,0.9920948616600791
0,demo_12,172,1.0,172,0.46280980041177006
0,demo_12,172,0.5,86,0.8044624746450304
0,demo_12,172,0.3,52,0.8411167079313583
0,demo_12,172,0.15,26,0.8365811965811965
0,demo_13,146,1.0,146,0.7198461434644714
0,demo_13,146,0.5,73,0.869461927681106
0,demo_13,146,0.3,44,0.9585623678646934
0,demo_13,146,0.15,22,0.9819311123658953
0,demo_14,149,1.0,149,0.7575403591510974
0,demo_14,149,0.5,74,0.9086264346538317
0,demo_14,149,0.3,45,0.8216073781291171
0,demo_14,149,0.15,22,0.9525691699604744
0,demo_15,154,1.0,154,0.7856658205804317
0,demo_15,154,0.5,77,0.9249434775750565
0,demo_15,154,0.3,46,0.7399938328707986
0,demo_15,154,0.15,23,0.9209486166007905
0,demo_16,155,1.0,155,0.47684895749411876
0,demo_16,155,0.5,78,0.9260486349093944
0,demo_16,155,0.3,46,0.9002158495220475
0,demo_16,155,0.15,23,0.7638339920948617
0,demo_17,154,1.0,154,0.768435233330869
0,demo_17,154,0.5,77,0.8829854356170145
0,demo_17,154,0.3,46,0.7671292013567683
0,demo_17,154,0.15,23,0.6897233201581028
0,demo_18,152,1.0,152,0.6645309221632186
0,demo_18,152,0.5,76,0.9556527682843472
0,demo_18,152,0.3,46,0.8792476102374345
0,demo_18,152,0.15,23,0.9664031620553359
0,demo_19,157,1.0,157,0.732493379393323
0,demo_19,157,0.5,78,0.9057145386259311
0,demo_19,157,0.3,47,0.8364939870490287
0,demo_19,157,0.15,24,0.8486956521739129
0,demo_2,136,1.0,136,0.6074567053098612
0,demo_2,136,0.5,68,0.9119364812764819
0,demo_2,136,0.3,41,0.9496515679442511
0,demo_2,136,0.15,20,0.6240601503759398
0,demo_20,154,1.0,154,0.555812941012182
0,demo_20,154,0.5,77,0.9262053735737945
0,demo_20,154,0.3,46,0.8794942954054886
0,demo_20,154,0.15,23,0.6571146245059288
0,demo_21,163,1.0,163,0.49709877466872826
0,demo_21,163,0.5,82,0.8197233377956271
0,demo_21,163,0.3,49,0.7995918367346939
0,demo_21,163,0.15,24,0.8817391304347826
0,demo_22,146,1.0,146,0.16759003170650852
0,demo_22,146,0.5,73,0.683728248796742
0,demo_22,146,0.3,44,0.7322057787174066
0,demo_22,146,0.15,22,0.9830604178430267
0,demo_23,161,1.0,161,0.6377501725327813
0,demo_23,161,0.5,80,0.7028832630098453
0,demo_23,161,0.3,48,0.2264437689969605
0,demo_23,161,0.15,24,0.9208695652173912
0,demo_24,177,1.0,177,0.5786040754142069
0,demo_24,177,0.5,88,0.7455003346130817
0,demo_24,177,0.3,53,0.21948072891469114
0,demo_24,177,0.15,27,0.71001221001221
0,demo_25,143,1.0,143,0.6332405857053743
0,demo_25,143,0.5,72,0.9659463631101679
0,demo_25,143,0.3,43,0.9489580187254606
0,demo_25,143,0.15,21,0.996103896103896
0,demo_26,136,1.0,136,0.40329659844473065
0,demo_26,136,0.5,68,0.9161736076649996
0,demo_26,136,0.3,41,0.8773519163763068
0,demo_26,136,0.15,20,0.9864661654135337
0,demo_27,154,1.0,154,0.8886024791148132
0,demo_27,154,0.5,77,0.9658762290341237
0,demo_27,154,0.3,46,0.9330249768732654
0,demo_27,154,0.15,23,0.9703557312252965
0,demo_28,136,1.0,136,0.5026954820857783
0,demo_28,136,0.5,68,0.8333396953849675
0,demo_28,136,0.3,41,0.9691637630662023
0,demo_28,136,0.15,20,0.8992481203007519
0,demo_29,175,1.0,175,0.8441155396327811
0,demo_29,175,0.5,88,0.8716846888098342
0,demo_29,175,0.3,52,0.8757790489200032
0,demo_29,175,0.15,26,0.7223931623931623
0,demo_3,146,1.0,146,0.5499252889630108
0,demo_3,146,0.5,73,0.9725718869554487
0,demo_3,146,0.3,44,0.9506694855532065
0,demo_3,146,0.15,22,0.9345002823263695
0,demo_30,155,1.0,155,0.46607908220811445
0,demo_30,155,0.5,78,0.8889970788704966
0,demo_30,155,0.3,46,0.8273203823620106
0,demo_30,155,0.15,23,0.7934782608695652
0,demo_31,179,1.0,179,0.5677128449772979
0,demo_31,179,0.5,90,0.8850063793884018
0,demo_31,179,0.3,54,0.6971983990851914
0,demo_31,179,0.15,27,0.738095238095238
0,demo_32,153,1.0,153,0.47077587015667505
0,demo_32,153,0.5,76,0.9385099111414901
0,demo_32,153,0.3,46,0.9109466543324082
0,demo_32,153,0.15,23,0.849802371541502
0,demo_33,152,1.0,152,0.7088860640108257
0,demo_33,152,0.5,76,0.9266165413533834
0,demo_33,152,0.3,46,0.7365402405180389
0,demo_33,152,0.15,23,0.9456521739130436
0,demo_34,160,1.0,160,0.6619448025313489
0,demo_34,160,0.5,80,0.9452883263009845
0,demo_34,160,0.3,48,0.8853669127225359
0,demo_34,160,0.15,24,0.8417391304347825
0,demo_35,150,1.0,150,0.3007938130583582
0,demo_35,150,0.5,75,0.8807681365576101
0,demo_35,150,0.3,45,0.8890645586297761
0,demo_35,150,0.15,22,0.989836250705816
0,demo_36,151,1.0,151,0.4720634367375392
0,demo_36,151,0.5,76,0.8610252904989747
0,demo_36,151,0.3,45,0.8499341238471673
0,demo_36,151,0.15,23,0.9130434782608695
0,demo_37,149,1.0,149,0.5723018320333757
0,demo_37,149,0.5,74,0.8706256941873379
0,demo_37,149,0.3,45,0.8275362318840579
0,demo_37,149,0.15,22,0.9457933370976851
0,demo_38,157,1.0,157,0.7523893102785306
0,demo_38,157,0.5,78,0.9344958838629723
0,demo_38,157,0.3,47,0.8857539315448659
0,demo_38,157,0.15,24,0.9843478260869565
0,demo_39,171,1.0,171,0.5821465428276574
0,demo_39,171,0.5,86,0.8760130194820509
0,demo_39,171,0.3,51,0.5169230769230769
0,demo_39,171,0.15,26,0.667008547008547
0,demo_4,153,1.0,153,0.6456415101925937
0,demo_4,153,0.5,76,0.8371838687628161
0,demo_4,153,0.3,46,0.45087881591119333
0,demo_4,153,0.15,23,0.7470355731225298
0,demo_40,137,1.0,137,0.6294220322213303
0,demo_40,137,0.5,68,0.9670191243272129
0,demo_40,137,0.3,41,0.9707317073170734
