task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.7953828204196391
0,demo_0,98,0.5,49,0.8313265306122448
0,demo_0,98,0.3,29,0.6674876847290638
0,demo_0,98,0.15,15,0.9892857142857142
0,demo_1,84,1.0,84,0.7570314872937126
0,demo_1,84,0.5,42,0.5131674904788915
0,demo_1,84,0.3,25,0.30153846153846153
0,demo_1,84,0.15,13,0.6923076923076923
0,demo_10,93,1.0,93,0.7855032675837784
0,demo_10,93,0.5,46,0.5232809127351218
0,demo_10,93,0.3,28,0.6081007115489874
0,demo_10,93,0.15,14,0.7142857142857143
0,demo_11,128,1.0,128,0.6501957059146676
0,demo_11,128,0.5,64,0.35206043956043953
0,demo_11,128,0.3,38,0.6428493270598534
0,demo_11,128,0.15,19,0.9350877192982456
0,demo_12,86,1.0,86,0.9068257936695127
0,demo_12,86,0.5,43,0.7316520688613711
0,demo_12,86,0.3,26,0.785982905982906
0,demo_12,86,0.15,13,0.8351648351648352
0,demo_13,88,1.0,88,0.9215244267549577
0,demo_13,88,0.5,44,0.7051444679351656
0,demo_13,88,0.3,26,0.30735042735042734
0,demo_13,88,0.15,13,0.4945054945054945
0,demo_14,112,1.0,112,0.8538029179622101
0,demo_14,112,0.5,56,0.9462747778537253
0,demo_14,112,0.3,34,0.9532467532467532
0,demo_14,112,0.15,17,0.7622549019607844
0,demo_15,84,1.0,84,0.8517971043839223
0,demo_15,84,0.5,42,0.5352078437727898
0,demo_15,84,0.3,25,0.4676923076923077
0,demo_15,84,0.15,13,0.6703296703296703
0,demo_16,89,1.0,89,0.8924412665985701
0,demo_16,89,0.5,44,0.7444679351656095
0,demo_16,89,0.3,27,0.905982905982906
0,demo_16,89,0.15,13,0.7747252747252747
0,demo_17,97,1.0,97,0.902522091310751
0,demo_17,97,0.5,48,0.7824576639166306
0,demo_17,97,0.3,29,0.8384236453201969
0,demo_17,97,0.15,15,0.5214285714285714
0,demo_18,75,1.0,75,0.9469132290184921
0,demo_18,75,0.5,38,0.8566582777109094
0,demo_18,75,0.3,22,0.8418972332015812
0,demo_18,75,0.15,11,0.6727272727272727
0,demo_19,99,1.0,99,0.7670500927643784
0,demo_19,99,0.5,50,0.2803841536614646
0,demo_19,99,0.3,30,0.6743047830923248
0,demo_19,99,0.15,15,0.8785714285714284
0,demo_2,90,1.0,90,0.9635675186236983
0,demo_2,90,0.5,45,0.8670619235836625
0,demo_2,90,0.3,27,0.8485958485958486
0,demo_2,90,0.15,14,0.43736263736263736
0,demo_20,87,1.0,87,0.9624188962601151
0,demo_20,87,0.5,44,0.8604651162790697
0,demo_20,87,0.3,26,0.7928205128205127
0,demo_20,87,0.15,13,0.8901098901098902
0,demo_21,121,1.0,121,0.4023303075464028
0,demo_21,121,0.5,60,-0.1160878021672687
0,demo_21,121,0.3,36,0.18069498069498072
0,demo_21,121,0.15,18,0.6016511867905057
0,demo_22,96,1.0,96,0.8432718393922951
0,demo_22,96,0.5,48,0.6301563178462875
0,demo_22,96,0.3,29,0.45862068965517233
0,demo_22,96,0.15,14,0.8945054945054945
0,demo_23,85,1.0,85,0.89828024232949
0,demo_23,85,0.5,42,0.7995300218782918
0,demo_23,85,0.3,26,0.7982905982905983
0,demo_23,85,0.15,13,0.6153846153846153
0,demo_24,100,1.0,100,0.7098349834983497
0,demo_24,100,0.5,50,0.5459303721488595
0,demo_24,100,0.3,30,0.45984427141268075
0,demo_24,100,0.15,15,0.9678571428571429
0,demo_25,91,1.0,91,0.9614906832298138
