task_id,demo,T_full,fraction,T_used,rho
0,demo_0,138,1.0,138,0.4386525689001321
0,demo_0,138,0.5,69,0.5277310924369748
0,demo_0,138,0.3,41,0.9808362369337981
0,demo_0,138,0.15,21,0.9623376623376624
0,demo_1,138,1.0,138,0.539851457456694
0,demo_1,138,0.5,69,0.34662038728534894
0,demo_1,138,0.3,41,0.9473867595818818
0,demo_1,138,0.15,21,0.9519480519480519
0,demo_10,130,1.0,130,0.32043862404238754
0,demo_10,130,0.5,65,0.2759615384615385
0,demo_10,130,0.3,39,0.8919028340080972
0,demo_10,130,0.15,20,0.837593984962406
0,demo_11,127,1.0,127,0.35368625796775405
0,demo_11,127,0.5,64,0.6161630036630036
0,demo_11,127,0.3,38,0.8198927672611882
0,demo_11,127,0.15,19,0.29298245614035084
0,demo_12,138,1.0,138,0.3138777457881362
0,demo_12,138,0.5,69,0.5142857142857143
0,demo_12,138,0.3,41,0.9310104529616726
0,demo_12,138,0.15,21,0.9454545454545454
0,demo_13,128,1.0,128,0.4186275407434536
0,demo_13,128,0.5,64,0.48873626373626367
0,demo_13,128,0.3,38,0.3239960608381661
0,demo_13,128,0.15,19,0.6964912280701754
0,demo_14,128,1.0,128,0.41788935176707565
0,demo_14,128,0.5,64,0.45260989010989006
0,demo_14,128,0.3,38,0.9093992778203305
0,demo_14,128,0.15,19,0.956140350877193
0,demo_15,140,1.0,140,0.30478231396645605
0,demo_15,140,0.5,70,0.0005073921791619281
0,demo_15,140,0.3,42,0.10072117332469005
0,demo_15,140,0.15,21,0.6571428571428571
0,demo_16,185,1.0,185,0.6005477426936052
0,demo_16,185,0.5,92,0.5662808439807037
0,demo_16,185,0.3,56,-0.23540669856459331
0,demo_16,185,0.15,28,0.8314176245210728
0,demo_17,195,1.0,195,0.32880447976176985
0,demo_17,195,0.5,98,0.6560513615005513
0,demo_17,195,0.3,58,0.5704574117936573
0,demo_17,195,0.15,29,0.9600985221674873
0,demo_18,126,1.0,126,0.3258342707161605
0,demo_18,126,0.5,63,0.38767281105990786
0,demo_18,126,0.3,38,0.9599518546886968
0,demo_18,126,0.15,19,0.9175438596491228
0,demo_19,127,1.0,127,0.3361279058867641
0,demo_19,127,0.5,64,0.5094322344322343
0,demo_19,127,0.3,38,0.9157457052193895
0,demo_19,127,0.15,19,0.8736842105263157
