task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.4298397015587466
0,demo_0,148,0.5,74,0.21865975564605697
0,demo_0,148,0.3,44,0.7079633544749823
0,demo_0,148,0.15,22,0.7131564088085828
0,demo_1,179,1.0,179,-0.05521627393984913
0,demo_1,179,0.5,90,0.40998477178252457
0,demo_1,179,0.3,54,0.2186773394320564
0,demo_1,179,0.15,27,0.37973137973137966
0,demo_10,157,1.0,157,-0.3884841667372017
0,demo_10,157,0.5,78,-0.23185675084409263
0,demo_10,157,0.3,47,-0.29937557816836263
0,demo_10,157,0.15,24,0.15043478260869564
0,demo_11,152,1.0,152,-0.13388748878751763
0,demo_11,152,0.5,76,0.0228298017771702
0,demo_11,152,0.3,46,0.3210089736023131
0,demo_11,152,0.15,23,0.8715415019762847
0,demo_12,172,1.0,172,0.3760729819332281
0,demo_12,172,0.5,86,0.34621444407755086
0,demo_12,172,0.3,52,0.43225475966874405
0,demo_12,172,0.15,26,0.6984615384615384
0,demo_13,146,1.0,146,0.19639882467298547
0,demo_13,146,0.5,73,0.35325152144949257
0,demo_13,146,0.3,44,0.4507399577167019
0,demo_13,146,0.15,22,0.7828297403383082
0,demo_14,149,1.0,149,0.1808982058740612
0,demo_14,149,0.5,74,0.37092928544983333
0,demo_14,149,0.3,45,0.42384716732542815
0,demo_14,149,0.15,22,0.707509881422925
0,demo_15,154,1.0,154,-0.2437650375523774
0,demo_15,154,0.5,77,0.14769441085230559
0,demo_15,154,0.3,46,0.02152328091273512
0,demo_15,154,0.15,23,-0.08596837944664032
0,demo_16,155,1.0,155,0.2853938685459569
0,demo_16,155,0.5,78,0.09063146114485304
0,demo_16,155,0.3,46,0.22886216466234968
0,demo_16,155,0.15,23,0.8428853754940712
0,demo_17,154,1.0,154,0.1814306097823047
0,demo_17,154,0.5,77,0.2903938167096062
0,demo_17,154,0.3,46,0.41079247610237435
0,demo_17,154,0.15,23,0.6432806324110673
0,demo_18,152,1.0,152,0.12671660904454846
0,demo_18,152,0.5,76,0.31748462064251537
0,demo_18,152,0.3,46,0.4666666666666667
0,demo_18,152,0.15,23,0.9120553359683794
0,demo_19,157,1.0,157,0.25545483370565797
0,demo_19,157,0.5,78,-0.006815968841285297
0,demo_19,157,0.3,47,0.275786308973173
0,demo_19,157,0.15,24,0.6895652173913043
0,demo_2,136,1.0,136,-0.20027455783917428
0,demo_2,136,0.5,68,0.022521662785815168
