task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.5776192388858072
0,demo_0,98,0.5,49,0.34673469387755096
0,demo_0,98,0.3,29,0.6403940886699506
0,demo_0,98,0.15,15,0.8428571428571429
0,demo_1,84,1.0,84,0.578333502075529
0,demo_1,84,0.5,42,0.5933878940118306
0,demo_1,84,0.3,25,0.14384615384615382
0,demo_1,84,0.15,13,0.7307692307692307
0,demo_10,93,1.0,93,0.6111127689415414
0,demo_10,93,0.5,46,0.540795559666975
0,demo_10,93,0.3,28,0.7274220032840722
0,demo_10,93,0.15,14,0.621978021978022
0,demo_11,128,1.0,128,0.33984160410181286
0,demo_11,128,0.5,64,-0.13749999999999998
0,demo_11,128,0.3,38,0.4754349491191596
0,demo_11,128,0.15,19,0.7842105263157895
0,demo_12,86,1.0,86,0.5286381433086467
0,demo_12,86,0.5,43,0.3038356991845364
0,demo_12,86,0.3,26,0.26017094017094017
0,demo_12,86,0.15,13,0.8076923076923077
0,demo_13,88,1.0,88,0.44008664717692236
0,demo_13,88,0.5,44,0.5037350246652572
0,demo_13,88,0.3,26,0.19863247863247863
0,demo_13,88,0.15,13,0.7252747252747254
0,demo_14,112,1.0,112,0.5995489800799535
0,demo_14,112,0.5,56,0.2870813397129187
0,demo_14,112,0.3,34,0.11810542398777693
0,demo_14,112,0.15,17,0.8725490196078433
0,demo_15,84,1.0,84,0.530869697276501
0,demo_15,84,0.5,42,0.05647840531561462
0,demo_15,84,0.3,25,0.1776923076923077
0,demo_15,84,0.15,13,0.5054945054945055
0,demo_16,89,1.0,89,0.26649642492339126
0,demo_16,89,0.5,44,0.05243128964059196
0,demo_16,89,0.3,27,0.6062271062271062
0,demo_16,89,0.15,13,0.7857142857142857
0,demo_17,97,1.0,97,0.793656637912897
0,demo_17,97,0.5,48,0.5305036908380373
0,demo_17,97,0.3,29,0.6325123152709358
0,demo_17,97,0.15,15,0.6321428571428571
0,demo_18,75,1.0,75,0.5598577524893315
0,demo_18,75,0.5,38,0.4513622934675567
0,demo_18,75,0.3,22,0.22303783173348396
0,demo_18,75,0.15,11,0.8454545454545455
0,demo_19,99,1.0,99,0.7726406926406926
0,demo_19,99,0.5,50,0.7109243697478992
0,demo_19,99,0.3,30,0.5724137931034483
0,demo_19,99,0.15,15,0.682142857142857
0,demo_2,90,1.0,90,0.5569329546857636
0,demo_2,90,0.5,45,0.3770750988142292
0,demo_2,90,0.3,27,0.2490842490842491
0,demo_2,90,0.15,14,0.18681318681318684
0,demo_20,87,1.0,87,0.71158052052198
0,demo_20,87,0.5,44,0.44763918252290347
0,demo_20,87,0.3,26,0.5637606837606838
0,demo_20,87,0.15,13,0.4505494505494505
0,demo_21,121,1.0,121,0.19416745698414845
0,demo_21,121,0.5,60,-0.14259516532370106
0,demo_21,121,0.3,36,0.32483912483912486
0,demo_21,121,0.15,18,0.8452012383900928
0,demo_22,96,1.0,96,0.1357569180683668
0,demo_22,96,0.5,48,-0.1350412505427703
0,demo_22,96,0.3,29,0.5423645320197044
0,demo_22,96,0.15,14,-0.21318681318681318
0,demo_23,85,1.0,85,0.6897987101817471
0,demo_23,85,0.5,42,0.06312292358803986
0,demo_23,85,0.3,26,-0.0858119658119658
0,demo_23,85,0.15,13,0.07142857142857142
0,demo_24,100,1.0,100,0.24316831683168313
0,demo_24,100,0.5,50,0.043745498199279705
0,demo_24,100,0.3,30,0.32413793103448274
0,demo_24,100,0.15,15,0.39999999999999997
0,demo_25,91,1.0,91,0.6202261506609332
0,demo_25,91,0.5,46,0.34394079555966695
0,demo_25,91,0.3,27,0.851037851037851
0,demo_25,91,0.15,14,0.6351648351648352
0,demo_26,105,1.0,105,-0.09429815467551317
0,demo_26,105,0.5,52,0.1134636728421412
0,demo_26,105,0.3,32,0.5964076246334311
0,demo_26,105,0.15,16,0.11176470588235293
0,demo_27,113,1.0,113,0.6123245059551534
0,demo_27,113,0.5,56,0.21763499658236504
0,demo_27,113,0.3,34,0.5544690603514133
0,demo_27,113,0.15,17,0.9509803921568628
0,demo_28,92,1.0,92,0.033660589060308554
0,demo_28,92,0.5,46,0.0343509096515572
0,demo_28,92,0.3,28,0.22003284072249588
0,demo_28,92,0.15,14,0.389010989010989
0,demo_29,124,1.0,124,0.41008969315499605
0,demo_29,124,0.5,62,0.35242124348417314
0,demo_29,124,0.3,37,0.6197249881460406
0,demo_29,124,0.15,19,0.956140350877193
0,demo_3,97,1.0,97,-0.18509362507889754
0,demo_3,97,0.5,48,0.22818063395570992
0,demo_3,97,0.3,29,0.7310344827586206
0,demo_3,97,0.15,15,-0.06785714285714285
0,demo_30,127,1.0,127,0.4620594300712411
