task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.5908504066055518
0,demo_0,98,0.5,49,0.23367346938775507
0,demo_0,98,0.3,29,0.2635467980295566
0,demo_0,98,0.15,15,0.8285714285714284
0,demo_1,84,1.0,84,0.6022203210582433
0,demo_1,84,0.5,42,0.6823596142938174
0,demo_1,84,0.3,25,0.5515384615384615
0,demo_1,84,0.15,13,0.2802197802197803
0,demo_10,93,1.0,93,0.24203336976597672
0,demo_10,93,0.5,46,-0.42658032685784764
0,demo_10,93,0.3,28,-0.3470169677066229
0,demo_10,93,0.15,14,0.389010989010989
0,demo_11,128,1.0,128,0.3754898019623102
0,demo_11,128,0.5,64,0.04152930402930402
0,demo_11,128,0.3,38,-0.16533537586169164
0,demo_11,128,0.15,19,0.45789473684210524
0,demo_12,86,1.0,86,0.276467175186694
0,demo_12,86,0.5,43,-0.19903352461491997
0,demo_12,86,0.3,26,-0.022905982905982905
0,demo_12,86,0.15,13,0.532967032967033
0,demo_13,88,1.0,88,0.5619146997108975
0,demo_13,88,0.5,44,0.38520084566596197
0,demo_13,88,0.3,26,-0.042735042735042736
0,demo_13,88,0.15,13,0.17032967032967034
0,demo_14,112,1.0,112,0.4306694200590254
0,demo_14,112,0.5,56,0.5569377990430622
0,demo_14,112,0.3,34,0.6941176470588234
0,demo_14,112,0.15,17,0.7671568627450981
0,demo_15,84,1.0,84,0.6913976480682298
0,demo_15,84,0.5,42,0.3896766874645491
0,demo_15,84,0.3,25,0.4038461538461539
0,demo_15,84,0.15,13,0.34615384615384615
0,demo_16,89,1.0,89,0.3145484956978425
0,demo_16,89,0.5,44,0.4066243833685694
0,demo_16,89,0.3,27,0.8766788766788767
0,demo_16,89,0.15,13,0.5879120879120878
0,demo_17,97,1.0,97,0.03840350306242829
0,demo_17,97,0.5,48,-0.040599218410768564
0,demo_17,97,0.3,29,-0.11871921182266006
0,demo_17,97,0.15,15,0.3714285714285714
0,demo_18,75,1.0,75,0.17463851094688476
0,demo_18,75,0.5,38,-0.0176168070904913
0,demo_18,75,0.3,22,0.10333145115753813
0,demo_18,75,0.15,11,0.8000000000000002
0,demo_19,99,1.0,99,0.39538155653113116
0,demo_19,99,0.5,50,0.375078031212485
0,demo_19,99,0.3,30,0.3668520578420467
0,demo_19,99,0.15,15,0.3428571428571428
0,demo_2,90,1.0,90,0.3469743053669975
0,demo_2,90,0.5,45,0.6101449275362317
0,demo_2,90,0.3,27,0.2509157509157509
0,demo_2,90,0.15,14,0.1912087912087912
0,demo_20,87,1.0,87,0.3467519626774834
0,demo_20,87,0.5,44,0.3664552501761804
0,demo_20,87,0.3,26,0.5411965811965811
0,demo_20,87,0.15,13,0.2692307692307692
0,demo_21,121,1.0,121,0.5065692540648691
0,demo_21,121,0.5,60,0.18632953598221733
0,demo_21,121,0.3,36,0.31969111969111974
0,demo_21,121,0.15,18,0.6656346749226005
0,demo_22,96,1.0,96,0.58219812194489
0,demo_22,96,0.5,48,0.5389709075119409
0,demo_22,96,0.3,29,0.45369458128078805
0,demo_22,96,0.15,14,0.45054945054945056
0,demo_23,85,1.0,85,-0.1757776811516052
0,demo_23,85,0.5,42,0.17753828701077706
0,demo_23,85,0.3,26,0.4379487179487179
0,demo_23,85,0.15,13,0.3516483516483516
0,demo_24,100,1.0,100,0.1795084893752135
0,demo_24,100,0.5,50,0.08283313325330133
0,demo_24,100,0.3,30,0.22224694104560622
0,demo_24,100,0.15,15,0.7178571428571427
0,demo_25,91,1.0,91,0.17957620303326982
0,demo_25,91,0.5,46,0.6007400555041628
0,demo_25,91,0.3,27,0.8278388278388277
0,demo_25,91,0.15,14,0.9648351648351648
0,demo_26,105,1.0,105,0.2317287780662408
0,demo_26,105,0.5,52,0.034491590540425165
0,demo_26,105,0.3,32,0.20491202346041054
0,demo_26,105,0.15,16,0.6294117647058822
0,demo_27,113,1.0,113,0.06040417776515521
0,demo_27,113,0.5,56,-0.15809979494190024
0,demo_27,113,0.3,34,0.2189457601222307
0,demo_27,113,0.15,17,0.7916666666666667
0,demo_28,92,1.0,92,0.4146880900211755
0,demo_28,92,0.5,46,0.15917360468701816
0,demo_28,92,0.3,28,0.2889983579638752
0,demo_28,92,0.15,14,0.8857142857142857
0,demo_29,124,1.0,124,0.6098168525843153
0,demo_29,124,0.5,62,0.7723552668026492
0,demo_29,124,0.3,37,0.48553816974869607
0,demo_29,124,0.15,19,-0.02982456140350877
0,demo_3,97,1.0,97,0.2646166388894969
0,demo_3,97,0.5,48,0.11354754667824576
0,demo_3,97,0.3,29,0.40788177339901466
0,demo_3,97,0.15,15,0.46071428571428563
0,demo_30,127,1.0,127,0.36331546932961806
0,demo_30,127,0.5,64,0.5498626373626373
0,demo_30,127,0.3,38,0.2484954590217748
0,demo_30,127,0.15,19,0.2912280701754386
0,demo_31,151,1.0,151,0.7407064662833643
0,demo_31,151,0.5,76,0.23308270676691728
0,demo_31,151,0.3,45,-0.09169960474308299
0,demo_31,151,0.15,23,0.11462450592885376
0,demo_32,93,1.0,93,0.3038491236075106
0,demo_32,93,0.5,46,0.06518655565834104
0,demo_32,93,0.3,28,-0.21784345922276957
0,demo_32,93,0.15,14,0.12967032967032965
0,demo_33,111,1.0,111,0.42230261122998075
0,demo_33,111,0.5,56,0.24559125085440878
0,demo_33,111,0.3,33,0.6788101604278076
