task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.581253307321054
0,demo_0,98,0.5,49,0.3385714285714286
0,demo_0,98,0.3,29,0.6270935960591133
0,demo_0,98,0.15,15,0.8607142857142854
0,demo_1,84,1.0,84,0.5949984813202389
0,demo_1,84,0.5,42,0.5916052183777653
0,demo_1,84,0.3,25,0.14384615384615382
0,demo_1,84,0.15,13,0.6923076923076923
0,demo_10,93,1.0,93,0.5967294321267642
0,demo_10,93,0.5,46,0.5319148936170213
0,demo_10,93,0.3,28,0.7334428024083197
0,demo_10,93,0.15,14,0.6043956043956044
0,demo_11,128,1.0,128,0.28515839589818714
0,demo_11,128,0.5,64,-0.1961996336996337
0,demo_11,128,0.3,38,0.4445781814202867
0,demo_11,128,0.15,19,0.6929824561403508
0,demo_12,86,1.0,86,0.5209774045945563
0,demo_12,86,0.5,43,0.3113862881304742
0,demo_12,86,0.3,26,0.23965811965811962
0,demo_12,86,0.15,13,0.8076923076923077
0,demo_13,88,1.0,88,0.44933253495826153
0,demo_13,88,0.5,44,0.5561663143058492
0,demo_13,88,0.3,26,0.20341880341880342
0,demo_13,88,0.15,13,0.7142857142857143
0,demo_14,112,1.0,112,0.5626815184337308
0,demo_14,112,0.5,56,0.28803827751196176
0,demo_14,112,0.3,34,-0.05179526355996945
0,demo_14,112,0.15,17,0.7696078431372549
0,demo_15,84,1.0,84,0.5247139819783335
0,demo_15,84,0.5,42,0.07754639008184103
0,demo_15,84,0.3,25,0.1676923076923077
0,demo_15,84,0.15,13,0.510989010989011
0,demo_16,89,1.0,89,0.10594143684031325
0,demo_16,89,0.5,44,0.06286116983791402
0,demo_16,89,0.3,27,0.6056166056166056
0,demo_16,89,0.15,13,0.8351648351648352
0,demo_17,97,1.0,97,0.778968546181359
0,demo_17,97,0.5,48,0.5432045158488927
0,demo_17,97,0.3,29,0.5911330049261082
0,demo_17,97,0.15,15,0.5214285714285714
0,demo_18,75,1.0,75,0.5657752489331437
0,demo_18,75,0.5,38,0.4579275631907211
0,demo_18,75,0.3,22,0.18690005646527386
0,demo_18,75,0.15,11,0.8272727272727273
0,demo_19,99,1.0,99,0.7521335807050094
0,demo_19,99,0.5,50,0.7176470588235294
0,demo_19,99,0.3,30,0.5599555061179087
0,demo_19,99,0.15,15,0.7178571428571427
0,demo_2,90,1.0,90,0.5662839033625551
0,demo_2,90,0.5,45,0.4297760210803689
0,demo_2,90,0.3,27,0.246031746031746
0,demo_2,90,0.15,14,0.16483516483516483
0,demo_20,87,1.0,87,0.7079536341765692
0,demo_20,87,0.5,44,0.4553911205073995
0,demo_20,87,0.3,26,0.5576068376068375
0,demo_20,87,0.15,13,0.43956043956043955
0,demo_21,121,1.0,121,0.19253488687169754
0,demo_21,121,0.5,60,-0.1520422339538761
0,demo_21,121,0.3,36,0.35727155727155735
0,demo_21,121,0.15,18,0.8452012383900928
0,demo_22,96,1.0,96,0.02616657623440043
0,demo_22,96,0.5,48,-0.12440295267042986
0,demo_22,96,0.3,29,0.5364532019704432
0,demo_22,96,0.15,14,-0.22637362637362637
0,demo_23,85,1.0,85,0.6869454758647645
0,demo_23,85,0.5,42,0.06604002917105584
0,demo_23,85,0.3,26,-0.1275213675213675
0,demo_23,85,0.15,13,-0.049450549450549455
0,demo_24,100,1.0,100,0.12763276327632764
0,demo_24,100,0.5,50,0.012244897959183673
0,demo_24,100,0.3,30,0.3010011123470523
0,demo_24,100,0.15,15,0.37857142857142856
0,demo_25,91,1.0,91,0.6091415830546265
0,demo_25,91,0.5,46,0.29916743755781683
0,demo_25,91,0.3,27,0.8394383394383393
0,demo_25,91,0.15,14,0.6043956043956044
0,demo_26,105,1.0,105,-0.20953763217914162
0,demo_26,105,0.5,52,0.09280286860753009
0,demo_26,105,0.3,32,0.5945747800586509
0,demo_26,105,0.15,16,0.10294117647058824
0,demo_27,113,1.0,113,0.560191962206401
0,demo_27,113,0.5,56,0.18571428571428575
0,demo_27,113,0.3,34,0.5144385026737968
0,demo_27,113,0.15,17,0.9509803921568628
0,demo_28,92,1.0,92,-0.07864926097745172
0,demo_28,92,0.5,46,0.03200740055504163
0,demo_28,92,0.3,28,0.24137931034482757
0,demo_28,92,0.15,14,0.3450549450549451
0,demo_29,124,1.0,124,0.39808025177025963
0,demo_29,124,0.5,62,0.32754148724534765
0,demo_29,124,0.3,37,0.6066856330014224
0,demo_29,124,0.15,19,0.9456140350877192
0,demo_3,97,1.0,97,-0.24848779718072794
0,demo_3,97,0.5,48,0.23046026921406862
0,demo_3,97,0.3,29,0.7453201970443348
0,demo_3,97,0.15,15,-0.075
0,demo_30,127,1.0,127,0.4721948818897637
0,demo_30,127,0.5,64,0.18443223443223442
0,demo_30,127,0.3,38,0.09246088193456614
0,demo_30,127,0.15,19,0.22982456140350876
0,demo_31,151,1.0,151,0.4058138724294179
0,demo_31,151,0.5,76,0.07182501708817499
0,demo_31,151,0.3,45,0.36429512516469037
0,demo_31,151,0.15,23,0.599802371541502
0,demo_32,93,1.0,93,0.7112888305332576
0,demo_32,93,0.5,46,0.23687943262411346
0,demo_32,93,0.3,28,0.5916803503010399
0,demo_32,93,0.15,14,0.4945054945054946
0,demo_33,111,1.0,111,0.6249210249210249
0,demo_33,111,0.5,56,0.24559125085440878
0,demo_33,111,0.3,33,0.7352941176470589
0,demo_33,111,0.15,17,0.9362745098039217
0,demo_35,89,1.0,89,0.6783792986040178
0,demo_35,89,0.5,44,0.2656800563777308
0,demo_35,89,0.3,27,0.6782661782661782
0,demo_35,89,0.15,13,0.9230769230769231
0,demo_36,102,1.0,102,0.5454817897552178
0,demo_36,102,0.5,51,0.43837104072398186
0,demo_36,102,0.3,31,0.4875
0,demo_36,102,0.15,15,0.807142857142857
0,demo_38,89,1.0,89,0.5228123935989105
0,demo_38,89,0.5,44,-0.001409443269908386
0,demo_38,89,0.3,27,0.46581196581196577
0,demo_38,89,0.15,13,0.35714285714285715
0,demo_39,108,1.0,108,0.4569340840454619
0,demo_39,108,0.5,54,-0.04661711454164284
0,demo_39,108,0.3,32,0.4105571847507331
0,demo_39,108,0.15,16,0.8617647058823529
0,demo_4,105,1.0,105,-0.03667841592369894
0,demo_4,105,0.5,52,-0.3973362930077691
0,demo_4,105,0.3,32,0.11986803519061583
0,demo_4,105,0.15,16,-0.2676470588235294
0,demo_40,95,1.0,95,0.5289753639417692
0,demo_40,95,0.5,48,0.43410768562744245
0,demo_40,95,0.3,28,0.3475643130815544
0,demo_40,95,0.15,14,0.5824175824175825
0,demo_41,95,1.0,95,0.6337765957446808
0,demo_41,95,0.5,48,0.31762917933130697
0,demo_41,95,0.3,28,0.45922276956759717
0,demo_41,95,0.15,14,0.49890109890109896
0,demo_42,109,1.0,109,0.4722453896765824
0,demo_42,109,0.5,54,-0.11667619592147892
0,demo_42,109,0.3,33,0.4983288770053476
0,demo_42,109,0.15,16,0.788235294117647
0,demo_43,96,1.0,96,0.10212967986977754
0,demo_43,96,0.5,48,-0.08000434216239687
0,demo_43,96,0.3,29,0.5891625615763546
0,demo_43,96,0.15,14,0.1076923076923077
0,demo_44,88,1.0,88,0.5661301116551021
0,demo_44,88,0.5,44,0.36152219873150104
0,demo_44,88,0.3,26,-0.04752136752136752
0,demo_44,88,0.15,13,-0.22527472527472525
0,demo_45,90,1.0,90,0.6858871465613038
0,demo_45,90,0.5,45,0.5715415019762845
0,demo_45,90,0.3,27,0.336996336996337
0,demo_45,90,0.15,14,0.3230769230769231
0,demo_46,85,1.0,85,0.5229431307406683
0,demo_46,85,0.5,42,0.1491775382870108
0,demo_46,85,0.3,26,0.10974358974358973
0,demo_46,85,0.15,13,0.8406593406593407
0,demo_47,92,1.0,92,0.5182713499684047
0,demo_47,92,0.5,46,0.07283379586802344
0,demo_47,92,0.3,28,0.6305418719211823
0,demo_47,92,0.15,14,0.9692307692307693
0,demo_48,96,1.0,96,0.4046663049376017
0,demo_48,96,0.5,48,0.0991098567086409
0,demo_48,96,0.3,29,0.6206896551724137
0,demo_48,96,0.15,14,0.9340659340659341
0,demo_49,92,1.0,92,-0.05892144321316831
0,demo_49,92,0.5,46,0.190872648781992
0,demo_49,92,0.3,28,0.6639299397920088
0,demo_49,92,0.15,14,0.5428571428571429
0,demo_5,134,1.0,134,0.521011483933715
0,demo_5,134,0.5,67,0.18229707079575388
0,demo_5,134,0.3,40,0.24690431519699815
0,demo_5,134,0.15,20,0.7233082706766917
0,demo_6,92,1.0,92,0.4913921982645685
0,demo_6,92,0.5,46,0.3018809744064138
