task_id,demo,T,rho
0,demo_0,148,0.5526423191219408
0,demo_1,179,0.6036974111230572
0,demo_10,157,0.6760332116202279
0,demo_11,152,0.649796505572126
0,demo_12,172,0.5991757512871997
0,demo_13,146,0.7563490043664668
0,demo_14,149,0.7333420400630156
0,demo_15,154,0.7020643733587285
0,demo_16,155,0.6583921388227935
0,demo_17,154,0.6200973083731465
0,demo_18,152,0.6452579088978595
0,demo_19,157,0.6032958863055156
0,demo_2,136,0.6823275157768267
0,demo_20,154,0.6392911915653728
0,demo_21,163,0.6512456304915203
0,demo_22,146,0.7097029191403278
0,demo_23,161,0.7052652086193836
0,demo_24,177,0.8169199556365861
0,demo_25,143,0.6261598630993629
0,demo_26,136,0.6319704021066644
0,demo_27,154,0.8016376313500247
0,demo_28,136,0.4830530104803841
0,demo_29,175,0.5899091859208709
0,demo_3,146,0.6222454443031941
0,demo_30,155,0.7280517161963498
0,demo_31,179,0.580132498831569
0,demo_32,153,0.5990090508937874
0,demo_33,152,0.7301291957900156
0,demo_34,160,0.6733969198954253
0,demo_35,150,0.5976816747410997
0,demo_36,151,0.7261904658193141
0,demo_37,149,0.6048031924541992
0,demo_38,157,0.6723006470991104
0,demo_39,171,0.6841597477142081
0,demo_4,153,0.6478964319988961
0,demo_40,137,0.6795150921180132
0,demo_41,151,0.6950587226548072
0,demo_42,160,0.7911106748963646
0,demo_43,151,0.5956632897591649
0,demo_44,150,0.7660816322188777
0,demo_45,149,0.5719968401894205
0,demo_48,151,0.5937288144463783
0,demo_49,148,0.5543062911657304
0,demo_5,150,0.819949419757509
0,demo_6,156,0.7086559540018554
0,demo_7,153,0.6457911538467026
0,demo_9,141,0.5487116259805663
1,demo_0,139,0.663287010143438
1,demo_10,132,0.7908469875862931
1,demo_11,162,0.5863792474475801
1,demo_12,133,0.7825587949515739
1,demo_13,142,0.7328074067047319
1,demo_14,157,0.6388099644085892
1,demo_15,130,0.7604002796742221
1,demo_16,119,0.8144779945876657
1,demo_17,144,0.6858016696829176
1,demo_18,177,0.4756366225418907
1,demo_19,127,0.6766615549850089
1,demo_2,125,0.8564494152905776
1,demo_20,123,0.6270737739574652
1,demo_21,147,0.6536770206046135
1,demo_22,125,0.7582561570764046
1,demo_23,140,0.8025789973753429
1,demo_24,127,0.661006224828907
1,demo_25,131,0.7671445672677616
1,demo_26,138,0.8371726654929041
1,demo_27,121,0.7958691164303452
1,demo_28,140,0.7072649923086954
1,demo_29,178,0.5965324966739642
1,demo_3,133,0.6781999242513806
1,demo_30,171,0.47948342720352816
1,demo_31,151,0.6859817758644778
1,demo_32,172,0.4925885375126582
1,demo_33,145,0.8477162955359944
1,demo_34,127,0.7456294525684288
1,demo_35,139,0.7884078305982934
1,demo_36,141,0.8364957644698116
1,demo_37,135,0.7266364257145645
1,demo_38,130,0.8270866847229575
1,demo_39,164,0.4754866152747659
1,demo_4,127,0.770874343832021
1,demo_40,151,0.7428396155802887
1,demo_41,136,0.5590020478616762
1,demo_42,139,0.789898543052472
1,demo_43,142,0.70525786374555
1,demo_44,137,0.7666007056583344
1,demo_45,163,0.5897766995542977
1,demo_46,135,0.7751335848564289
1,demo_47,156,0.5550936093106072
1,demo_48,137,0.6417554671671009
1,demo_49,128,0.7866387604137909
1,demo_5,156,0.6294821157917738
1,demo_6,168,0.6410116888101579
1,demo_7,141,0.7714965784010533
1,demo_8,176,0.6971407565768463
1,demo_9,150,0.7444344094138782
2,demo_0,137,0.8112345680502496
2,demo_1,124,0.7668253873378253
2,demo_10,163,0.6943027004715967
2,demo_11,167,0.6015245854666925
2,demo_12,122,0.7243266285487265
2,demo_13,139,0.9076622141993846
2,demo_14,124,0.7048152863113294
2,demo_15,125,0.7555868238964375
2,demo_16,134,0.8501224457250234
2,demo_17,128,0.8343974649757463
2,demo_18,124,0.8036802575623758
2,demo_19,128,0.8705345455405958
2,demo_2,129,0.7984604139454712
2,demo_20,145,0.7446307245603507
2,demo_21,123,0.7643463470169779
2,demo_22,135,0.6817554936960079
2,demo_23,121,0.8972700176127894
2,demo_24,131,0.9013449563501822
2,demo_25,177,0.7297537687858072
2,demo_26,129,0.7010017945200915
2,demo_27,128,0.8540012532116225
2,demo_28,128,0.8268872843914173
2,demo_29,126,0.8311973471285646
2,demo_3,125,0.7373037439390325
2,demo_30,149,0.8183519121642331
2,demo_31,126,0.7847414386645855
2,demo_32,122,0.7114212166373121
2,demo_33,124,0.8034656339930628
2,demo_34,132,0.8148299850442442
2,demo_35,123,0.7960170770401517
2,demo_36,128,0.829073450464161
2,demo_37,132,0.741070718128172
2,demo_38,133,0.7653819079584987
2,demo_39,136,0.8200105434175885
2,demo_40,116,0.6623136982084775
2,demo_41,120,0.811291795587208
2,demo_42,124,0.7983175425935022
2,demo_43,125,0.8740689309824919
2,demo_44,126,0.7537413047982948
2,demo_45,115,0.7811070407713471
2,demo_46,118,0.5608965111884832
2,demo_47,129,0.7370240860496314
2,demo_48,129,0.7981931920584927
2,demo_49,134,0.8350702627214803
2,demo_5,118,0.868009283523196
2,demo_6,126,0.7236445444319461
2,demo_7,124,0.8113403797655674
2,demo_8,134,0.7552531958107647
2,demo_9,170,0.7355968366076546
3,demo_0,134,0.7699650991902867
3,demo_1,179,0.6522196265352329
3,demo_10,130,0.8227095822693195
3,demo_11,149,0.7144870569339833
3,demo_12,126,0.8476545861443046
3,demo_14,125,0.8151827956989247
3,demo_15,135,0.6765950026689111
3,demo_16,140,0.7518444818613196
3,demo_17,123,0.7738651661933825
3,demo_18,139,0.7803954381293556
3,demo_19,132,0.8821017205649564
3,demo_2,172,0.6906103505060776
3,demo_20,124,0.8511723052714396
3,demo_21,135,0.7065653591112506
3,demo_22,132,0.6133514911740114
3,demo_23,135,0.784378521024456
3,demo_24,135,0.8973501333414795
3,demo_25,166,0.7200517870004698
3,demo_26,171,0.7582743887696597
3,demo_27,168,0.6207769265637251
3,demo_28,127,0.8012455474315711
3,demo_29,141,0.8150443245052876
3,demo_3,136,0.8315520426751958
3,demo_31,162,0.6606949179254978
3,demo_32,131,0.6643934793926232
3,demo_33,134,0.8260372973187381
3,demo_34,134,0.7290632777570465
3,demo_35,162,0.4943473422524784
3,demo_36,131,0.7573426573426573
3,demo_37,132,0.8757546190250087
3,demo_38,139,0.7625215185240007
3,demo_39,141,0.7874211090174348
3,demo_4,166,0.7939177822377304
3,demo_40,149,0.7742531729618631
3,demo_41,129,0.7982110912343472
3,demo_42,174,0.8726425114210373
3,demo_43,177,0.587102327537402
3,demo_44,135,0.7051882996293992
3,demo_45,161,0.6501772779451712
3,demo_46,129,0.8119057635095189
3,demo_47,149,0.7987335366121187
3,demo_48,174,0.7040439648053759
3,demo_49,142,0.7028779971094441
3,demo_5,132,0.7677499220652335
3,demo_6,128,0.7236389959486333
3,demo_7,160,0.7069133854693868
3,demo_8,162,0.9422885853007013
3,demo_9,150,0.8307192865816703
4,demo_1,155,0.5565855324882515
4,demo_10,160,0.5811727169840356
4,demo_11,148,0.5945050002508921
4,demo_12,162,0.6152821322711457
4,demo_13,150,0.6223126559517602
4,demo_14,141,0.5214869231208551
4,demo_15,144,0.5877754757978988
4,demo_16,150,0.7043176256328674
4,demo_18,179,0.8063344070625708
4,demo_19,156,0.6683109243374156
4,demo_2,137,0.6082030735018924
4,demo_21,141,0.4392651195087964
4,demo_22,142,0.5378848444931585
4,demo_23,136,0.6525173566596844
4,demo_24,152,0.5612884927278647
4,demo_25,150,0.5173603425579559
4,demo_26,148,0.6055636635891639
4,demo_27,152,0.7464360740155853
4,demo_28,135,0.5581806542188313
4,demo_3,136,0.4526022260546047
4,demo_30,159,0.6638285104846556
4,demo_32,159,0.6204514887727401
4,demo_33,162,0.633237834481832
4,demo_34,158,0.7062331332402393
4,demo_35,156,0.6949276839756494
4,demo_36,141,0.5918912960306293
4,demo_37,159,0.6134781865584066
4,demo_38,142,0.6935050891845927
4,demo_39,146,0.5474242934025383
4,demo_4,147,0.4589851792837357
4,demo_40,164,0.6360665326799826
4,demo_41,160,0.7586464012119705
4,demo_42,141,0.3766397640321782
4,demo_43,148,0.6680122826804565
4,demo_44,142,0.4971662260672211
4,demo_45,160,0.797019212952849
4,demo_47,163,0.6716503004811789
4,demo_48,144,0.617962637539895
4,demo_49,157,0.5192660877641845
4,demo_6,150,0.5305507454575175
4,demo_7,151,0.6676745689702873
4,demo_8,148,0.6425615245698069
4,demo_9,149,0.5076932146488563
5,demo_0,132,0.8406803981192433
5,demo_1,160,0.7948719638991673
5,demo_10,177,0.7700619471424963
5,demo_11,133,0.8422939982248702
5,demo_12,136,0.8047917675509934
5,demo_13,135,0.7690326640110866
5,demo_15,146,0.8112987095858638
5,demo_16,142,0.901479494542938
5,demo_17,145,0.7540685150063812
5,demo_18,157,0.8912471984481336
5,demo_19,150,0.8252985915806483
5,demo_2,127,0.8691836408890453
5,demo_20,135,0.802506590838868
5,demo_21,137,0.7295890865059667
5,demo_23,170,0.8183585174729234
5,demo_25,131,0.8068633443648223
5,demo_26,161,0.8409417187859107
5,demo_27,130,0.8848376595033876
5,demo_28,127,0.8721427881276393
5,demo_29,157,0.8102875394417103
5,demo_3,177,0.7648007842696884
5,demo_30,146,0.785296453967804
5,demo_31,129,0.8430188436653523
5,demo_32,148,0.790604009455834
5,demo_33,139,0.758654049169392
5,demo_34,140,0.9108677065200904
5,demo_35,140,0.8251650690989344
5,demo_36,139,0.7187312184012272
5,demo_37,165,0.80191489305149
5,demo_38,157,0.8585684272556466
5,demo_39,133,0.910822453412062
5,demo_4,133,0.911704919624576
5,demo_40,162,0.8242997407447039
5,demo_41,137,0.7796230870914292
5,demo_42,156,0.8474679137900845
5,demo_43,177,0.7833602943170113
5,demo_44,133,0.8696999491186884
5,demo_45,147,0.9016122177218363
5,demo_46,149,0.7566765040398882
5,demo_47,126,0.8910922867450267
5,demo_48,135,0.8722901967887535
5,demo_49,136,0.8676239240451658
5,demo_5,175,0.7880711846258056
5,demo_6,139,0.8377962326224775
5,demo_7,133,0.9319116811400524
5,demo_8,142,0.8039674049254436
5,demo_9,136,0.9336823963860287
6,demo_0,169,0.7357611950694303
6,demo_1,149,0.6347807632529276
6,demo_10,152,0.7112190187885167
6,demo_11,171,0.7626104142497322
6,demo_12,154,0.7926796109989266
6,demo_13,149,0.755804019235815
6,demo_14,154,0.6640895242118641
6,demo_15,173,0.7024427440228237
6,demo_16,147,0.6723032896053702
6,demo_17,167,0.7773943637969832
6,demo_18,144,0.5876313830246825
6,demo_19,149,0.8344810760760516
6,demo_2,159,0.7643918411094804
6,demo_20,146,0.5664616846977447
6,demo_21,162,0.7568358665211137
6,demo_22,153,0.7012596686573654
6,demo_23,158,0.7440703968993196
6,demo_24,150,0.7819546733473093
6,demo_25,177,0.7894887759249974
6,demo_26,156,0.6918209570461438
6,demo_27,149,0.7703065481588971
6,demo_28,151,0.7300801673056814
6,demo_29,164,0.8126976699331881
6,demo_3,154,0.6020046559571699
6,demo_30,162,0.6854018611014153
6,demo_31,164,0.6045288619217468
6,demo_32,152,0.6577836553638752
6,demo_33,144,0.7007665233732356
6,demo_34,164,0.7822319499260293
6,demo_35,175,0.6310419066751679
6,demo_36,151,0.7879407353965482
6,demo_37,158,0.5720398930269884
6,demo_38,164,0.7440911731145228
6,demo_39,165,0.8939523160444228
6,demo_4,178,0.7865768156256618
6,demo_40,155,0.8177641999369321
6,demo_41,156,0.6682719358726497
6,demo_42,153,0.6797369086779081
6,demo_43,146,0.7876744748795868
6,demo_44,152,0.6987130857920024
6,demo_46,157,0.7247197674880522
6,demo_47,155,0.7077627336587669
6,demo_48,146,0.6303329323041654
6,demo_49,151,0.5939386545834785
6,demo_5,146,0.618714481968
6,demo_6,148,0.6311019963944222
6,demo_7,154,0.709810599435194
6,demo_8,150,0.8324943308469912
6,demo_9,155,0.6757914275917181
7,demo_0,150,0.7791226276723411
7,demo_1,131,0.6286446378049432
7,demo_10,143,0.7385406802392757
7,demo_11,143,0.7417486246868447
7,demo_12,127,0.7187648755322049
7,demo_13,135,0.8695451768611622
7,demo_14,141,0.6460500150920556
7,demo_15,138,0.7909751055112765
7,demo_16,141,0.6018063759386384
7,demo_17,152,0.8230472854652994
7,demo_18,148,0.7744899337940575
7,demo_19,140,0.6916446174367499
7,demo_2,143,0.6871758568185337
7,demo_20,141,0.669868861968856
7,demo_21,137,0.7855676069221722
7,demo_22,127,0.7591534236575962
7,demo_23,144,0.8261269715613729
7,demo_24,132,0.6490688901295569
7,demo_25,132,0.7520538474608497
7,demo_26,164,0.787435121888493
7,demo_27,135,0.7241156034972746
7,demo_28,131,0.7338583433764387
7,demo_29,140,0.7967929815589175
7,demo_3,137,0.6399383947652972
7,demo_30,155,0.7385368478899212
7,demo_32,175,0.8043455139281172
7,demo_33,168,0.801420068624578
7,demo_34,139,0.6550098920977903
7,demo_35,164,0.8710504354018827
7,demo_36,126,0.6939743351342362
7,demo_37,156,0.7217900846814128
7,demo_39,138,0.6908036083334765
7,demo_4,161,0.5690307748382357
7,demo_40,130,0.7381713205760794
7,demo_41,130,0.7020889293714359
7,demo_42,173,0.8522278349290653
7,demo_43,133,0.7450074219265365
7,demo_44,146,0.8385941200915084
7,demo_45,139,0.6972713197017262
7,demo_46,129,0.7356796055473885
7,demo_47,139,0.6476965011841458
7,demo_48,143,0.740314849469779
7,demo_49,141,0.6934636472708788
7,demo_5,175,0.7019055674644371
7,demo_6,144,0.6475678152247927
7,demo_7,150,0.7689297638658561
7,demo_8,150,0.7100797906485673
7,demo_9,139,0.6435168842143169
8,demo_0,168,0.7109134221470145
8,demo_1,150,0.49311434839732743
8,demo_10,152,0.5561758733360893
8,demo_11,163,0.6652599260428436
8,demo_12,158,0.7043026782978767
8,demo_13,154,0.5634154996688968
8,demo_14,160,0.6798068668928359
8,demo_15,159,0.6021941474985559
8,demo_16,172,0.6859250900169861
8,demo_17,148,0.6057511665409165
8,demo_18,161,0.6576024131832537
8,demo_19,158,0.6247943464469706
8,demo_2,151,0.6609201662278583
8,demo_20,165,0.7376023412514277
8,demo_22,154,0.5980130905371116
8,demo_23,154,0.5915842824510927
8,demo_24,171,0.6445272304986104
8,demo_25,150,0.6343090804035735
8,demo_26,148,0.6699557537346966
8,demo_27,166,0.6740932204113842
8,demo_28,149,0.715729576873256
8,demo_29,153,0.644969061065145
8,demo_3,158,0.6724169536107434
8,demo_30,162,0.6257621090668984
8,demo_31,169,0.6697512179300311
8,demo_32,161,0.6371544127485491
8,demo_33,168,0.7337106860959769
8,demo_34,174,0.6977325599634197
8,demo_35,158,0.6740416378583804
8,demo_36,162,0.6898935869940256
8,demo_37,152,0.6844349370512626
8,demo_38,159,0.6860804709843842
8,demo_39,157,0.6626333134613603
8,demo_4,149,0.5763398379861542
8,demo_40,163,0.5773262294367892
8,demo_41,151,0.5687230469878831
8,demo_42,151,0.7388057490526192
8,demo_43,169,0.7018808771596355
8,demo_44,153,0.6140981030427296
8,demo_45,161,0.5476596989733551
8,demo_46,165,0.6836712818044975
8,demo_47,162,0.5417794835872783
8,demo_48,157,0.6585534328408418
8,demo_49,149,0.676873459889141
8,demo_5,154,0.6356275469947432
8,demo_6,162,0.6851346392690576
8,demo_7,168,0.595344587701803
8,demo_8,155,0.624810068658071
8,demo_9,145,0.5795097027141275
9,demo_0,126,0.8772966017201849
9,demo_1,135,0.8273330764564147
9,demo_10,134,0.8319540542333109
9,demo_11,167,0.9298268328835868
9,demo_12,144,0.9159640984410787
9,demo_13,129,0.833815501500075
9,demo_14,114,0.785043549417392
9,demo_15,131,0.8057972561789356
9,demo_16,163,0.8378007477520616
9,demo_17,122,0.9139848192954223
9,demo_18,136,0.8587598114164917
9,demo_19,121,0.9017203011848945
9,demo_2,132,0.807631500680918
9,demo_21,136,0.8497730303278561
9,demo_23,150,0.8409668713589383
9,demo_24,124,0.8754596795991157
9,demo_25,127,0.8853447303638491
9,demo_26,128,0.7159928298293324
9,demo_27,141,0.8354420896506353
9,demo_28,131,0.7738466527613957
9,demo_29,154,0.8804230770205324
9,demo_3,145,0.8918571557979497
9,demo_30,124,0.8069904342675329
9,demo_31,143,0.8498584673853616
9,demo_32,121,0.819462908811427
9,demo_33,142,0.8783326575030939
9,demo_34,123,0.7976744785956585
9,demo_35,168,0.9242777221697438
9,demo_36,141,0.899511965409478
9,demo_37,134,0.8299640020006727
9,demo_38,123,0.948502607851545
9,demo_39,142,0.8331620181043384
9,demo_4,138,0.7974780073464316
9,demo_40,164,0.7091553256944804
9,demo_41,120,0.8155400490077763
9,demo_42,126,0.8227996184502513
9,demo_44,123,0.8672079555274665
9,demo_45,145,0.8647758171265164
9,demo_46,121,0.8140645137264648
9,demo_47,133,0.8491751767478398
9,demo_48,129,0.7803175037987047
9,demo_49,125,0.7954267210865313
9,demo_5,133,0.8332944385577707
9,demo_6,133,0.8523792824276669
9,demo_7,129,0.7391809302066285
9,demo_8,123,0.8430235745215904
9,demo_9,125,0.8850697778277783
