task_id,demo,T,rho
0,demo_0,98,0.9680457000044627
0,demo_1,84,0.9491141034727143
0,demo_10,93,0.8591539313790016
0,demo_11,128,0.6857088903131294
0,demo_12,86,0.9346334008000624
0,demo_13,88,0.8814402578646288
0,demo_14,112,0.7941965353469778
0,demo_15,84,0.9390908170497114
0,demo_16,89,0.9422880490296223
0,demo_17,97,0.9065195665895223
0,demo_18,75,0.9634698003842358
0,demo_19,99,0.9469849937738338
0,demo_2,90,0.8403095032308514
0,demo_20,87,0.9800246047702683
0,demo_21,121,0.7584444440778896
0,demo_22,96,0.9796424974367828
0,demo_23,85,0.9589798710181747
0,demo_24,100,0.9025289604869919
0,demo_25,91,0.904944298040302
0,demo_26,105,0.9148446490710265
0,demo_27,113,0.9249240007898232
0,demo_28,92,0.9217781305577208
0,demo_29,124,0.7803045800340137
0,demo_3,97,0.8693551091302142
0,demo_30,127,0.8758143513310837
0,demo_31,151,0.932881490630995
0,demo_32,93,0.9762316851183191
0,demo_33,111,0.9311577113871812
0,demo_35,89,0.8121331806899427
0,demo_36,102,0.9524345352867668
0,demo_38,89,0.8446956477633883
0,demo_39,108,0.8416264159211942
0,demo_4,105,0.9262388554841384
0,demo_40,95,0.8906354983202688
0,demo_41,95,0.9454783418368596
0,demo_42,109,0.91264610151269
0,demo_43,96,0.7927699403147043
0,demo_44,88,0.8564019249225557
0,demo_45,90,0.9391277864069772
0,demo_46,85,0.9491740725835025
0,demo_47,92,0.9815205832036126
0,demo_48,96,0.9232501356483992
0,demo_49,92,0.9715642001757009
0,demo_5,134,0.9021406804119885
0,demo_6,92,0.5018899476400388
0,demo_7,92,0.8342818391699152
0,demo_8,79,0.9043330087633886
0,demo_9,89,0.9418454204971061
1,demo_0,152,0.9516321800591401
1,demo_1,123,0.883201558086443
1,demo_10,111,0.928001053001053
1,demo_11,117,0.9347003077769471
1,demo_12,114,0.8990723133861682
1,demo_13,125,0.9568554079459878
1,demo_14,150,0.9494287735981466
1,demo_15,128,0.9246243952164152
1,demo_16,135,0.9094733556164156
1,demo_17,113,0.9331850080755458
1,demo_18,112,0.7724912016947415
1,demo_19,125,0.9476129032258064
1,demo_2,140,0.966043784352313
1,demo_20,162,0.8469557976749996
1,demo_21,134,0.9192168950433833
1,demo_22,132,0.9363745936666787
