task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.6647330798816897
0,demo_0,148,0.5,74,0.9724250277674934
0,demo_0,148,0.3,44,0.9701198026779421
0,demo_0,148,0.15,22,0.8848108413325806
0,demo_1,179,1.0,179,0.6197058146590505
0,demo_1,179,0.5,90,0.9596822653002428
0,demo_1,179,0.3,54,0.9278063655422145
0,demo_1,179,0.15,27,0.9126984126984127
0,demo_10,157,1.0,157,0.6346572479362933
0,demo_10,157,0.5,78,0.8763767877691928
0,demo_10,157,0.3,47,0.9092275670675302
0,demo_10,157,0.15,24,0.8713043478260868
0,demo_11,152,1.0,152,0.7210683506584926
0,demo_11,152,0.5,76,0.9351742993848257
0,demo_11,152,0.3,46,0.8015417823003391
0,demo_11,152,0.15,23,0.8231225296442688
0,demo_12,172,1.0,172,0.4743365774596644
0,demo_12,172,0.5,86,0.8682148602146704
0,demo_12,172,0.3,52,0.8966106036028344
0,demo_12,172,0.15,26,0.6943589743589742
0,demo_13,146,1.0,146,0.5268087559494181
0,demo_13,146,0.5,73,0.8859441406543673
0,demo_13,146,0.3,44,0.9481658979070935
0,demo_13,146,0.15,22,0.9887069452286844
0,demo_14,149,1.0,149,0.5967821512787956
0,demo_14,149,0.5,74,0.9609329877823026
0,demo_14,149,0.3,45,0.9728590250329379
0,demo_14,149,0.15,22,0.9593450028232637
0,demo_15,154,1.0,154,0.7155080213903744
0,demo_15,154,0.5,77,0.9596981965403018
0,demo_15,154,0.3,46,0.8997224791859388
0,demo_15,154,0.15,23,0.849802371541502
0,demo_16,155,1.0,155,0.5669008410943894
0,demo_16,155,0.5,78,0.9584213255099331
0,demo_16,155,0.3,46,0.9319148936170212
0,demo_16,155,0.15,23,0.8705533596837944
0,demo_17,154,1.0,154,0.6659125820416144
0,demo_17,154,0.5,77,0.9456333140543667
0,demo_17,154,0.3,46,0.9621338267036695
0,demo_17,154,0.15,23,0.9239130434782609
0,demo_18,152,1.0,152,0.6796212385267805
0,demo_18,152,0.5,76,0.9306356801093644
0,demo_18,152,0.3,46,0.8348442799876657
0,demo_18,152,0.15,23,0.9772727272727272
0,demo_19,157,1.0,157,0.6838202916167925
0,demo_19,157,0.5,78,0.9536918777425106
0,demo_19,157,0.3,47,0.8881822386679001
0,demo_19,157,0.15,24,0.7234782608695651
0,demo_2,136,1.0,136,0.7593340012403988
0,demo_2,136,0.5,68,0.9068977363820283
0,demo_2,136,0.3,41,0.9099303135888503
0,demo_2,136,0.15,20,0.8872180451127819
0,demo_20,154,1.0,154,0.5202239585736232
0,demo_20,154,0.5,77,0.9318505958098353
0,demo_20,154,0.3,46,0.9426456984273821
0,demo_20,154,0.15,23,0.7954545454545455
0,demo_21,163,1.0,163,0.3530073542044214
0,demo_21,163,0.5,82,0.9638880726156659
0,demo_21,163,0.3,49,0.9808163265306122
0,demo_21,163,0.15,24,0.9782608695652173
0,demo_22,146,1.0,146,0.5984999951799331
0,demo_22,146,0.5,73,0.9513451807972357
0,demo_22,146,0.3,44,0.9174066243833685
0,demo_22,146,0.15,22,0.8814229249011858
0,demo_23,161,1.0,161,0.6911021186323664
0,demo_23,161,0.5,80,0.9166666666666667
0,demo_23,161,0.3,48,0.7191706469821971
0,demo_23,161,0.15,24,0.7426086956521739
0,demo_24,177,1.0,177,0.814663007911913
0,demo_24,177,0.5,88,0.7877320277552746
0,demo_24,177,0.3,53,0.6575552330269312
0,demo_24,177,0.15,27,0.9615384615384616
0,demo_25,143,1.0,143,0.5411085393479759
0,demo_25,143,0.5,72,0.946652517846807
0,demo_25,143,0.3,43,0.9669284204167924
0,demo_25,143,0.15,21,0.9779220779220777
0,demo_26,136,1.0,136,0.7103239349267688
0,demo_26,136,0.5,68,0.9422071229530099
0,demo_26,136,0.3,41,0.9440766550522649
0,demo_26,136,0.15,20,0.9112781954887217
0,demo_27,154,1.0,154,0.6948602314826223
0,demo_27,154,0.5,77,0.9691098375308901
0,demo_27,154,0.3,46,0.9589269195189639
0,demo_27,154,0.15,23,0.8913043478260869
0,demo_28,136,1.0,136,0.4773400060602437
0,demo_28,136,0.5,68,0.876169026987823
0,demo_28,136,0.3,41,0.9710801393728223
0,demo_28,136,0.15,20,0.9368421052631578
0,demo_29,175,1.0,175,0.5711560357773796
0,demo_29,175,0.5,88,0.9753045652967152
0,demo_29,175,0.3,52,0.9774609408349697
0,demo_29,175,0.15,26,0.9109249577483579
0,demo_3,146,1.0,146,0.7435924378864935
0,demo_3,146,0.5,73,0.9324015796618539
0,demo_3,146,0.3,44,0.9306553911205073
0,demo_3,146,0.15,22,0.7029926595143988
0,demo_30,155,1.0,155,0.5319358061293545
0,demo_30,155,0.5,78,0.9076366671303379
0,demo_30,155,0.3,46,0.92895467160037
0,demo_30,155,0.15,23,0.9367588932806324
0,demo_31,179,1.0,179,0.5712133576046701
0,demo_31,179,0.5,90,0.949853891426925
0,demo_31,179,0.3,54,0.9493043643987038
0,demo_31,179,0.15,27,0.9078144078144077
0,demo_32,153,1.0,153,0.7027528714835215
0,demo_32,153,0.5,76,0.9609295967190704
0,demo_32,153,0.3,46,0.9486894850447116
0,demo_32,153,0.15,23,0.941699604743083
0,demo_33,152,1.0,152,0.7058174263082716
0,demo_33,152,0.5,76,0.9310457963089541
0,demo_33,152,0.3,46,0.8849213691026826
0,demo_33,152,0.15,23,0.9011857707509882
0,demo_34,160,1.0,160,0.6479891655846441
0,demo_34,160,0.5,80,0.957219878105954
0,demo_34,160,0.3,48,0.8762483716891012
0,demo_34,160,0.15,24,0.9782608695652173
0,demo_35,150,1.0,150,0.6348175474465533
0,demo_35,150,0.5,75,0.8808534850640113
0,demo_35,150,0.3,45,0.9384716732542819
0,demo_35,150,0.15,22,0.7391304347826088
0,demo_36,151,1.0,151,0.5634785639595676
0,demo_36,151,0.5,76,0.9346548188653452
0,demo_36,151,0.3,45,0.942687747035573
0,demo_36,151,0.15,23,0.9110671936758895
0,demo_37,149,1.0,149,0.44404498458189734
0,demo_37,149,0.5,74,0.8662125138837465
0,demo_37,149,0.3,45,0.7039525691699604
0,demo_37,149,0.15,22,0.7391304347826088
0,demo_38,157,1.0,157,0.7108050781758755
0,demo_38,157,0.5,78,0.9276166871103579
0,demo_38,157,0.3,47,0.8278214616096207
0,demo_38,157,0.15,24,0.697391304347826
0,demo_39,171,1.0,171,0.7263814606065908
0,demo_39,171,0.5,86,0.9401525550958655
0,demo_39,171,0.3,51,0.7894296253066903
0,demo_39,171,0.15,26,0.859145299145299
0,demo_4,153,1.0,153,0.8007820353021591
