bench,encoder,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gripper,agg
CALVIN_xfolder_gap30,v15,0.3553,0.1989,0.2335,0.0497,-0.0009,-0.0633,-0.0052,-0.0118
CALVIN_xfolder_gap30,videomae-ours,0.6169,0.5102,0.5332,0.0488,0.4206,-0.0149,0.0592,0.0558
CALVIN_xfolder_gap30,vc1,0.544,0.4528,0.61,0.1582,0.4345,0.0156,0.022,0.0348
CALVIN_xfolder_gap30,dinov2,0.4127,0.1685,0.088,0.1103,0.2711,0.1393,0.3587,0.3067
CALVIN_xfolder_gap30,siglip,0.0623,-0.0706,-0.9345,-0.2177,-0.0053,0.1356,0.183,0.1615
LIBERO_spatial_gap20,v15,0.8406,0.9274,0.9186,0.4693,0.6666,0.513,0.5739,0.5806
LIBERO_spatial_gap20,videomae-ours,0.7985,0.9003,0.8895,0.4514,0.5583,0.4348,0.5167,0.5234
LIBERO_spatial_gap20,vc1,0.8455,0.8996,0.929,0.5799,0.6224,0.5322,0.5437,0.5523
LIBERO_spatial_gap20,dinov2,0.7296,0.6952,0.8732,0.4021,0.5683,0.5464,0.6673,0.6659
LIBERO_spatial_gap20,siglip,0.7702,0.7169,0.8737,0.3478,0.4943,0.4592,0.6482,0.6458
