model,epoch,dataset,suite,gap,mode,r2,cosine_sim,source
v15_main,32,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.006,-0.0839,probe_droid_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap15_20260512_160130.json
v15_vfromm,28,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.0136,0.0203,probe_droid_v11_checkpoint_epoch0028_patch_mean_concat_p_t_p_tk_gap15_20260518_153508.json
v15_vfromm,32,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.0161,0.013,probe_droid_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap15_20260518_153545.json
v15_vfromm,36,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.0046,-0.0166,probe_droid_v11_checkpoint_epoch0036_patch_mean_concat_p_t_p_tk_gap15_20260518_153545.json
v15_vfromm,40,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.0027,0.0314,probe_droid_v11_checkpoint_epoch0040_patch_mean_concat_p_t_p_tk_gap15_20260518_153545.json
v15_vfromm,44,DROID,ext1,15,patch_mean_concat_p_t_p_tk,-0.0085,-0.0034,probe_droid_v11_checkpoint_epoch0044_patch_mean_concat_p_t_p_tk_gap15_20260518_153545.json
v15_main,50,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.4054,0.3008,probe_v11_latest_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260513_002512.json
v15_vfromm,28,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.4131,0.3087,probe_v11_checkpoint_epoch0028_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135727.json
v15_vfromm,32,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.3804,0.2954,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,36,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.4016,0.297,probe_v11_checkpoint_epoch0036_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,40,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.4047,0.3006,probe_v11_checkpoint_epoch0040_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,44,EgoDex,test,10,patch_mean_concat_p_t_p_tk,0.4145,0.3014,probe_v11_checkpoint_epoch0044_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135725.json
v15_vfromm,28,LIBERO,spatial,1,p_t_p_tk,0.437,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep28/all_gaps.csv
v15_vfromm,28,LIBERO,spatial,13,p_t_p_tk,0.6029,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep28/all_gaps.csv
v15_vfromm,28,LIBERO,spatial,20,p_t_p_tk,0.6001,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep28/all_gaps.csv
v15_vfromm,28,LIBERO,spatial,40,p_t_p_tk,0.3639,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep28/all_gaps.csv
v15_vfromm,32,LIBERO,spatial,1,p_t_p_tk,0.3832,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep32/all_gaps.csv
v15_vfromm,32,LIBERO,spatial,13,p_t_p_tk,0.5633,,paper_artifacts/libero_action_probing/two-stream-v11_libero_spatial_20260518_153400_vfromm_ep32/all_gaps.csv
