encoder,suite,n_seeds,seeds,mean_success_rate,std_success_rate,se_success_rate,n_episodes_per_seed,n_episodes_total
dinov2,libero_goal,3,"0,1,2",0.838,0.0106,0.0061,500,1500
dinov2,libero_object,3,"0,1,2",0.88,0.0209,0.0121,500,1500
dinov2,libero_spatial,3,"0,1,2",0.7153,0.0326,0.0188,500,1500
siglip,libero_goal,3,"0,1,2",0.8553,0.0127,0.0073,500,1500
siglip,libero_object,3,"0,1,2",0.9073,0.0202,0.0117,500,1500
siglip,libero_spatial,3,"0,1,2",0.802,0.0164,0.0095,500,1500
two-stream-v11,libero_goal,3,"0,1,2",0.264,0.0302,0.0174,500,1500
two-stream-v11,libero_object,3,"0,1,2",0.03,0.0125,0.0072,500,1500
two-stream-v11,libero_spatial,3,"0,1,2",0.0607,0.0253,0.0146,500,1500
two-stream-v15-mp,libero_goal,3,"0,1,2",0.6707,0.0341,0.0197,500,1500
two-stream-v15-mp,libero_object,3,"0,1,2",0.3933,0.074,0.0427,500,1500
two-stream-v15-mp,libero_spatial,3,"0,1,2",0.4327,0.026,0.015,500,1500
two-stream-v15-mp_vfromm_ep32,libero_goal,3,"0,1,2",0.694,0.012,0.0069,500,1500
two-stream-v15-mp_vfromm_ep32,libero_object,3,"0,1,2",0.3993,0.0522,0.0301,500,1500
two-stream-v15-mp_vfromm_ep32,libero_spatial,3,"0,1,2",0.3487,0.0812,0.0469,500,1500
two-stream-v15-ptptk,libero_goal,3,"0,1,2",0.8367,0.0189,0.0109,500,1500
two-stream-v15-ptptk,libero_object,3,"0,1,2",0.864,0.0406,0.0234,500,1500
two-stream-v15-ptptk,libero_spatial,3,"0,1,2",0.63,0.0069,0.004,500,1500
two-stream-v15-ptptk_vfromm_ep32,libero_goal,3,"0,1,2",0.8167,0.0103,0.0059,500,1500
two-stream-v15-ptptk_vfromm_ep32,libero_object,3,"0,1,2",0.876,0.025,0.0144,500,1500
two-stream-v15-ptptk_vfromm_ep32,libero_spatial,3,"0,1,2",0.6447,0.0404,0.0233,500,1500
vc1,libero_goal,3,"0,1,2",0.8573,0.0103,0.0059,500,1500
vc1,libero_object,3,"0,1,2",0.8747,0.0423,0.0244,500,1500
vc1,libero_spatial,3,"0,1,2",0.732,0.0156,0.009,500,1500
videomae-ours,libero_goal,3,"0,1,2",0.424,0.0451,0.026,500,1500
videomae-ours,libero_object,3,"0,1,2",0.2393,0.0383,0.0221,500,1500
videomae-ours,libero_spatial,3,"0,1,2",0.2153,0.005,0.0029,500,1500
