model,epoch,mode,gap,target_mode,r2,mse,cosine_sim,train_samples,eval_samples,embed_dim,source_file
v15_main,32,patch_mean_concat_enc_only,10,future,-0.1421,0.001684,0.1152,169427,38254,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_enc_only_gap10_tmfuture_test_20260512_200102.json
v15_main,32,patch_mean_concat_p_t_p_tk,10,future,-0.0205,0.001505,0.1361,169427,38254,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap10_tmfuture_test_20260512_200102.json
v15_main,32,patch_mean_concat_p_t_p_tk_m,10,future,-0.1447,0.001688,0.1059,169427,38254,2304,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_m_gap10_tmfuture_test_20260512_201048.json
v15_main,32,patch_mean_concat_p_tk_m,10,future,-0.1548,0.001703,0.0853,169427,38254,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_tk_m_gap10_tmfuture_test_20260512_200102.json
v15_main,32,patch_mean_m_enc,10,future,-0.0831,0.001597,0.0551,169427,38254,768,probe_v11_checkpoint_epoch0032_patch_mean_m_enc_gap10_tmfuture_test_20260512_200101.json
v15_main,32,patch_mean_p_enc,10,future,-0.02,0.001504,0.1111,169427,38254,768,probe_v11_checkpoint_epoch0032_patch_mean_p_enc_gap10_tmfuture_test_20260512_200102.json
v15_main,32,patch_mean_p_enc_tk,10,future,-0.0769,0.001588,0.0619,169427,38254,768,probe_v11_checkpoint_epoch0032_patch_mean_p_enc_tk_gap10_tmfuture_test_20260512_200109.json
v15_main,32,patch_mean_concat_all,10,same,-0.1293,0.001703,0.1288,180921,40914,2304,probe_v11_checkpoint_epoch0032_patch_mean_concat_all_gap10_test_20260512_115051.json
v15_main,32,patch_mean_concat_enc_only,10,same,-0.0807,0.00163,0.1194,180921,40914,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_enc_only_gap10_test_20260512_153645.json
v15_main,32,patch_mean_concat_p_t_p_tk,10,same,0.3898,0.00092,0.3063,180921,40914,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap10_test_20260512_153646.json
v15_main,32,patch_mean_concat_p_tk_m,10,same,-0.1033,0.001664,0.1391,180921,40914,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_tk_m_gap10_test_20260512_153646.json
v15_main,32,patch_mean_m_enc,10,same,-0.0831,0.001634,0.0946,180921,40914,768,probe_v11_checkpoint_epoch0032_patch_mean_m_enc_gap10_test_20260512_153645.json
v15_main,32,patch_mean_p_enc,10,same,-0.0532,0.001589,0.0876,180921,40914,768,probe_v11_checkpoint_epoch0032_patch_mean_p_enc_gap10_test_20260512_153653.json
v15_main,32,patch_mean_p_enc_tk,10,same,-0.0135,0.001529,0.1128,180921,40914,768,probe_v11_checkpoint_epoch0032_patch_mean_p_enc_tk_gap10_test_20260512_153645.json
v15_main,50,patch_mean_concat_all,10,same,-0.116,0.001683,0.0969,180921,40914,2304,probe_v11_latest_patch_mean_concat_all_gap10_tmsame_test_20260513_002512.json
v15_main,50,patch_mean_concat_enc_only,10,same,-0.1377,0.001716,0.1277,180921,40914,1536,probe_v11_latest_patch_mean_concat_enc_only_gap10_tmsame_test_20260513_002510.json
v15_main,50,patch_mean_concat_p_t_p_tk,10,same,0.4054,0.000897,0.3008,180921,40914,1536,probe_v11_latest_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260513_002512.json
v15_main,50,patch_mean_concat_p_tk_m,10,same,-0.087,0.001639,0.1302,180921,40914,1536,probe_v11_latest_patch_mean_concat_p_tk_m_gap10_tmsame_test_20260513_002510.json
v15_main,50,patch_mean_m_enc,10,same,-0.0584,0.001596,0.1144,180921,40914,768,probe_v11_latest_patch_mean_m_enc_gap10_tmsame_test_20260513_002509.json
v15_main,50,patch_mean_p_enc,10,same,-0.043,0.001573,0.0767,180921,40914,768,probe_v11_latest_patch_mean_p_enc_gap10_tmsame_test_20260513_002509.json
v15_main,50,patch_mean_p_enc_tk,10,same,-0.006,0.001517,0.1318,180921,40914,768,probe_v11_latest_patch_mean_p_enc_tk_gap10_tmsame_test_20260513_002511.json
v15_vfromm,28,patch_mean_concat_p_t_p_tk,10,same,0.4131,0.000885,0.3087,180921,40914,1536,probe_v11_checkpoint_epoch0028_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135727.json
v15_vfromm,32,patch_mean_concat_p_t_p_tk,10,same,0.3804,0.000934,0.2954,180921,40914,1536,probe_v11_checkpoint_epoch0032_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,36,patch_mean_concat_p_t_p_tk,10,same,0.4016,0.000903,0.297,180921,40914,1536,probe_v11_checkpoint_epoch0036_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,40,patch_mean_concat_p_t_p_tk,10,same,0.4047,0.000898,0.3006,180921,40914,1536,probe_v11_checkpoint_epoch0040_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135726.json
v15_vfromm,44,patch_mean_concat_p_t_p_tk,10,same,0.4145,0.000883,0.3014,180921,40914,1536,probe_v11_checkpoint_epoch0044_patch_mean_concat_p_t_p_tk_gap10_tmsame_test_20260518_135725.json
