# refinement_floor_plan §5.3-e nuisance robustness PILOT — CALVIN xfold gap30, attentive probe 20ep, --probe-seed 42 (n_seed=1), V100
# probe fit once on clean train (best epoch on clean eval, then frozen); eval frames perturbed, dL recomputed, re-encoded. gain/ramp/shadow on t+k frame; noise on both frames
# shadow = one soft ellipse, semi-axes 0.15-0.35 of side, edge softness 0.1 (implementation choice, not in plan). Perturbation RNG fixed per (kind,level) -> identical across arms
# jobs 40277161-163 ; diagnostic 40277461 (C0 M: gain 1.0 identity = clean exactly; noise 0.001/0.003 = off-grid reference, not pre-registered)
arm,clean,perturb,level,pos_r2
C0 CoMP-S M,0.4956,gain,0.9,-9.9099
C0 CoMP-S M,0.4956,gain,1.1,-5.4964
C0 CoMP-S M,0.4956,gain,1.2,-15.0773
C0 CoMP-S M,0.4956,gain,1.3,-20.2230
C0 CoMP-S M,0.4956,ramp,0.1,0.0460
C0 CoMP-S M,0.4956,ramp,0.2,-0.2122
C0 CoMP-S M,0.4956,ramp,0.3,-0.4008
C0 CoMP-S M,0.4956,shadow,0.2,-0.4683
C0 CoMP-S M,0.4956,shadow,0.4,-1.4502
C0 CoMP-S M,0.4956,shadow,0.6,-2.9518
C0 CoMP-S M,0.4956,noise,0.01,-2.0061
C0 CoMP-S M,0.4956,noise,0.02,-2.1430
C0 CoMP-S M,0.4956,noise,0.04,-1.8873
F1 raw dL,0.2254,gain,0.9,-0.8026
F1 raw dL,0.2254,gain,1.1,-0.4467
F1 raw dL,0.2254,gain,1.2,-2.1368
F1 raw dL,0.2254,gain,1.3,-4.2026
F1 raw dL,0.2254,ramp,0.1,0.2125
F1 raw dL,0.2254,ramp,0.2,0.1883
F1 raw dL,0.2254,ramp,0.3,0.1583
F1 raw dL,0.2254,shadow,0.2,0.1147
F1 raw dL,0.2254,shadow,0.4,-0.0918
F1 raw dL,0.2254,shadow,0.6,-0.3090
F1 raw dL,0.2254,noise,0.01,0.2251
F1 raw dL,0.2254,noise,0.02,0.2246
F1 raw dL,0.2254,noise,0.04,0.2225
F2 normalized dL,0.1226,gain,0.9,-1.7087
F2 normalized dL,0.1226,gain,1.1,-0.3671
F2 normalized dL,0.1226,gain,1.2,-0.2553
F2 normalized dL,0.1226,gain,1.3,-0.2969
F2 normalized dL,0.1226,ramp,0.1,-15.0744
F2 normalized dL,0.1226,ramp,0.2,-18.4098
F2 normalized dL,0.1226,ramp,0.3,-18.5892
F2 normalized dL,0.1226,shadow,0.2,-0.6366
F2 normalized dL,0.1226,shadow,0.4,-0.8652
F2 normalized dL,0.1226,shadow,0.6,-1.0179
F2 normalized dL,0.1226,noise,0.01,-0.2997
F2 normalized dL,0.1226,noise,0.02,-0.3313
F2 normalized dL,0.1226,noise,0.04,-0.3923
C0 CoMP-S M (diag),0.4956,gain,1.0,0.4956
C0 CoMP-S M (diag),0.4956,noise,0.001,0.4923
C0 CoMP-S M (diag),0.4956,noise,0.003,0.4062
