encoder,task_suite,view,v11_mode,fraction,n_valid,rho_mean,rho_std,rho_median,rho_min,rho_max,length_cutoff,n_total_trajectories,n_kept_after_length_cutoff,checkpoint,cell_dir
dinov2,libero_goal,agentview_rgb,,0.15,476,0.8724837658216449,0.19771180491220772,0.9641750907601853,-0.1384615384615385,1.0,204.0,500,476,,dinov2_libero_goal_20260430_131833_fracs
dinov2,libero_goal,agentview_rgb,,0.3,476,0.8337860899241827,0.1929330810214903,0.9076564263145845,-0.1546145308631435,0.9977413890457371,204.0,500,476,,dinov2_libero_goal_20260430_131833_fracs
dinov2,libero_goal,agentview_rgb,,0.5,476,0.8520964259613353,0.1444349842001528,0.9045558608058607,0.22230784643126858,0.9953820909517113,204.0,500,476,,dinov2_libero_goal_20260430_131833_fracs
dinov2,libero_goal,agentview_rgb,,1.0,476,0.7475319593198078,0.21280055772309117,0.8133391671557033,-0.08426345090635895,0.9894887720974677,204.0,500,476,,dinov2_libero_goal_20260430_130134
dinov2,libero_goal,agentview_rgb,,1.0,476,0.7475319593198078,0.21280055772309117,0.8133391671557033,-0.08426345090635895,0.9894887720974677,204.0,500,476,,dinov2_libero_goal_20260430_131833_fracs
dinov2,libero_object,agentview_rgb,,0.15,476,0.8848857034694277,0.11551623573676914,0.9192264257481648,0.19504643962848298,0.9988706945228685,179.0,500,476,,dinov2_libero_object_20260430_131634_fracs
dinov2,libero_object,agentview_rgb,,0.3,476,0.8236359590607529,0.18354446019372112,0.9028333753819415,-0.1680612244897959,0.998155467720685,179.0,500,476,,dinov2_libero_object_20260430_131634_fracs
dinov2,libero_object,agentview_rgb,,0.5,476,0.8834099417375905,0.07039289491632618,0.8950619764510932,0.5945147679324895,0.9916946076471133,179.0,500,476,,dinov2_libero_object_20260430_131634_fracs
dinov2,libero_object,agentview_rgb,,1.0,476,0.6263581807574161,0.149513403148354,0.6430420534388497,-0.014484126984126986,0.9377072260025913,179.0,500,476,,dinov2_libero_object_20260430_125834
dinov2,libero_object,agentview_rgb,,1.0,476,0.6263581807574161,0.149513403148354,0.6430420534388497,-0.014484126984126986,0.9377072260025913,179.0,500,476,,dinov2_libero_object_20260430_131634_fracs
dinov2,libero_spatial,agentview_rgb,,0.15,475,0.8207325787679378,0.20488134244495282,0.8929824561403509,-0.07692307692307691,1.0,165.0999999999999,500,475,,dinov2_libero_spatial_20260430_131634_fracs
dinov2,libero_spatial,agentview_rgb,,0.3,475,0.8156392610706897,0.22240077456884422,0.9175824175824177,-0.043243243243243246,0.9984681037312616,165.0999999999999,500,475,,dinov2_libero_spatial_20260430_131634_fracs
dinov2,libero_spatial,agentview_rgb,,0.5,475,0.8556201487321272,0.18215102463824534,0.9145416428435296,-0.12379407495944675,0.9968136557610241,165.0999999999999,500,475,,dinov2_libero_spatial_20260430_131634_fracs
dinov2,libero_spatial,agentview_rgb,,1.0,475,0.8052376648790349,0.14171064584871682,0.8446823446823446,0.28054696287964004,0.9789467194796788,165.0999999999999,500,475,,dinov2_libero_spatial_20260430_125834
dinov2,libero_spatial,agentview_rgb,,1.0,475,0.8052376648790349,0.14171064584871682,0.8446823446823446,0.28054696287964004,0.9789467194796788,165.0999999999999,500,475,,dinov2_libero_spatial_20260430_131634_fracs
siglip,libero_goal,agentview_rgb,,0.15,476,0.8315211052018727,0.2076741309577477,0.9250915750915751,0.032352941176470584,1.0,204.0,500,476,,siglip_libero_goal_20260430_131935_fracs
siglip,libero_goal,agentview_rgb,,0.3,476,0.8101611169375778,0.19056681986076718,0.8797761401557286,-0.1014354066985646,0.9991304347826085,204.0,500,476,,siglip_libero_goal_20260430_131935_fracs
siglip,libero_goal,agentview_rgb,,0.5,476,0.8315740233729844,0.17193626034487508,0.8968979488187503,-0.17363571934798017,0.9941651240281376,204.0,500,476,,siglip_libero_goal_20260430_131935_fracs
siglip,libero_goal,agentview_rgb,,1.0,476,0.7244513664602068,0.20677885321047934,0.7619199672253976,-0.2476567414181821,0.9827009936766035,204.0,500,476,,siglip_libero_goal_20260430_130134
siglip,libero_goal,agentview_rgb,,1.0,476,0.7244513664602068,0.20677885321047934,0.7619199672253976,-0.2476567414181821,0.9827009936766035,204.0,500,476,,siglip_libero_goal_20260430_131935_fracs
siglip,libero_object,agentview_rgb,,0.15,476,0.8546428111380684,0.13877241881963606,0.8924618859401469,-0.12347826086956522,0.996103896103896,179.0,500,476,,siglip_libero_object_20260430_131634_fracs
siglip,libero_object,agentview_rgb,,0.3,476,0.8141629507388368,0.16768349892486584,0.869448771051761,-0.10581632653061222,0.9880566801619434,179.0,500,476,,siglip_libero_object_20260430_131634_fracs
siglip,libero_object,agentview_rgb,,0.5,476,0.8390019374477792,0.10582749862379741,0.8695647706723655,0.2737718059319769,0.9788639653464808,179.0,500,476,,siglip_libero_object_20260430_131634_fracs
siglip,libero_object,agentview_rgb,,1.0,476,0.5665006948114506,0.18434711981307303,0.5659155194730467,-0.09819894690490513,0.941384818390166,179.0,500,476,,siglip_libero_object_20260430_125834
siglip,libero_object,agentview_rgb,,1.0,476,0.5665006948114506,0.18434711981307303,0.5659155194730467,-0.09819894690490513,0.941384818390166,179.0,500,476,,siglip_libero_object_20260430_131634_fracs
siglip,libero_spatial,agentview_rgb,,0.15,475,0.779626062422958,0.21745484891761158,0.8578431372549021,-0.15714285714285714,1.0,165.0999999999999,500,475,,siglip_libero_spatial_20260430_131634_fracs
siglip,libero_spatial,agentview_rgb,,0.3,475,0.7980240099662527,0.20698061634265752,0.876923076923077,-0.1427139037433155,0.991465149359886,165.0999999999999,500,475,,siglip_libero_spatial_20260430_131634_fracs
siglip,libero_spatial,agentview_rgb,,0.5,475,0.8510724161357722,0.15956839097175315,0.8979591836734694,-0.1160878021672687,0.9910855934124048,165.0999999999999,500,475,,siglip_libero_spatial_20260430_131634_fracs
siglip,libero_spatial,agentview_rgb,,1.0,475,0.8331649822592443,0.13205892261645175,0.87659160411454,0.2664227880206809,0.9810273877595056,165.0999999999999,500,475,,siglip_libero_spatial_20260430_125834
siglip,libero_spatial,agentview_rgb,,1.0,475,0.8331649822592443,0.13205892261645175,0.87659160411454,0.2664227880206809,0.9810273877595056,165.0999999999999,500,475,,siglip_libero_spatial_20260430_131634_fracs
two-stream-v11,libero_goal,agentview_rgb,abd_prime,0.15,476,0.5396089643104685,0.30800406506517564,0.5865689865689866,-0.3882783882783883,0.9896103896103896,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_131634_fracs
two-stream-v11,libero_goal,agentview_rgb,abd_prime,0.3,476,0.5034970011149619,0.33338096770929276,0.5687134502923977,-0.5568300955905026,0.9822299651567947,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_131634_fracs
two-stream-v11,libero_goal,agentview_rgb,abd_prime,0.5,476,0.5115093241413641,0.2975915965250345,0.5720127596479101,-0.5629201983590707,0.9683226183518412,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_131634_fracs
two-stream-v11,libero_goal,agentview_rgb,abd_prime,1.0,476,0.5128126369877023,0.23530869467164958,0.5423840240964675,-0.3351529219702574,0.9184483095563806,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_125834
two-stream-v11,libero_goal,agentview_rgb,abd_prime,1.0,476,0.5128126369877023,0.23530869467164958,0.5423840240964675,-0.3351529219702574,0.9184483095563806,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_131634_fracs
two-stream-v11,libero_goal,agentview_rgb,b_only,0.15,476,0.5124081700041175,0.319649723345034,0.5574162679425838,-0.4928571428571427,0.9930069930069931,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11bonly_fracs
two-stream-v11,libero_goal,agentview_rgb,b_only,0.3,476,0.4341237136820306,0.30823744169475087,0.4617433900915547,-0.3988269794721407,0.9631578947368421,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11bonly_fracs
two-stream-v11,libero_goal,agentview_rgb,b_only,0.5,476,0.4773283715055858,0.27340537360552253,0.5133550384244187,-0.42257515598411804,0.9023201283475256,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11bonly_fracs
two-stream-v11,libero_goal,agentview_rgb,b_only,1.0,476,0.2561236599161097,0.255109298954548,0.2841316184358217,-0.646325623996367,0.8139135035095076,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11bonly_fracs
two-stream-v11,libero_goal,agentview_rgb,d_prime_only,0.15,476,0.5160865639118614,0.31832314212166374,0.5649652280087063,-0.4731379731379732,0.9896103896103896,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_goal,agentview_rgb,d_prime_only,0.3,476,0.4910921606589857,0.3421147516724788,0.5489497808184209,-0.5665741597286463,0.9808362369337981,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11dprimeonly_fracs
two-stream-v11,libero_goal,agentview_rgb,d_prime_only,0.5,476,0.5006625336219697,0.2911480733034899,0.5492367790800041,-0.5630445968640267,0.9623027469316189,204.0,500,476,/proj/external_group/mrg/checkpoints/two_stream_v11/20260426_014333/checkpoint_epoch0044.pt,two-stream-v11_libero_goal_20260430_134233_v11dprimeonly_fracs
