task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.4049130626311835
0,demo_0,148,0.5,74,0.9062273232136245
0,demo_0,148,0.3,44,0.8785059901338972
0,demo_0,148,0.15,22,0.9582156973461323
0,demo_1,179,1.0,179,0.6296134526047839
0,demo_1,179,0.5,90,0.8264806354693995
0,demo_1,179,0.3,54,0.9649323422908328
0,demo_1,179,0.15,27,0.9255189255189256
0,demo_10,157,1.0,157,0.7891018922221051
0,demo_10,157,0.5,78,0.8352280630761643
0,demo_10,157,0.3,47,0.7493061979648474
0,demo_10,157,0.15,24,0.8704347826086956
0,demo_11,152,1.0,152,0.7197288117059302
0,demo_11,152,0.5,76,0.7462747778537251
0,demo_11,152,0.3,46,0.15152636447733578
0,demo_11,152,0.15,23,0.983201581027668
0,demo_12,172,1.0,172,0.5608327850140205
0,demo_12,172,0.5,86,0.8392376998915043
0,demo_12,172,0.3,52,0.8709980363698454
0,demo_12,172,0.15,26,0.9418803418803419
0,demo_13,146,1.0,146,0.6541544156632895
0,demo_13,146,0.5,73,0.8963038380846601
0,demo_13,146,0.3,44,0.9664552501761805
0,demo_13,146,0.15,22,0.9412761151891589
0,demo_14,149,1.0,149,0.7427280972247416
0,demo_14,149,0.5,74,0.9495001851166232
0,demo_14,149,0.3,45,0.9166007905138339
0,demo_14,149,0.15,22,0.8441558441558443
0,demo_15,154,1.0,154,0.687785964825813
0,demo_15,154,0.5,77,0.93006993006993
0,demo_15,154,0.3,46,0.8329941412272587
0,demo_15,154,0.15,23,0.8903162055335968
0,demo_16,155,1.0,155,0.6548064838387418
0,demo_16,155,0.5,78,0.9397817372500916
0,demo_16,155,0.3,46,0.9805118717237126
0,demo_16,155,0.15,23,0.9189723320158102
0,demo_17,154,1.0,154,0.5940790392403296
0,demo_17,154,0.5,77,0.8973395026026604
0,demo_17,154,0.3,46,0.9324082639531298
0,demo_17,154,0.15,23,0.8448616600790515
0,demo_18,152,1.0,152,0.6591590975881465
0,demo_18,152,0.5,76,0.9112508544087491
0,demo_18,152,0.3,46,0.8815911193339501
0,demo_18,152,0.15,23,0.9179841897233202
0,demo_19,157,1.0,157,0.6616699433759823
0,demo_19,157,0.5,78,0.9353304922925175
0,demo_19,157,0.3,47,0.9795328399629972
0,demo_19,157,0.15,24,0.8652173913043478
0,demo_2,136,1.0,136,0.6954391488955678
