task_id,demo,T,rho
0,demo_0,98,0.7560838768497089
0,demo_1,84,0.7973676217474942
0,demo_10,93,0.690027155262451
0,demo_11,128,0.6920264145760849
0,demo_12,86,0.8754846926741827
0,demo_13,88,0.8211405022718469
0,demo_14,112,0.7877985444357126
0,demo_15,84,0.8834463906044348
0,demo_16,89,0.8789751447054819
0,demo_17,97,0.940524405638544
0,demo_18,75,0.9194879089615932
0,demo_19,99,0.8407421150278294
0,demo_2,90,0.873795118738939
0,demo_20,87,0.9049719326383319
0,demo_21,121,0.3333491396829697
0,demo_22,96,0.8594818231144872
0,demo_23,85,0.9303888997459449
0,demo_24,100,0.7402700270027002
0,demo_25,91,0.8594999203694856
0,demo_26,105,0.49787476674269127
0,demo_27,113,0.7735627786279861
0,demo_28,92,0.6918761462940985
0,demo_29,124,0.6078678206136899
0,demo_3,97,0.7918945928887018
0,demo_30,127,0.9405464941882263
0,demo_31,151,0.87392471244336
0,demo_32,93,0.827758049595655
0,demo_33,111,0.8418831168831168
0,demo_35,89,0.886346612189309
0,demo_36,102,0.8093197098122149
0,demo_38,89,0.8669901259788902
0,demo_39,108,0.8076824144731201
0,demo_4,105,0.7339104291934481
0,demo_40,95,0.7064529675251959
0,demo_41,95,0.9054591265397537
0,demo_42,109,0.8666852006301549
0,demo_43,96,0.9258681497558329
0,demo_44,88,0.865820154274242
0,demo_45,90,0.9538379223772481
0,demo_46,85,0.8094195817862029
0,demo_47,92,0.8781499005902932
0,demo_48,96,0.6008545849158979
0,demo_49,92,0.9454864910685387
0,demo_5,134,0.8444369630544022
0,demo_6,92,0.5119060462678976
0,demo_7,92,0.8726014518440885
0,demo_8,79,0.9344206426484909
0,demo_9,89,0.7085631596867553
1,demo_0,152,0.9200753148941695
1,demo_1,123,0.8253021372096323
1,demo_10,111,0.8446823446823446
1,demo_11,117,0.665205532826807
1,demo_12,114,0.931609323423989
1,demo_13,125,0.8804178187403993
1,demo_14,150,0.7431850304457976
1,demo_15,128,0.8726309284013916
1,demo_16,135,0.9460686762267098
1,demo_17,113,0.628335218577417
1,demo_18,112,0.610132572521953
1,demo_19,125,0.8920491551459293
1,demo_2,140,0.9273971704095693
1,demo_20,162,0.8093121128597255
1,demo_21,134,0.911769473434831
1,demo_22,132,0.9367346193380744
1,demo_23,109,0.7558428319896211
1,demo_25,143,0.8684214846186676
1,demo_26,145,0.8762438985986458
1,demo_27,116,0.6291546534425094
1,demo_29,120,0.9389193694006528
1,demo_30,154,0.8152673386069971
1,demo_31,120,0.8794569067296338
1,demo_32,150,0.9328254589092848
1,demo_33,117,0.867044313566815
1,demo_34,120,0.8022571011875824
1,demo_35,137,0.6981397128829315
1,demo_36,120,0.9184040558372107
1,demo_37,129,0.894605322003578
1,demo_38,143,0.9197486785514953
1,demo_39,124,0.865183320220299
1,demo_4,142,0.8473902483491935
1,demo_40,126,0.9370738657667792
1,demo_41,112,0.9525552511281227
1,demo_42,137,0.8379086004443034
1,demo_43,135,0.9445517510486784
1,demo_44,126,0.4334428196475441
1,demo_45,133,0.8941502331133124
1,demo_46,134,0.8681779074552053
1,demo_47,133,0.9455371808081942
1,demo_48,141,0.76049488419881
1,demo_49,127,0.8091547150356204
1,demo_5,155,0.7260094743965712
1,demo_6,145,0.9054085970713273
1,demo_7,131,0.9059093578177547
1,demo_8,152,0.9316527586984601
1,demo_9,127,0.8647122234720659
2,demo_0,103,0.8958507226639721
2,demo_1,123,0.9752486102333261
2,demo_10,109,0.9139746084700213
2,demo_11,101,0.9331391962725684
2,demo_12,124,0.8967867820613689
2,demo_13,122,0.9189613410834016
2,demo_14,114,0.8529150887993359
2,demo_15,136,0.677238681360622
2,demo_16,105,0.9059610201119636
2,demo_17,164,0.7120971800905961
2,demo_18,107,0.9119398891044104
2,demo_19,98,0.8450229201333765
2,demo_2,122,0.8866370807049081
2,demo_20,117,0.9584513479896295
2,demo_21,108,0.8303085731706155
2,demo_22,117,0.9611713048299838
2,demo_23,117,0.9386923226782957
2,demo_24,106,0.9272791394815729
2,demo_25,117,0.8998636275082796
2,demo_26,143,0.9105683049345021
2,demo_27,125,0.772043010752688
2,demo_28,111,0.9186293436293436
2,demo_29,110,0.8964091698036651
2,demo_3,102,0.9249537746464539
2,demo_30,115,0.9320287224808649
2,demo_31,122,0.9220675366217148
2,demo_32,119,0.9557399230878793
2,demo_33,121,0.8788985232353337
2,demo_34,131,0.7956867559920996
2,demo_35,140,0.9118847171502922
2,demo_36,121,0.9503048367429885
2,demo_37,129,0.8825078264758499
2,demo_38,114,0.9693323342986169
2,demo_39,115,0.9347589363213131
2,demo_4,111,0.9603632853632853
2,demo_40,108,0.9536997342021777
2,demo_41,106,0.6903040532030127
2,demo_42,138,0.9523641004682766
2,demo_43,93,0.9367073498254304
2,demo_44,100,0.8743354335433543
2,demo_45,126,0.8899737532808398
2,demo_46,125,0.9373824884792624
2,demo_47,117,0.9632318781938887
2,demo_48,131,0.9436982864463781
2,demo_49,135,0.9202126621792996
2,demo_5,111,0.816093366093366
2,demo_6,109,0.9534704846631452
2,demo_7,123,0.9625827088519431
2,demo_8,111,0.9352053352053352
2,demo_9,110,0.9621035547641053
3,demo_0,99,0.9336672850958565
3,demo_1,101,0.9162492719860221
3,demo_10,89,0.90658835546476
3,demo_11,97,0.888951714706501
3,demo_12,93,0.9388708185371966
3,demo_13,99,0.9318862090290662
3,demo_14,100,0.9013861386138613
3,demo_15,119,0.8439680957128615
3,demo_16,101,0.9156202679091437
3,demo_17,94,0.9593396669436117
3,demo_19,100,0.7999039903990398
3,demo_2,95,0.953555431131019
3,demo_20,96,0.8847259902333153
3,demo_21,96,0.956592512208356
3,demo_22,96,0.9194655453065654
3,demo_23,97,0.7929465600673258
3,demo_24,96,0.6825556158437331
3,demo_25,98,0.9615043768210187
3,demo_26,92,0.94109396914446
3,demo_27,101,0.9273616773442049
3,demo_28,95,0.9697928331466965
3,demo_29,106,0.9535178980779404
3,demo_3,115,0.8789789315868383
3,demo_30,86,0.9760506441480554
3,demo_31,99,0.9461595547309833
3,demo_32,99,0.9139146567717995
3,demo_33,111,0.9774921024921025
3,demo_34,89,0.9560435818862786
3,demo_35,101,0.8320442632498544
3,demo_36,92,0.9789467194796788
3,demo_37,97,0.9170655375552282
3,demo_38,97,0.9465995160950976
3,demo_39,92,0.8976465329901514
3,demo_4,103,0.7629376619953434
3,demo_40,95,0.9581606942889138
3,demo_41,114,0.9555294546485492
3,demo_42,89,0.9413006469186246
3,demo_43,102,0.6704909782811519
3,demo_44,113,0.8074971721338746
3,demo_45,99,0.9298206555349412
3,demo_46,103,0.9409677986205686
3,demo_47,90,0.9510721488249577
3,demo_48,100,0.7386738673867387
3,demo_49,90,0.9687204181586204
3,demo_5,99,0.9494248608534323
3,demo_6,111,0.9471568971568971
3,demo_7,95,0.9720884658454648
3,demo_8,111,0.8906370656370656
3,demo_9,129,0.8840898926654742
4,demo_0,153,0.8416830847171404
4,demo_1,142,0.8918127123101652
4,demo_10,139,0.6060458465525715
4,demo_12,145,0.603794678003464
4,demo_13,141,0.7802474420994049
4,demo_14,138,0.8943900417590395
4,demo_15,150,0.7406213609493756
4,demo_16,131,0.8134575348315807
4,demo_17,156,0.8222661250810007
4,demo_18,148,0.8021152230164695
4,demo_19,162,0.6733548699406262
4,demo_2,158,0.6993241136121966
4,demo_20,153,0.813092222534947
4,demo_21,163,0.725292477873654
4,demo_22,149,0.808155269363323
4,demo_23,165,0.8138540859669278
4,demo_24,140,0.8922262797664606
4,demo_25,151,0.8908818403624955
4,demo_26,149,0.5840921458371123
4,demo_27,132,0.7229158948725037
4,demo_28,142,0.8422602270369728
4,demo_29,139,0.5450154162384377
4,demo_3,129,0.7628298300536673
4,demo_32,156,0.7972783739785999
4,demo_33,147,0.794819001276927
4,demo_34,131,0.8381465862381894
4,demo_36,163,0.7345337257053552
4,demo_37,138,0.9024907018212784
4,demo_38,140,0.7996370077190529
4,demo_4,143,0.8296398437243506
4,demo_40,157,0.9240382289644566
4,demo_41,134,0.7754485716779511
4,demo_42,127,0.6291303430821147
4,demo_43,137,0.77783430096888
4,demo_44,137,0.7872010752888905
4,demo_46,147,0.7865038647817513
4,demo_47,151,0.8412059951202508
4,demo_48,134,0.8711455255053057
4,demo_49,137,0.7788330501988164
4,demo_5,158,0.7453111617852649
4,demo_7,156,0.762140633149468
4,demo_8,159,0.8864192739431574
4,demo_9,132,0.8558175452510525
5,demo_0,137,0.8409748539212575
5,demo_1,131,0.7696097795334437
5,demo_10,137,0.8197537663113484
5,demo_11,100,0.8705190519051904
5,demo_12,96,0.8171052631578947
5,demo_13,128,0.955519822376854
5,demo_14,154,0.7011097694209649
5,demo_15,102,0.9557028232806148
5,demo_16,116,0.7578518433091147
5,demo_17,120,0.9072227238002637
5,demo_18,114,0.9640347502075698
5,demo_19,98,0.8577102818634481
5,demo_2,121,0.9625321772117597
5,demo_20,118,0.7250957749462237
5,demo_21,129,0.7195494186046513
5,demo_22,107,0.975058288759576
5,demo_23,138,0.8897186915653132
5,demo_24,98,0.8147135142716879
5,demo_25,91,0.9645484949832777
5,demo_26,98,0.9341404790594775
5,demo_27,147,0.8106899183220123
5,demo_28,106,0.9235408217245636
5,demo_29,116,0.7823934186752778
5,demo_3,121,0.7477306598021947
5,demo_30,119,0.7148127047429143
5,demo_31,118,0.9539257684820996
5,demo_32,111,0.9509389259389259
5,demo_33,109,0.9515336854786397
5,demo_34,111,0.8165672165672165
5,demo_35,128,0.9413225599707012
5,demo_36,110,0.9368122083718413
5,demo_37,102,0.9362966565074555
5,demo_38,98,0.8559123743217997
5,demo_39,86,0.904335110146705
5,demo_4,119,0.9426719840478566
5,demo_40,117,0.9415096884413073
5,demo_41,128,0.8877266068485623
5,demo_42,144,0.9642150952495782
5,demo_43,113,0.8526848093685542
5,demo_44,142,0.9046084272335396
5,demo_45,112,0.9678989988724502
5,demo_46,108,0.9026265397696419
5,demo_47,110,0.9186529314969681
5,demo_48,108,0.9721055188773614
5,demo_49,109,0.8799184505606524
5,demo_5,100,0.8974017401740174
5,demo_6,101,0.944507862550961
5,demo_7,129,0.7258665026833633
5,demo_8,123,0.9094233274432163
5,demo_9,118,0.9616096764651102
6,demo_0,123,0.7418065032051695
6,demo_1,137,0.7465323800100808
6,demo_10,127,0.836971550431196
6,demo_11,111,0.6986925236925237
6,demo_12,124,0.5250542879622344
6,demo_13,124,0.5579166011014948
6,demo_14,141,0.8980521426430925
6,demo_15,106,0.7032924402347784
6,demo_16,118,0.6926948093448592
6,demo_17,141,0.3848752086990025
6,demo_18,130,0.8508569009545398
6,demo_19,113,0.6835035597844168
6,demo_2,125,0.7559262672811059
6,demo_20,122,0.6574196767573962
6,demo_21,108,0.8328712833557214
6,demo_22,124,0.6224390243902438
6,demo_23,120,0.7323564136398361
6,demo_24,133,0.6669183134226339
6,demo_25,146,0.567967763392556
6,demo_26,122,0.6212159764193497
6,demo_27,129,0.8314009391771021
6,demo_28,155,0.5298153459443782
6,demo_29,123,0.684190839793115
6,demo_3,108,0.8615945963969628
6,demo_30,135,0.8100916983708907
6,demo_31,141,0.7308446423220171
6,demo_32,124,0.5964059795436664
6,demo_33,113,0.870758200811764
6,demo_34,115,0.5309555748441569
6,demo_35,122,0.7384649446006721
6,demo_36,130,0.6302011498176953
6,demo_37,125,0.9311397849462364
6,demo_38,131,0.7115464687983772
6,demo_39,117,0.940265851428914
6,demo_4,123,0.5553456036940062
6,demo_40,110,0.7591145774632012
6,demo_41,133,0.7729313106375164
6,demo_42,114,0.8219234118385615
6,demo_43,107,0.9348733321577617
6,demo_44,133,0.6944175227757317
6,demo_45,154,0.843922554358987
6,demo_46,122,0.6780064833570704
6,demo_47,119,0.8479774960831792
6,demo_48,159,0.4938918079770719
6,demo_49,152,0.78943267791606
6,demo_5,130,0.8406532930942658
6,demo_6,124,0.9111580033968847
6,demo_7,123,0.6542802233945132
6,demo_8,133,0.7973903551279827
6,demo_9,113,0.664398828930734
7,demo_0,155,0.728716444845477
7,demo_1,125,0.6773701996927802
7,demo_10,140,0.8597056701143646
7,demo_11,164,0.576858514820508
7,demo_12,124,0.6866341463414632
7,demo_13,138,0.5928352000113455
7,demo_14,120,0.40293075908049164
7,demo_15,137,0.5888326768346184
7,demo_16,141,0.6927993492872125
7,demo_17,152,0.6865752226300069
7,demo_18,137,0.6631228181529673
7,demo_19,128,0.8869655282915216
7,demo_2,124,0.7670999213217938
7,demo_21,124,0.6229614476789929
7,demo_22,128,0.6651712140633583
7,demo_23,126,0.5803524559430071
