task_id,demo,T,rho
0,demo_0,138,0.458570877350801
0,demo_1,138,0.5553997931454899
0,demo_10,130,0.26444441409823977
0,demo_11,127,0.31469113235845514
0,demo_12,138,0.2813609474210539
0,demo_13,128,0.3596754257462003
0,demo_14,128,0.35484000183116643
0,demo_15,140,0.19444578076140914
0,demo_16,185,0.5704237898487547
0,demo_17,195,0.3520691385198012
0,demo_18,126,0.28134983127109114
0,demo_19,127,0.31207231908511435
0,demo_2,151,0.33176019518996164
0,demo_20,116,0.4301233998385423
0,demo_21,128,0.4588845907342977
0,demo_22,129,0.3458966905187836
0,demo_23,137,0.4316370153266002
0,demo_24,153,0.20998686555962098
0,demo_25,160,0.3693161842259463
0,demo_26,128,0.3651803698956235
0,demo_27,156,0.4769388819522371
0,demo_28,187,0.6697484759174774
0,demo_29,146,0.3518783800719154
0,demo_3,131,0.47204398654780333
0,demo_30,136,0.33452125375697717
0,demo_31,196,0.3929778705703289
0,demo_32,167,0.17008925350675586
0,demo_33,139,0.29140712274900576
0,demo_34,146,0.5974048759796787
0,demo_35,143,0.4275870842772251
0,demo_36,126,0.34340607424071995
0,demo_37,133,0.33234715010048865
0,demo_38,128,0.6569595770005493
0,demo_39,123,0.5673343565799487
0,demo_4,141,0.5247827389871141
0,demo_40,150,0.4510582692564114
0,demo_41,136,0.3150183674443013
0,demo_42,131,0.5012010889873485
0,demo_43,130,0.2611724863100684
0,demo_44,137,0.3777745626971829
0,demo_45,136,0.33740279566814557
0,demo_46,124,0.4910590086546026
0,demo_47,127,0.28491751031121104
0,demo_48,143,0.3858383400636921
0,demo_49,129,0.5116838103756709
0,demo_5,139,0.009861924125296035
0,demo_6,121,0.29557648015174093
0,demo_7,141,0.34076373132411486
0,demo_8,125,0.3162519201228878
0,demo_9,158,0.3219017310176023
1,demo_0,94,0.7779575913015208
1,demo_1,99,0.6786765615337044
1,demo_10,96,0.8149755832881173
1,demo_11,93,0.7906657515442689
1,demo_12,111,0.6778343278343278
1,demo_13,94,0.7772206769497525
1,demo_14,123,0.7163134746101559
1,demo_15,102,0.6571351024308599
1,demo_16,97,0.8039659162634125
1,demo_17,114,0.6485692877827506
1,demo_18,104,0.7258935239517765
1,demo_19,106,0.09635488827871125
1,demo_2,110,0.679282284786872
1,demo_20,119,0.19857570146702752
1,demo_21,92,0.8477567313471941
1,demo_22,104,0.718809345993812
1,demo_23,100,0.8202820282028201
1,demo_24,100,0.7264086408640864
1,demo_25,104,0.037640029873039584
1,demo_26,92,0.7978823420618651
1,demo_27,104,0.7136989224367866
1,demo_28,102,0.7622292212088142
1,demo_29,91,0.667032967032967
1,demo_3,97,0.8703318956448558
1,demo_30,108,0.6617032019587108
1,demo_31,114,0.655187217755817
1,demo_32,90,0.684849981479195
1,demo_33,103,0.7561503316786012
1,demo_34,98,0.8254499550523113
1,demo_35,92,0.8069602207049612
1,demo_36,99,0.7142857142857142
1,demo_37,91,0.7856187290969899
1,demo_38,103,0.7242235206255766
1,demo_39,99,0.7703277674706247
1,demo_4,104,0.7370425690814042
1,demo_40,115,0.6391067624082696
1,demo_41,95,0.7452687569988802
1,demo_42,98,0.5950372651403578
1,demo_43,102,0.8259212557463628
1,demo_44,95,0.7826287793952967
1,demo_45,98,0.6643268366390604
1,demo_46,119,0.7151616578834925
1,demo_47,115,0.7425708198532314
1,demo_48,91,0.8102882624621756
1,demo_49,106,0.7286041766380331
1,demo_5,99,0.7584291898577613
1,demo_6,112,0.24166296511429256
1,demo_7,92,0.756006966385648
1,demo_8,101,0.6677810133954571
1,demo_9,94,0.773203771267565
2,demo_0,93,0.3528393661782698
2,demo_1,130,0.4883939422906225
2,demo_10,104,0.24282513602901953
2,demo_11,99,0.5665058750773037
2,demo_12,90,0.33626373626373623
2,demo_13,93,0.31814926442063796
2,demo_14,100,0.6669306930693069
2,demo_15,116,0.17202168146695884
2,demo_16,92,0.14170121603501687
2,demo_17,114,0.3484214576456532
2,demo_18,129,0.5543604651162792
2,demo_19,115,0.6729266945474632
2,demo_2,87,0.5767842822774659
