task_id,demo,T_full,fraction,T_used,rho
0,demo_0,138,1.0,138,0.458570877350801
0,demo_0,138,0.5,69,0.5427475337961272
0,demo_0,138,0.3,41,0.9822299651567947
0,demo_0,138,0.15,21,0.9662337662337662
0,demo_1,138,1.0,138,0.5553997931454899
0,demo_1,138,0.5,69,0.33785166240409203
0,demo_1,138,0.3,41,0.9627177700348435
0,demo_1,138,0.15,21,0.9753246753246754
0,demo_10,130,1.0,130,0.26444441409823977
0,demo_10,130,0.5,65,0.1585227272727273
0,demo_10,130,0.3,39,0.7433198380566801
0,demo_10,130,0.15,20,0.8676691729323308
0,demo_11,127,1.0,127,0.31469113235845514
0,demo_11,127,0.5,64,0.6073717948717948
0,demo_11,127,0.3,38,0.8282087755771966
0,demo_11,127,0.15,19,0.37543859649122807
0,demo_12,138,1.0,138,0.2813609474210539
0,demo_12,138,0.5,69,0.45283156740957253
0,demo_12,138,0.3,41,0.8961672473867597
0,demo_12,138,0.15,21,0.9532467532467532
0,demo_13,128,1.0,128,0.3596754257462003
0,demo_13,128,0.5,64,0.41327838827838825
0,demo_13,128,0.3,38,0.2535288324762009
0,demo_13,128,0.15,19,0.7350877192982455
0,demo_14,128,1.0,128,0.35484000183116643
0,demo_14,128,0.5,64,0.2765567765567766
0,demo_14,128,0.3,38,0.8279899332530912
0,demo_14,128,0.15,19,0.9684210526315788
0,demo_15,140,1.0,140,0.19444578076140914
0,demo_15,140,0.5,70,-0.033575365234887584
0,demo_15,140,0.3,42,0.1093104286524593
0,demo_15,140,0.15,21,0.6909090909090909
0,demo_16,185,1.0,185,0.5704237898487547
0,demo_16,185,0.5,92,0.5822480464836706
0,demo_16,185,0.3,56,-0.22371838687628162
0,demo_16,185,0.15,28,0.8308702791461413
0,demo_17,195,1.0,195,0.3520691385198012
0,demo_17,195,0.5,98,0.6678716472530903
0,demo_17,195,0.3,58,0.6062628810483252
0,demo_17,195,0.15,29,0.939901477832512
0,demo_18,126,1.0,126,0.28134983127109114
0,demo_18,126,0.5,63,0.23583909370199693
0,demo_18,126,0.3,38,0.9503227924280555
0,demo_18,126,0.15,19,0.9736842105263157
0,demo_19,127,1.0,127,0.31207231908511435
0,demo_19,127,0.5,64,0.3380494505494505
0,demo_19,127,0.3,38,0.8363059415690994
0,demo_19,127,0.15,19,0.8736842105263157
0,demo_2,151,1.0,151,0.33176019518996164
0,demo_2,151,0.5,76,0.11130553656869446
0,demo_2,151,0.3,45,0.7176548089591567
0,demo_2,151,0.15,23,0.9693675889328063
0,demo_20,116,1.0,116,0.4301233998385423
0,demo_20,116,0.5,58,0.1652773078224492
0,demo_20,116,0.3,35,0.6761904761904762
0,demo_20,116,0.15,17,0.8872549019607844
0,demo_21,128,1.0,128,0.4588845907342977
0,demo_21,128,0.5,64,0.32216117216117207
0,demo_21,128,0.3,38,0.6198708830287778
0,demo_21,128,0.15,19,0.7333333333333334
0,demo_22,129,1.0,129,0.3458966905187836
0,demo_22,129,0.5,64,0.00467032967032967
0,demo_22,129,0.3,39,0.710323886639676
0,demo_22,129,0.15,19,0.863157894736842
0,demo_23,137,1.0,137,0.4316370153266002
0,demo_23,137,0.5,68,0.663129365957934
0,demo_23,137,0.3,41,0.9649825783972127
0,demo_23,137,0.15,21,0.9896103896103896
0,demo_24,153,1.0,153,0.20998686555962098
0,demo_24,153,0.5,76,0.06252904989747095
0,demo_24,153,0.3,46,0.7316065371569532
0,demo_24,153,0.15,23,0.9693675889328063
0,demo_25,160,1.0,160,0.3693161842259463
0,demo_25,160,0.5,80,-0.14842944210032818
0,demo_25,160,0.3,48,0.030069474598349976
0,demo_25,160,0.15,24,0.6286956521739131
0,demo_26,128,1.0,128,0.3651803698956235
0,demo_26,128,0.5,64,0.38021978021978015
0,demo_26,128,0.3,38,0.9262501367764526
0,demo_26,128,0.15,19,0.9298245614035087
0,demo_27,156,1.0,156,0.4769388819522371
0,demo_27,156,0.5,78,0.5877034358047015
0,demo_27,156,0.3,47,0.9458834412580943
0,demo_27,156,0.15,23,0.9407114624505929
0,demo_28,187,1.0,187,0.6697484759174774
0,demo_28,187,0.5,94,0.7167648015027274
0,demo_28,187,0.3,56,0.22706766917293233
0,demo_28,187,0.15,28,0.8281335522714832
0,demo_29,146,1.0,146,0.3518783800719154
0,demo_29,146,0.5,73,0.822874244107121
0,demo_29,146,0.3,44,0.9599718111346017
0,demo_29,146,0.15,22,0.9435347261434219
0,demo_3,131,1.0,131,0.47204398654780333
0,demo_3,131,0.5,66,0.3658699509445779
0,demo_3,131,0.3,39,0.9487854251012146
0,demo_3,131,0.15,20,0.9533834586466164
0,demo_30,136,1.0,136,0.33452125375697717
0,demo_30,136,0.5,68,0.3924876894300874
0,demo_30,136,0.3,41,0.9059233449477353
0,demo_30,136,0.15,20,0.8872180451127819
0,demo_31,196,1.0,196,0.3929778705703289
0,demo_31,196,0.5,98,0.6629879693208116
0,demo_31,196,0.3,59,0.03693746347165401
0,demo_31,196,0.15,29,0.4532019704433496
0,demo_32,167,1.0,167,0.17008925350675586
0,demo_32,167,0.5,84,0.4406398704059938
0,demo_32,167,0.3,50,0.401968787515006
0,demo_32,167,0.15,25,0.98
0,demo_33,139,1.0,139,0.29140712274900576
0,demo_33,139,0.5,70,0.6180911556294287
0,demo_33,139,0.3,42,0.9656429786889232
0,demo_33,139,0.15,21,0.9480519480519479
0,demo_34,146,1.0,146,0.5974048759796787
0,demo_34,146,0.5,73,0.03591262495372085
0,demo_34,146,0.3,44,0.1481324876673714
0,demo_34,146,0.15,22,0.8294748729531339
0,demo_35,143,1.0,143,0.4275870842772251
0,demo_35,143,0.5,72,0.37844877484082584
0,demo_35,143,0.3,43,0.8067049229839928
0,demo_35,143,0.15,21,0.9285714285714285
0,demo_36,126,1.0,126,0.34340607424071995
0,demo_36,126,0.5,63,0.1529377880184332
0,demo_36,126,0.3,38,0.6102418207681366
0,demo_36,126,0.15,19,0.9157894736842105
0,demo_37,133,1.0,133,0.33234715010048865
0,demo_37,133,0.5,66,0.4761715896044255
0,demo_37,133,0.3,40,0.9412757973733584
0,demo_37,133,0.15,20,0.9368421052631578
0,demo_38,128,1.0,128,0.6569595770005493
0,demo_38,128,0.5,64,0.06117216117216116
0,demo_38,128,0.3,38,0.8912353649195754
0,demo_38,128,0.15,19,0.8175438596491227
0,demo_39,123,1.0,123,0.5673343565799487
0,demo_39,123,0.5,62,0.40283548638916167
0,demo_39,123,0.3,37,0.8992413466097675
0,demo_39,123,0.15,18,0.8740970072239421
0,demo_4,141,1.0,141,0.5247827389871141
0,demo_4,141,0.5,70,-0.039804041641151255
0,demo_4,141,0.3,42,0.5901466655862573
0,demo_4,141,0.15,21,0.8987012987012987
0,demo_40,150,1.0,150,0.4510582692564114
0,demo_40,150,0.5,75,0.7813086770981507
0,demo_40,150,0.3,45,0.9665349143610011
0,demo_40,150,0.15,22,0.9209486166007905
0,demo_41,136,1.0,136,0.3150183674443013
0,demo_41,136,0.5,68,0.4746345001336031
0,demo_41,136,0.3,41,0.9534843205574917
0,demo_41,136,0.15,20,0.9759398496240601
0,demo_42,131,1.0,131,0.5012010889873485
0,demo_42,131,0.5,66,0.45705041227429294
0,demo_42,131,0.3,39,0.9803643724696357
0,demo_42,131,0.15,20,0.9639097744360902
