task_id,demo,T,rho
0,demo_0,148,0.5005571247181986
0,demo_1,179,0.15758793128700857
0,demo_10,157,0.21222222911330385
0,demo_11,152,0.402883425939215
0,demo_12,172,0.3514856505425413
0,demo_13,146,0.3989993541110351
0,demo_14,149,0.07419191003083621
0,demo_15,154,0.45619162621060155
0,demo_16,155,0.233282846186072
0,demo_17,154,0.29021743594798627
0,demo_18,152,0.4955303139031841
0,demo_19,157,0.4347924509578948
0,demo_2,136,0.6115500214684414
0,demo_20,154,0.1521723058724956
0,demo_21,163,0.09451842984687515
0,demo_22,146,0.2995902943132851
0,demo_23,161,0.10312859443294227
0,demo_24,177,0.47631619951178134
0,demo_25,143,0.24958140451098196
0,demo_26,136,0.3336148084537951
0,demo_27,154,0.23259814189605466
0,demo_28,136,0.35049854491675014
0,demo_29,175,-0.0054411106135244065
0,demo_3,146,0.29257998901024745
0,demo_30,155,0.042853920273275115
0,demo_31,179,0.04593978197644006
0,demo_32,153,0.3857203168348679
0,demo_33,152,0.3665586834245723
0,demo_34,160,0.3816447908121411
0,demo_35,150,0.23956798079914662
0,demo_36,151,0.28042872080864406
0,demo_37,149,0.10140758207872304
0,demo_38,157,0.28140524314836984
0,demo_39,171,0.31150070799433605
0,demo_4,153,0.5056826558374545
0,demo_40,137,0.6041452760094834
0,demo_41,151,0.7331439525967235
0,demo_42,160,0.579095863119653
0,demo_43,151,0.270205646566748
0,demo_44,150,0.4447788790612916
0,demo_45,149,0.32478505350988573
0,demo_48,151,0.13460439177413733
0,demo_49,148,0.437470616761125
0,demo_5,150,0.3381394728654607
0,demo_6,156,-0.025942374863681616
0,demo_7,153,0.26249782209534533
0,demo_9,141,0.3499036773834496
1,demo_0,139,-0.0016488672416104383
1,demo_10,132,0.5271871559537288
1,demo_11,162,0.2724380822540332
1,demo_12,133,0.30360330949490416
1,demo_13,142,0.14899484692712142
1,demo_14,157,0.028380230589373535
1,demo_15,130,0.5767250679375656
1,demo_16,119,0.16283292978208236
1,demo_17,144,0.23561610802990113
1,demo_18,177,-0.011212150066653971
1,demo_19,127,0.6639306805399324
1,demo_2,125,0.14291244239631334
1,demo_20,123,0.5260540944912357
1,demo_21,147,0.3460660828566895
1,demo_22,125,0.46615668202764965
1,demo_23,140,0.04867157945376223
1,demo_24,127,0.5842707161604799
1,demo_25,131,-0.2978166871296642
1,demo_26,138,0.4586987344431024
1,demo_27,121,0.14478390461997012
1,demo_28,140,0.058105005357416195
1,demo_29,178,0.6323828714722071
1,demo_3,133,0.09298517664582077
1,demo_30,171,0.1345525235798114
1,demo_31,151,-0.08415475775531543
1,demo_32,172,0.5154838298865863
1,demo_33,145,0.22459848842701935
1,demo_34,127,0.6487216441694788
1,demo_35,139,0.32511729746637463
1,demo_36,141,0.626854745494242
1,demo_37,135,0.4786898839137646
1,demo_38,130,0.0662879460323096
1,demo_39,164,0.1261355134466013
1,demo_4,127,0.39597394075740533
1,demo_40,151,0.17250958522133147
1,demo_41,136,0.4200419827298315
1,demo_42,139,0.4826086956521739
1,demo_43,142,0.02484749293259932
1,demo_44,137,0.1579097205368977
1,demo_45,163,0.14145343907426805
1,demo_46,135,0.2923031899326895
1,demo_47,156,0.6531396690426893
1,demo_48,137,0.22869957249799314
1,demo_49,128,-0.1412859366416407
1,demo_5,156,0.6647753315104865
1,demo_6,168,-0.0959425190194421
1,demo_7,141,0.24566120125005353
1,demo_8,176,0.4635923398635263
1,demo_9,150,0.5211591626294503
2,demo_0,137,0.7760934903952059
2,demo_1,124,0.18661211644374506
2,demo_10,163,0.28723239175132037
2,demo_11,167,0.3175894338689231
2,demo_12,122,0.7629179733065451
2,demo_13,139,0.679310961168953
2,demo_14,124,0.6792509834775766
2,demo_15,125,0.5040307219662058
2,demo_16,134,0.6491327822042668
2,demo_17,128,0.7703259476286394
2,demo_18,124,0.7929504327301335
2,demo_19,128,0.8603678355612525
2,demo_2,129,0.7000391323792489
2,demo_20,145,0.5305581798142025
2,demo_21,123,0.605228876191459
2,demo_22,135,0.5850746268656718
2,demo_23,121,0.655019645034548
2,demo_24,131,0.7218598195697432
2,demo_25,177,0.41734258409653574
2,demo_26,129,0.7837321109123436
2,demo_27,128,-0.02710126350485259
2,demo_28,128,0.18058162424464383
2,demo_29,126,0.6893468316460444
2,demo_3,125,0.3009892473118279
2,demo_30,149,0.6199020497007075
2,demo_31,126,0.8256857892763406
2,demo_32,122,0.8154325046840768
2,demo_33,124,0.6479811172305271
2,demo_34,132,0.6549597449557272
2,demo_35,123,0.6529710696366615
2,demo_36,128,0.7687122321919062
2,demo_37,132,0.7718532973655512
2,demo_38,133,0.5416798441150366
2,demo_39,136,0.00059157482944516
2,demo_40,116,0.7042094337446662
2,demo_41,120,0.7675741370928536
2,demo_42,124,0.7834901652242329
2,demo_43,125,0.632921658986175
2,demo_44,126,0.33284139482564684
2,demo_45,115,0.7365264736053027
2,demo_46,118,0.5871579400991166
2,demo_47,129,0.3290082737030412
2,demo_48,129,0.7866726296958856
2,demo_49,134,0.3049639022930461
2,demo_5,118,0.18547653742070494
2,demo_6,126,0.4278335208098987
2,demo_7,124,-0.2580078678206137
2,demo_8,134,0.25237471788925053
2,demo_9,170,0.0441240588418488
3,demo_0,134,0.4926520280801507
3,demo_1,179,0.17758249115979327
3,demo_10,130,0.6035996667986726
3,demo_11,149,0.39701070197714494
3,demo_12,126,0.5557195350581178
3,demo_14,125,0.6681474654377878
3,demo_15,135,-0.04780509218612818
3,demo_16,140,0.5998513043668411
3,demo_17,123,0.669241980627104
3,demo_18,139,0.466611555476116
3,demo_19,132,0.5640610895733433
3,demo_2,172,-0.07292764779269048
3,demo_20,124,0.5078269079464988
3,demo_21,135,-0.21899326894937085
3,demo_22,132,0.5572779972137143
3,demo_23,135,0.1359916105745781
3,demo_24,135,0.7622719734660035
3,demo_25,166,0.35027382256297923
3,demo_26,171,-0.10459116327069386
3,demo_27,168,0.1550128820971751
3,demo_28,127,0.7437019591301087
3,demo_29,141,0.5242989854017722
3,demo_3,136,0.1369161776632794
3,demo_31,162,0.5709162655014882
3,demo_32,131,0.14649015107030375
3,demo_33,134,0.6063142931956759
3,demo_34,134,0.3438122669858727
3,demo_35,162,0.25940321299083635
3,demo_36,131,0.06810441466930016
3,demo_37,132,0.5749192551121036
3,demo_38,139,0.4236605746458733
3,demo_39,141,0.5991223939380966
3,demo_4,166,0.7140151241875504
3,demo_40,149,-0.0720152367132233
3,demo_41,129,0.595824016100179
3,demo_42,174,0.6000478373529998
3,demo_43,177,-0.021192932947836775
3,demo_44,135,0.573202614379085
3,demo_45,161,0.5192057740970785
3,demo_46,129,0.6697842128801432
3,demo_47,149,-0.2941411209867586
3,demo_48,174,0.26261909507673903
3,demo_49,142,0.1275359342485504
3,demo_5,132,0.31328494727450124
3,demo_6,128,0.5971319355429409
3,demo_7,160,0.5999414039610922
3,demo_8,162,0.5090133383011485
3,demo_9,150,0.2159011511622739
4,demo_1,155,0.5359060294544166
4,demo_10,160,0.43957283487636234
4,demo_11,148,0.39244901661009046
4,demo_12,162,0.21073273860683836
4,demo_13,150,0.17990666251833415
4,demo_14,141,0.3274626482298043
4,demo_15,144,0.4983120327947914
4,demo_16,150,0.39137561669407533
4,demo_18,179,0.5814428891260226
4,demo_19,156,0.3334955982993788
4,demo_2,137,0.5866111598558814
4,demo_21,141,0.3965837578663469
4,demo_22,142,0.4111540242795862
4,demo_23,136,0.6287438576403798
4,demo_24,152,0.39258401164578755
4,demo_25,150,0.19245122005422463
4,demo_26,148,0.4273609316754092
4,demo_27,152,0.21151046685666247
4,demo_28,135,0.6680226319383475
4,demo_3,136,0.3527074089976623
4,demo_30,159,0.10428409362311918
4,demo_32,159,0.23901958442799143
4,demo_33,162,0.22892171598493283
4,demo_34,158,0.32697049861643335
4,demo_35,156,0.5328349480804792
4,demo_36,141,0.29928507213493727
4,demo_37,159,0.10544699773632456
4,demo_38,142,0.3869666443834859
4,demo_39,146,0.4758620689655173
4,demo_4,147,0.484861993668256
4,demo_40,164,0.47253138900602604
4,demo_41,160,0.7420807453416148
4,demo_42,141,0.5647459223425659
4,demo_43,148,0.46094018960749555
4,demo_44,142,0.34165983851329973
4,demo_45,160,0.07991620766436189
