task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.5005571247181986
0,demo_0,148,0.5,74,0.7182969270640502
0,demo_0,148,0.3,44,0.761522198731501
0,demo_0,148,0.15,22,0.8306041784302655
0,demo_1,179,1.0,179,0.15758793128700857
0,demo_1,179,0.5,90,0.7052969502407704
0,demo_1,179,0.3,54,0.6678482942633884
0,demo_1,179,0.15,27,0.8052503052503053
0,demo_10,157,1.0,157,0.21222222911330385
0,demo_10,157,0.5,78,0.6160548312447046
0,demo_10,157,0.3,47,0.8606614246068455
0,demo_10,157,0.15,24,0.5173913043478261
0,demo_11,152,1.0,152,0.402883425939215
0,demo_11,152,0.5,76,0.8208885850991116
0,demo_11,152,0.3,46,0.7349367869256861
0,demo_11,152,0.15,23,0.6808300395256918
0,demo_12,172,1.0,172,0.3514856505425413
0,demo_12,172,0.5,86,0.4769941978395207
0,demo_12,172,0.3,52,0.5726970033296337
0,demo_12,172,0.15,26,0.4803418803418803
0,demo_13,146,1.0,146,0.3989993541110351
0,demo_13,146,0.5,73,0.6096198938664693
0,demo_13,146,0.3,44,0.6451021846370683
0,demo_13,146,0.15,22,0.6747600225861097
0,demo_14,149,1.0,149,0.07419191003083621
0,demo_14,149,0.5,74,0.3975564605701591
0,demo_14,149,0.3,45,0.6847167325428195
0,demo_14,149,0.15,22,0.5821569734613213
0,demo_15,154,1.0,154,0.45619162621060155
0,demo_15,154,0.5,77,0.9013617960986381
0,demo_15,154,0.3,46,0.8211532531606537
0,demo_15,154,0.15,23,0.6146245059288538
0,demo_16,155,1.0,155,0.233282846186072
0,demo_16,155,0.5,78,0.252418467608341
0,demo_16,155,0.3,46,0.6545174221399938
0,demo_16,155,0.15,23,0.7490118577075098
0,demo_17,154,1.0,154,0.29021743594798627
0,demo_17,154,0.5,77,0.6437509858562489
0,demo_17,154,0.3,46,0.6022201665124884
0,demo_17,154,0.15,23,0.424901185770751
0,demo_18,152,1.0,152,0.4955303139031841
0,demo_18,152,0.5,76,0.6347505126452494
0,demo_18,152,0.3,46,0.3021276595744681
0,demo_18,152,0.15,23,0.6274703557312253
0,demo_19,157,1.0,157,0.4347924509578948
0,demo_19,157,0.5,78,0.6358831042375346
0,demo_19,157,0.3,47,0.5234736355226641
0,demo_19,157,0.15,24,-0.15391304347826085
0,demo_2,136,1.0,136,0.6115500214684414
