task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.49633334197092593
0,demo_0,148,0.5,74,0.6902480562754534
0,demo_0,148,0.3,44,0.6159267089499647
0,demo_0,148,0.15,22,0.7560700169395823
0,demo_1,179,1.0,179,0.1152156173498211
0,demo_1,179,0.5,90,0.6700333374490678
0,demo_1,179,0.3,54,0.6708214217648178
0,demo_1,179,0.15,27,0.7991452991452991
0,demo_10,157,1.0,157,0.19966943481415786
0,demo_10,157,0.5,78,0.5949620000252911
0,demo_10,157,0.3,47,0.8422756706753007
0,demo_10,157,0.15,24,0.4843478260869564
0,demo_11,152,1.0,152,0.34107668860503415
0,demo_11,152,0.5,76,0.7993438140806561
0,demo_11,152,0.3,46,0.723959296947271
0,demo_11,152,0.15,23,0.5602766798418972
0,demo_12,172,1.0,172,0.3446416821729009
0,demo_12,172,0.5,86,0.3697438558422567
0,demo_12,172,0.3,52,0.5406812942883975
0,demo_12,172,0.15,26,0.47282051282051274
0,demo_13,146,1.0,146,0.37422806628556005
0,demo_13,146,0.5,73,0.5501666049611257
0,demo_13,146,0.3,44,0.6022551092318534
0,demo_13,146,0.15,22,0.6600790513833994
0,demo_14,149,1.0,149,0.061197170324687106
0,demo_14,149,0.5,74,0.3697149203998518
0,demo_14,149,0.3,45,0.6653491436100132
0,demo_14,149,0.15,22,0.5810276679841898
0,demo_15,154,1.0,154,0.39967306570722133
0,demo_15,154,0.5,77,0.8538566696461434
0,demo_15,154,0.3,46,0.7144619179771816
0,demo_15,154,0.15,23,0.516798418972332
0,demo_16,155,1.0,155,0.17680706390383807
0,demo_16,155,0.5,78,0.1726754258399828
0,demo_16,155,0.3,46,0.5940795559666974
0,demo_16,155,0.15,23,0.7401185770750989
0,demo_17,154,1.0,154,0.2813754240699212
0,demo_17,154,0.5,77,0.6176455123823544
0,demo_17,154,0.3,46,0.5888991674375578
0,demo_17,154,0.15,23,0.40019762845849804
0,demo_18,152,1.0,152,0.47075567766318793
0,demo_18,152,0.5,76,0.5839781271360219
0,demo_18,152,0.3,46,0.24514338575393155
0,demo_18,152,0.15,23,0.6363636363636364
0,demo_19,157,1.0,157,0.4243576305980563
0,demo_19,157,0.5,78,0.5814059358363155
0,demo_19,157,0.3,47,0.4387141535615171
0,demo_19,157,0.15,24,-0.13999999999999999
0,demo_2,136,1.0,136,0.6040456085110443
0,demo_2,136,0.5,68,0.7648967439019735
0,demo_2,136,0.3,41,0.32717770034843213
0,demo_2,136,0.15,20,0.4120300751879699
0,demo_20,154,1.0,154,0.11792470653950732
0,demo_20,154,0.5,77,0.3145538671854461
0,demo_20,154,0.3,46,0.6143077397471477
0,demo_20,154,0.15,23,0.6245059288537549
0,demo_21,163,1.0,163,0.07612460582683536
0,demo_21,163,0.5,82,0.399027002318216
0,demo_21,163,0.3,49,0.5633673469387754
0,demo_21,163,0.15,24,0.8826086956521739
0,demo_22,146,1.0,146,0.3069476444333048
0,demo_22,146,0.5,73,0.6955448599284216
0,demo_22,146,0.3,44,0.8270613107822411
0,demo_22,146,0.15,22,0.5426312817617166
0,demo_23,161,1.0,161,0.05945767195767197
0,demo_23,161,0.5,80,0.5232770745428973
0,demo_23,161,0.3,48,0.44745983499782893
0,demo_23,161,0.15,24,0.4652173913043478
0,demo_24,177,1.0,177,0.43382645729817704
0,demo_24,177,0.5,88,0.3380296572857596
0,demo_24,177,0.3,53,0.29390420899854863
0,demo_24,177,0.15,27,0.7533577533577533
0,demo_25,143,1.0,143,0.24994254571719357
0,demo_25,143,0.5,72,0.4779085471734517
0,demo_25,143,0.3,43,0.8323769254001813
0,demo_25,143,0.15,21,0.8337662337662338
0,demo_26,136,1.0,136,0.33387720051524256
0,demo_26,136,0.5,68,0.5420467992518226
0,demo_26,136,0.3,41,0.7885017421602789
0,demo_26,136,0.15,20,0.5413533834586466
0,demo_27,154,1.0,154,0.22179123848953075
0,demo_27,154,0.5,77,0.6032914453967085
0,demo_27,154,0.3,46,0.8946654332408264
0,demo_27,154,0.15,23,0.58300395256917
0,demo_28,136,1.0,136,0.31308620771909734
0,demo_28,136,0.5,68,0.6592739626674808
0,demo_28,136,0.3,41,0.6790940766550524
0,demo_28,136,0.15,20,0.7007518796992479
0,demo_29,175,1.0,175,-0.07833631885356024
0,demo_29,175,0.5,88,0.2841745623613117
0,demo_29,175,0.3,52,0.7262016562793477
0,demo_29,175,0.15,26,0.7155555555555554
0,demo_3,146,1.0,146,0.26721486894238095
0,demo_3,146,0.5,73,0.6983216092805135
0,demo_3,146,0.3,44,0.9391120507399578
0,demo_3,146,0.15,22,0.8667419536984755
0,demo_30,155,1.0,155,0.026966581805291483
0,demo_30,155,0.5,78,0.3359046017273865
0,demo_30,155,0.3,46,0.6467468393462843
0,demo_30,155,0.15,23,0.5691699604743083
0,demo_31,179,1.0,179,0.015010566400937375
0,demo_31,179,0.5,90,0.5903197925669835
0,demo_31,179,0.3,54,0.78189441585668
0,demo_31,179,0.15,27,0.699023199023199
0,demo_32,153,1.0,153,0.3484781472397571
0,demo_32,153,0.5,76,0.5881339712918661
0,demo_32,153,0.3,46,0.46123959296947276
0,demo_32,153,0.15,23,0.7954545454545455
0,demo_33,152,1.0,152,0.35206979271318145
0,demo_33,152,0.5,76,0.6768010936431988
0,demo_33,152,0.3,46,0.7124884366327474
0,demo_33,152,0.15,23,0.5602766798418972
0,demo_34,160,1.0,160,0.37455174030235555
0,demo_34,160,0.5,80,0.6672761368963901
0,demo_34,160,0.3,48,0.7420755536257057
0,demo_34,160,0.15,24,0.42
0,demo_35,150,1.0,150,0.2268349704431308
0,demo_35,150,0.5,75,0.4436984352773827
0,demo_35,150,0.3,45,0.7118577075098813
0,demo_35,150,0.15,22,0.18351214003387917
0,demo_36,151,1.0,151,0.2311502265597769
0,demo_36,151,0.5,76,0.1933287764866712
0,demo_36,151,0.3,45,0.43214756258234516
0,demo_36,151,0.15,23,0.66600790513834
0,demo_37,149,1.0,149,0.07344458552512244
0,demo_37,149,0.5,74,0.14668641243983704
0,demo_37,149,0.3,45,0.24413702239789195
0,demo_37,149,0.15,22,0.6363636363636365
0,demo_38,157,1.0,157,0.2885592195436588
0,demo_38,157,0.5,78,0.5646631849163495
0,demo_38,157,0.3,47,0.7256012950971324
0,demo_38,157,0.15,24,-0.15826086956521737
0,demo_39,171,1.0,171,0.28547531619747046
0,demo_39,171,0.5,86,0.36978159347139017
0,demo_39,171,0.3,51,0.15049773755656107
0,demo_39,171,0.15,26,0.7641025641025642
0,demo_4,153,1.0,153,0.48176926272901505
0,demo_4,153,0.5,76,0.8834996582365003
0,demo_4,153,0.3,46,0.7180388529139686
0,demo_4,153,0.15,23,-0.043478260869565216
0,demo_40,137,1.0,137,0.5829661918718614
0,demo_40,137,0.5,68,0.6188113142726266
0,demo_40,137,0.3,41,0.25940766550522654
0,demo_40,137,0.15,21,0.13376623376623376
0,demo_41,151,1.0,151,0.694984920691202
0,demo_41,151,0.5,76,0.7390567327409433
0,demo_41,151,0.3,45,0.4689064558629775
0,demo_41,151,0.15,23,0.47332015810276684
0,demo_42,160,1.0,160,0.5524874018516348
0,demo_42,160,0.5,80,0.8672526957337083
0,demo_42,160,0.3,48,0.45049934867564045
0,demo_42,160,0.15,24,0.49652173913043474
0,demo_43,151,1.0,151,0.2505542000697107
0,demo_43,151,0.5,76,0.2615174299384826
0,demo_43,151,0.3,45,0.6686429512516469
0,demo_43,151,0.15,23,0.42193675889328064
0,demo_44,150,1.0,150,0.4357900351126717
0,demo_44,150,0.5,75,0.7965860597439544
0,demo_44,150,0.3,45,0.7571805006587614
0,demo_44,150,0.15,22,0.52343308865048
0,demo_45,149,1.0,149,0.3217195719209142
0,demo_45,149,0.5,74,0.352624953720844
0,demo_45,149,0.3,45,0.3791831357048748
0,demo_45,149,0.15,22,0.5878035008469792
0,demo_48,151,1.0,151,0.10273265946322759
0,demo_48,151,0.5,76,0.18996582365003414
0,demo_48,151,0.3,45,0.5188405797101449
0,demo_48,151,0.15,23,0.7855731225296443
0,demo_49,148,1.0,148,0.4135235084420128
0,demo_49,148,0.5,74,0.7544020733061828
0,demo_49,148,0.3,44,0.5474277660324172
0,demo_49,148,0.15,22,0.4330886504799548
0,demo_5,150,1.0,150,0.2957909240410685
0,demo_5,150,0.5,75,0.5883357041251778
0,demo_5,150,0.3,45,0.7184453227931488
0,demo_5,150,0.15,22,0.5550536420101638
0,demo_6,156,1.0,156,-0.0446445011494356
0,demo_6,156,0.5,78,0.45231004635539335
0,demo_6,156,0.3,47,0.6810823311748381
0,demo_6,156,0.15,23,0.044466403162055336
0,demo_7,153,1.0,153,0.23140404487153712
0,demo_7,153,0.5,76,0.4442652084757348
0,demo_7,153,0.3,46,0.71495528831329
0,demo_7,153,0.15,23,0.6403162055335968
0,demo_9,141,1.0,141,0.3593176077743054
0,demo_9,141,0.5,70,0.6663109089318521
0,demo_9,141,0.3,42,0.8591686249088405
0,demo_9,141,0.15,21,0.6
1,demo_0,139,1.0,139,-0.05799186737566468
1,demo_0,139,0.5,70,0.6259644825474586
1,demo_0,139,0.3,42,0.6274207924803501
1,demo_0,139,0.15,21,0.6337662337662338
1,demo_10,132,1.0,132,0.51070424151983
1,demo_10,132,0.5,66,0.9558292453814842
1,demo_10,132,0.3,40,0.8724202626641653
1,demo_10,132,0.15,20,0.3954887218045112
1,demo_11,162,1.0,162,0.11568375905532481
1,demo_11,162,0.5,81,0.5517841011743451
1,demo_11,162,0.3,49,0.691938775510204
1,demo_11,162,0.15,24,0.45652173913043476
1,demo_12,133,1.0,133,0.19592740331153527
1,demo_12,133,0.5,66,0.8730403924433776
1,demo_12,133,0.3,40,0.8696060037523453
1,demo_12,133,0.15,20,0.5533834586466165
1,demo_13,142,1.0,142,0.10324377450538673
1,demo_13,142,0.5,71,0.8966465459423203
1,demo_13,142,0.3,43,0.7660827544548474
1,demo_13,142,0.15,21,0.08181818181818182
1,demo_14,157,1.0,157,-0.10072625109309781
1,demo_14,157,0.5,78,0.3990060572339053
1,demo_14,157,0.3,47,0.8280527289546716
1,demo_14,157,0.15,24,0.5843478260869565
1,demo_15,130,1.0,130,0.5029291674063554
1,demo_15,130,0.5,65,0.5620629370629371
1,demo_15,130,0.3,39,0.13016194331983805
1,demo_15,130,0.15,20,0.22255639097744356
1,demo_16,119,1.0,119,0.08520153824241561
1,demo_16,119,0.5,60,0.7708808002222842
1,demo_16,119,0.3,36,0.8633204633204633
1,demo_16,119,0.15,18,0.3663570691434469
1,demo_17,144,1.0,144,0.13693433003777833
1,demo_17,144,0.5,72,0.8974210560164642
1,demo_17,144,0.3,43,0.8299607369374813
1,demo_17,144,0.15,22,0.6329757199322417
1,demo_18,177,1.0,177,-0.07585568116895483
1,demo_18,177,0.5,88,0.3451798105033285
1,demo_18,177,0.3,53,0.8161586840832123
1,demo_18,177,0.15,27,0.12271062271062269
1,demo_19,127,1.0,127,0.6691448725159355
1,demo_19,127,0.5,64,0.9105311355311354
1,demo_19,127,0.3,38,0.6246854141590984
1,demo_19,127,0.15,19,0.03859649122807017
1,demo_2,125,1.0,125,0.016657450076804914
1,demo_2,125,0.5,62,0.6561154340107276
1,demo_2,125,0.3,38,0.6001750738592844
1,demo_2,125,0.15,19,0.7228070175438598
1,demo_20,123,1.0,123,0.5299106163986018
1,demo_20,123,0.5,62,0.9141799501397597
1,demo_20,123,0.3,37,0.6130867709815078
1,demo_20,123,0.15,18,0.30443756449948395
1,demo_21,147,1.0,147,0.24062516528269953
1,demo_21,147,0.5,74,0.8447389855609033
1,demo_21,147,0.3,44,0.8951374207188161
1,demo_21,147,0.15,22,0.4376058723884812
1,demo_22,125,1.0,125,0.3931490015360983
1,demo_22,125,0.5,62,0.8160207499181586
1,demo_22,125,0.3,38,0.6330014224751066
1,demo_22,125,0.15,19,0.6578947368421053
