task_id,demo,T_full,fraction,T_used,rho
0,demo_0,148,1.0,148,0.5526423191219408
0,demo_0,148,0.5,74,0.9506849315068491
0,demo_0,148,0.3,44,0.913460183227625
0,demo_0,148,0.15,22,0.9943534726143423
0,demo_1,179,1.0,179,0.6036974111230572
0,demo_1,179,0.5,90,0.843679646381786
0,demo_1,179,0.3,54,0.9117972174575947
0,demo_1,179,0.15,27,0.7570207570207569
0,demo_10,157,1.0,157,0.6760332116202279
0,demo_10,157,0.5,78,0.8520719786542571
0,demo_10,157,0.3,47,0.8418131359851989
0,demo_10,157,0.15,24,0.8765217391304346
0,demo_11,152,1.0,152,0.649796505572126
0,demo_11,152,0.5,76,0.968673743520534
0,demo_11,152,0.3,46,0.9622571692876966
0,demo_11,152,0.15,23,0.983201581027668
0,demo_12,172,1.0,172,0.5991757512871997
0,demo_12,172,0.5,86,0.8592952497759327
0,demo_12,172,0.3,52,0.9731068044053616
0,demo_12,172,0.15,26,0.9685470085470086
0,demo_13,146,1.0,146,0.7563490043664668
0,demo_13,146,0.5,73,0.9184252745896583
0,demo_13,146,0.3,44,0.9341789992952784
0,demo_13,146,0.15,22,0.935629587803501
0,demo_14,149,1.0,149,0.7333420400630156
0,demo_14,149,0.5,74,0.9235758872958659
0,demo_14,149,0.3,45,0.8314888010540183
0,demo_14,149,0.15,22,0.9364586648491451
0,demo_15,154,1.0,154,0.7020643733587285
0,demo_15,154,0.5,77,0.9747883695252115
0,demo_15,154,0.3,46,0.9770884089877899
0,demo_15,154,0.15,23,0.9110671936758895
0,demo_16,155,1.0,155,0.6583921388227935
0,demo_16,155,0.5,78,0.9181325004109814
0,demo_16,155,0.3,46,0.8640764724020967
0,demo_16,155,0.15,23,0.8389328063241107
0,demo_17,154,1.0,154,0.6200973083731465
0,demo_17,154,0.5,77,0.8671591566328407
0,demo_17,154,0.3,46,0.8839346284304656
0,demo_17,154,0.15,23,0.8280632411067194
0,demo_18,152,1.0,152,0.6452579088978595
0,demo_18,152,0.5,76,0.9087752396644083
0,demo_18,152,0.3,46,0.7969410099690856
0,demo_18,152,0.15,23,0.9621942473134352
0,demo_19,157,1.0,157,0.6032958863055156
0,demo_19,157,0.5,78,0.8982789362536198
0,demo_19,157,0.3,47,0.7408285395249747
0,demo_19,157,0.15,24,0.7313043478260869
0,demo_2,136,1.0,136,0.6823275157768267
0,demo_2,136,0.5,68,0.9210596633202275
0,demo_2,136,0.3,41,0.9614982578397213
0,demo_2,136,0.15,20,0.7037593984962407
0,demo_20,154,1.0,154,0.6392911915653728
0,demo_20,154,0.5,77,0.9388506230611493
0,demo_20,154,0.3,46,0.8987357385137218
0,demo_20,154,0.15,23,0.8863636363636364
0,demo_21,163,1.0,163,0.6512456304915203
0,demo_21,163,0.5,82,0.8750775459561824
0,demo_21,163,0.3,49,0.9881632653061224
0,demo_21,163,0.15,24,0.9226086956521738
0,demo_22,146,1.0,146,0.7097029191403278
0,demo_22,146,0.5,73,0.9261693200049367
0,demo_22,146,0.3,44,0.8205778717406623
0,demo_22,146,0.15,22,0.989836250705816
0,demo_23,161,1.0,161,0.7052652086193836
0,demo_23,161,0.5,80,0.9213720193080114
0,demo_23,161,0.3,48,0.8027790596491821
0,demo_23,161,0.15,24,0.8991304347826086
0,demo_24,177,1.0,177,0.8169199556365861
0,demo_24,177,0.5,88,0.9410728752069321
0,demo_24,177,0.3,53,0.8203680933793349
0,demo_24,177,0.15,27,0.7753357753357752
0,demo_25,143,1.0,143,0.6261598630993629
0,demo_25,143,0.5,72,0.9245610650202587
0,demo_25,143,0.3,43,0.9401993355481728
0,demo_25,143,0.15,21,0.8935064935064935
0,demo_26,136,1.0,136,0.6319704021066644
0,demo_26,136,0.5,68,0.9558728098637248
0,demo_26,136,0.3,41,0.9562717770034844
0,demo_26,136,0.15,20,0.9714285714285714
0,demo_27,154,1.0,154,0.8016376313500247
0,demo_27,154,0.5,77,0.969037337928666
0,demo_27,154,0.3,46,0.8995035312180091
0,demo_27,154,0.15,23,0.9715839189615888
0,demo_28,136,1.0,136,0.4830530104803841
0,demo_28,136,0.5,68,0.8201702485017368
0,demo_28,136,0.3,41,0.991637630662021
0,demo_28,136,0.15,20,0.9533834586466164
0,demo_29,175,1.0,175,0.5899091859208709
0,demo_29,175,0.5,88,0.7512801208207474
0,demo_29,175,0.3,52,0.9941091095364125
0,demo_29,175,0.15,26,0.9687126146025143
0,demo_3,146,1.0,146,0.6222454443031941
