task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.9680457000044627
0,demo_0,98,0.5,49,0.8103061224489795
0,demo_0,98,0.3,29,0.5339901477832512
0,demo_0,98,0.15,15,0.9464285714285712
0,demo_1,84,1.0,84,0.9491141034727143
0,demo_1,84,0.5,42,0.929017097479945
0,demo_1,84,0.3,25,0.8292307692307692
0,demo_1,84,0.15,13,0.7912087912087913
0,demo_10,93,1.0,93,0.8591539313790016
0,demo_10,93,0.5,46,0.5832254085723096
0,demo_10,93,0.3,28,0.7898193760262726
0,demo_10,93,0.15,14,0.7318681318681319
0,demo_11,128,1.0,128,0.6857088903131294
0,demo_11,128,0.5,64,0.5577838827838828
0,demo_11,128,0.3,38,0.9553561658824817
0,demo_11,128,0.15,19,0.9105263157894736
0,demo_12,86,1.0,86,0.9346334008000624
0,demo_12,86,0.5,43,0.9246045236324965
0,demo_12,86,0.3,26,0.9157121009197081
0,demo_12,86,0.15,13,0.6703296703296703
0,demo_13,88,1.0,88,0.8814402578646288
0,demo_13,88,0.5,44,0.8700493305144467
0,demo_13,88,0.3,26,0.42222222222222217
0,demo_13,88,0.15,13,0.9725274725274725
0,demo_14,112,1.0,112,0.7941965353469778
0,demo_14,112,0.5,56,0.9217361585782639
0,demo_14,112,0.3,34,0.9462184873949581
0,demo_14,112,0.15,17,0.965686274509804
0,demo_15,84,1.0,84,0.9390908170497114
0,demo_15,84,0.5,42,0.8359938416659916
0,demo_15,84,0.3,25,0.6446153846153846
0,demo_15,84,0.15,13,0.8131868131868131
0,demo_16,89,1.0,89,0.9422880490296223
0,demo_16,89,0.5,44,0.8876281763148391
0,demo_16,89,0.3,27,0.9400091698588723
0,demo_16,89,0.15,13,0.7417582417582418
0,demo_17,97,1.0,97,0.9065195665895223
0,demo_17,97,0.5,48,0.9178245766391663
0,demo_17,97,0.3,29,0.7088669950738915
0,demo_17,97,0.15,15,0.37857142857142856
0,demo_18,75,1.0,75,0.9634698003842358
0,demo_18,75,0.5,38,0.8602538900273736
0,demo_18,75,0.3,22,0.5693307202460424
0,demo_18,75,0.15,11,0.7425987375524745
0,demo_19,99,1.0,99,0.9469849937738338
0,demo_19,99,0.5,50,0.8668155300344833
0,demo_19,99,0.3,30,0.8077864293659621
0,demo_19,99,0.15,15,0.9642857142857141
0,demo_2,90,1.0,90,0.8403095032308514
0,demo_2,90,0.5,45,0.9133069828722002
0,demo_2,90,0.3,27,0.9352869352869353
0,demo_2,90,0.15,14,0.6043956043956044
0,demo_20,87,1.0,87,0.9800246047702683
0,demo_20,87,0.5,44,0.866516317607639
0,demo_20,87,0.3,26,0.8454700854700854
0,demo_20,87,0.15,13,0.4945054945054945
0,demo_21,121,1.0,121,0.7584444440778896
0,demo_21,121,0.5,60,0.4479917754221643
0,demo_21,121,0.3,36,0.882882882882883
0,demo_21,121,0.15,18,0.7791537667698658
0,demo_22,96,1.0,96,0.9796424974367828
0,demo_22,96,0.5,48,0.8930984886725924
0,demo_22,96,0.3,29,0.6242148095136848
0,demo_22,96,0.15,14,0.9614967314370186
0,demo_23,85,1.0,85,0.9589798710181747
0,demo_23,85,0.5,42,0.9136212624584718
0,demo_23,85,0.3,26,0.8153846153846154
0,demo_23,85,0.15,13,0.9780219780219779
0,demo_24,100,1.0,100,0.9025289604869919
0,demo_24,100,0.5,50,0.8116596244472033
0,demo_24,100,0.3,30,0.4082313681868743
0,demo_24,100,0.15,15,0.9714285714285713
0,demo_25,91,1.0,91,0.904944298040302
0,demo_25,91,0.5,46,0.8083256244218315
0,demo_25,91,0.3,27,0.9792429792429792
0,demo_25,91,0.15,14,0.9076923076923077
0,demo_26,105,1.0,105,0.9148446490710265
0,demo_26,105,0.5,52,0.6205336184949889
0,demo_26,105,0.3,32,0.5192924593343178
0,demo_26,105,0.15,16,0.988235294117647
0,demo_27,113,1.0,113,0.9249240007898232
0,demo_27,113,0.5,56,0.5939267589171833
0,demo_27,113,0.3,34,0.6702826585179525
0,demo_27,113,0.15,17,0.9093137254901962
0,demo_28,92,1.0,92,0.9217781305577208
0,demo_28,92,0.5,46,0.9700277520814061
0,demo_28,92,0.3,28,0.9376026272577997
0,demo_28,92,0.15,14,0.9868131868131869
0,demo_29,124,1.0,124,0.7803045800340137
0,demo_29,124,0.5,62,0.8094734456447836
0,demo_29,124,0.3,37,0.9843527738264579
0,demo_29,124,0.15,19,0.9508771929824561
0,demo_3,97,1.0,97,0.8693551091302142
0,demo_3,97,0.5,48,0.8579802972193794
0,demo_3,97,0.3,29,0.9668678482009521
0,demo_3,97,0.15,15,0.9562112844160915
0,demo_30,127,1.0,127,0.8758143513310837
0,demo_30,127,0.5,64,0.9105769230769228
0,demo_30,127,0.3,38,0.5912025385709596
0,demo_30,127,0.15,19,0.4982456140350877
0,demo_31,151,1.0,151,0.932881490630995
0,demo_31,151,0.5,76,0.6560263569965761
0,demo_31,151,0.3,45,0.5798418972332016
0,demo_31,151,0.15,23,0.9249011857707511
0,demo_32,93,1.0,93,0.9762316851183191
0,demo_32,93,0.5,46,0.8290471785383903
0,demo_32,93,0.3,28,0.7126436781609196
0,demo_32,93,0.15,14,0.5032967032967033
0,demo_33,111,1.0,111,0.9311577113871812
0,demo_33,111,0.5,56,0.6041011619958988
0,demo_33,111,0.3,33,0.7345199323714711
0,demo_33,111,0.15,17,0.9509803921568628
0,demo_35,89,1.0,89,0.8121331806899427
0,demo_35,89,0.5,44,0.5372797744890767
0,demo_35,89,0.3,27,0.9236874236874236
0,demo_35,89,0.15,13,0.989010989010989
0,demo_36,102,1.0,102,0.9524345352867668
0,demo_36,102,0.5,51,0.8916742081447964
0,demo_36,102,0.3,31,0.5745967741935484
0,demo_36,102,0.15,15,0.9857142857142854
0,demo_38,89,1.0,89,0.8446956477633883
0,demo_38,89,0.5,44,0.8724056526082883
0,demo_38,89,0.3,27,0.9572649572649573
0,demo_38,89,0.15,13,0.9120879120879121
