task_id,demo,T,rho
0,demo_0,98,0.8121122863390905
0,demo_1,84,0.7315581654348486
0,demo_10,93,0.8486914744412282
0,demo_11,128,0.7519323840827601
0,demo_12,86,0.85078541440634
0,demo_13,88,0.8476806030079956
0,demo_14,112,0.5477585676700721
0,demo_15,84,0.8851315436558878
0,demo_16,89,0.7882703438883214
0,demo_17,97,0.7702240690090467
0,demo_18,75,0.90475106685633
0,demo_19,99,0.867099567099567
0,demo_2,90,0.7388648804379142
0,demo_20,87,0.8425676168258365
0,demo_21,121,0.6723761556305462
0,demo_22,96,0.8146500271296798
0,demo_23,85,0.7965800273597812
0,demo_24,100,0.7993159315931593
0,demo_25,91,0.6298932951106864
0,demo_26,105,0.6302405142027783
0,demo_27,113,0.8076111343319041
0,demo_28,92,0.7904381733273738
0,demo_29,124,0.7929504327301335
0,demo_3,97,0.578437302756154
0,demo_30,127,0.731153817424706
0,demo_31,151,0.7741083775781761
0,demo_32,93,0.8379934946733907
0,demo_33,111,0.8923130923130922
0,demo_35,89,0.8165304732720463
0,demo_36,102,0.7762975612238551
0,demo_38,89,0.7558733401430032
0,demo_39,108,0.867531861282342
0,demo_4,105,0.5960812772133527
0,demo_40,95,0.6970884658454648
0,demo_41,95,0.843826987681971
0,demo_42,109,0.8692150866462793
0,demo_43,96,0.8438551275094954
0,demo_44,88,0.6024796590468812
0,demo_45,90,0.8332469029098242
0,demo_46,85,0.73249951143248
0,demo_47,92,0.7215168900878509
0,demo_48,96,0.7267227346717309
0,demo_49,92,0.7131451998212167
0,demo_5,134,0.8602625967904837
0,demo_6,92,0.6391658832051538
0,demo_7,92,0.696345730006319
0,demo_8,79,0.6923563777994158
0,demo_9,89,0.7330439223697652
1,demo_0,152,0.8347350948402561
1,demo_1,123,0.7065754343423921
1,demo_10,111,0.8280098280098279
1,demo_11,117,0.8543565285657824
1,demo_12,114,0.7911099410704523
1,demo_13,125,0.8214833225332854
1,demo_14,150,0.7842997466554069
1,demo_15,128,0.7731699780260026
1,demo_16,135,0.7425714564432739
1,demo_17,113,0.8410323374808705
1,demo_18,112,0.5727623534248578
1,demo_19,125,0.6813579109062979
1,demo_2,140,0.8810085062648971
1,demo_20,162,0.6147995726550007
1,demo_21,134,0.793862766368658
1,demo_22,132,0.8633259067168265
1,demo_23,109,0.7857659160411455
1,demo_25,143,0.9233600906136116
1,demo_26,145,0.857530310187372
1,demo_27,116,0.7649098527659248
1,demo_29,120,0.7298354052364746
1,demo_30,154,0.8867657326860364
1,demo_31,120,0.780713938467949
1,demo_32,150,0.7211538290590692
1,demo_33,117,0.7884278199883109
1,demo_34,120,0.6551704979512466
1,demo_35,137,0.7216243209438646
1,demo_36,120,0.6967914438502673
1,demo_37,129,0.7209973166368516
1,demo_38,143,0.8758586089692889
1,demo_39,124,0.7536660167845943
1,demo_4,142,0.885463053578127
1,demo_40,126,0.7888083989501313
1,demo_41,112,0.757200943041651
1,demo_42,137,0.8658269083577576
1,demo_43,135,0.7799385425812116
1,demo_44,126,0.42353205849268843
1,demo_45,133,0.8030575080850022
1,demo_46,134,0.7466486448074294
1,demo_47,133,0.8470480815335488
1,demo_48,141,0.8193544244188535
1,demo_49,127,0.6309172290963629
1,demo_5,155,0.5083787180561374
1,demo_6,145,0.8611006140765233
1,demo_7,131,0.7325788715101692
1,demo_8,152,0.8834232767306827
1,demo_9,127,0.883793822647169
2,demo_0,103,0.759445152220709
2,demo_1,123,0.8393236887895897
2,demo_10,109,0.8103790195533316
2,demo_11,101,0.8842399534071054
2,demo_12,124,0.9744642014162075
2,demo_13,122,0.8718198670944844
2,demo_14,114,0.7885178509953221
2,demo_15,136,0.7397356996326511
2,demo_16,105,0.9094857972216462
2,demo_17,164,0.7034674139267884
2,demo_18,107,0.6555967005623151
2,demo_19,98,0.933451918724378
2,demo_2,122,0.9269977959229531
2,demo_20,117,0.828642719057681
2,demo_21,108,0.7247420617908484
2,demo_22,117,0.8960796655127454
2,demo_23,117,0.9003581651156168
2,demo_24,106,0.7951684006348086
2,demo_25,117,0.8848027094666486
2,demo_26,143,0.9352244000131323
2,demo_27,125,0.8452964669738863
2,demo_28,111,0.7802123552123551
2,demo_29,110,0.8734531028109009
2,demo_3,102,0.6782715393184092
2,demo_30,115,0.8524500907441017
2,demo_31,122,0.8831589399937044
2,demo_32,119,0.7381213502350095
2,demo_33,121,0.841755859639615
2,demo_34,131,0.8810708375593872
2,demo_35,140,0.8998522882210975
2,demo_36,121,0.8696314862484756
2,demo_37,129,0.87857345507333
2,demo_38,114,0.8728759500148516
2,demo_39,115,0.8899865856545413
2,demo_4,111,0.7552386802386801
2,demo_40,108,0.8086350948393304
2,demo_41,106,0.8590120160213619
2,demo_42,138,0.9426286961544695
2,demo_43,93,0.9252633463638804
2,demo_44,100,0.8826522652265225
2,demo_45,126,0.9002564679415074
2,demo_46,125,0.7491244239631336
2,demo_47,117,0.8867750280535049
2,demo_48,131,0.9038381465862383
2,demo_49,135,0.832245634572237
2,demo_5,111,0.9419357669357669
2,demo_6,109,0.8683903252710593
2,demo_7,123,0.874895203209039
2,demo_8,111,0.7953843453843453
2,demo_9,110,0.5802447985934225
3,demo_0,99,0.9528262213976499
3,demo_1,101,0.9087012230634827
3,demo_10,89,0.7955056179775283
3,demo_11,97,0.8503839680201976
3,demo_12,93,0.8308944484497559
3,demo_13,99,0.9477798392084106
3,demo_14,100,0.9097389738973896
3,demo_15,119,0.8582110810425866
3,demo_16,101,0.8637474191865953
3,demo_17,94,0.9713759346891594
3,demo_19,100,0.8717911791179117
3,demo_2,95,0.8713605823068309
3,demo_20,96,0.8293271839392294
3,demo_21,96,0.8846310363537709
3,demo_22,96,0.9465409658166034
3,demo_23,97,0.9152903429413002
3,demo_24,96,0.9266413456321214
3,demo_25,98,0.8747330234811825
3,demo_26,92,0.8774409321393892
3,demo_27,101,0.8942690739662201
3,demo_28,95,0.9133258678611423
3,demo_29,106,0.9100989999244276
3,demo_3,115,0.8957762482780948
3,demo_30,86,0.9797914995990377
3,demo_31,99,0.946852195423624
3,demo_32,99,0.8709365211436849
3,demo_33,111,0.9276237276237276
3,demo_34,89,0.8726932243786176
3,demo_35,101,0.8816191030867792
3,demo_36,92,0.8363824114174746
3,demo_37,97,0.8915158847043971
3,demo_38,97,0.8480696402272249
3,demo_39,92,0.9556278223879907
3,demo_4,103,0.8210473136229847
3,demo_40,95,0.9465985442329228
3,demo_41,114,0.8567870233490615
3,demo_42,89,0.8653047327204632
3,demo_43,102,0.8648579877976376
3,demo_44,113,0.9640195621797859
3,demo_45,99,0.8670129870129869
3,demo_46,103,0.8955432060800421
3,demo_47,90,0.9038070543688521
3,demo_48,100,0.9086468646864686
3,demo_49,90,0.9478246196097054
3,demo_5,99,0.8131106988249844
3,demo_6,111,0.8214812214812215
3,demo_7,95,0.9314669652855543
3,demo_8,111,0.9583187083187082
3,demo_9,129,0.8677477467413255
4,demo_0,153,0.8149384155576106
4,demo_1,142,0.7805239411472557
4,demo_10,139,0.7256132981813307
4,demo_12,145,0.6948905684144229
4,demo_13,141,0.7303437647159552
4,demo_14,138,0.7177737340435489
4,demo_15,150,0.7209547090981822
4,demo_16,131,0.6649335397427001
4,demo_17,156,0.6349544024908725
4,demo_18,148,0.6475269955615115
4,demo_19,162,0.7392659206476225
4,demo_2,158,0.6641013510121562
4,demo_20,153,0.7367415865867878
4,demo_21,163,0.7010296994585488
4,demo_22,149,0.7151158308689961
4,demo_23,165,0.7526059893676703
4,demo_24,140,0.7630360149570314
4,demo_25,151,0.6842140118508191
4,demo_26,149,0.6194122982042445
4,demo_27,132,0.6509481340607226
4,demo_28,142,0.6320173683074493
4,demo_29,139,0.6406452477769337
4,demo_3,129,0.7406250000000001
4,demo_32,156,0.6800967267784608
4,demo_33,147,0.7341989739250013
4,demo_34,131,0.6609993060374739
4,demo_36,163,0.6893860042894908
4,demo_37,138,0.514462691985415
4,demo_38,140,0.5480177560079597
4,demo_4,143,0.717858432647165
4,demo_40,157,0.7836813674111103
4,demo_41,134,0.7469793887704336
4,demo_42,127,0.6996625421822272
4,demo_43,137,0.7648085575074206
4,demo_44,137,0.69030373177516
4,demo_46,147,0.7415431926195135
4,demo_47,151,0.8174625304984314
4,demo_48,134,0.38264566889861473
4,demo_49,137,0.6779407097653406
4,demo_5,158,0.7216254740560333
4,demo_7,156,0.7378672693651119
4,demo_8,159,0.7971757821829474
4,demo_9,132,0.6532900606825877
5,demo_0,137,0.8359297701943359
5,demo_1,131,0.662548260487779
