task_id,demo,T_full,fraction,T_used,rho
0,demo_0,98,1.0,98,0.8121122863390905
0,demo_0,98,0.5,49,0.4557142857142856
0,demo_0,98,0.3,29,0.9773399014778321
0,demo_0,98,0.15,15,0.9678571428571429
0,demo_1,84,1.0,84,0.7315581654348486
0,demo_1,84,0.5,42,0.7296815493071875
0,demo_1,84,0.3,25,0.4707692307692308
0,demo_1,84,0.15,13,0.7197802197802198
0,demo_10,93,1.0,93,0.8486914744412282
0,demo_10,93,0.5,46,0.4057354301572618
0,demo_10,93,0.3,28,0.7629994526546251
0,demo_10,93,0.15,14,0.7890109890109891
0,demo_11,128,1.0,128,0.7519323840827601
0,demo_11,128,0.5,64,0.6421547866124311
0,demo_11,128,0.3,38,0.7325746799431011
0,demo_11,128,0.15,19,0.8929824561403509
0,demo_12,86,1.0,86,0.85078541440634
0,demo_12,86,0.5,43,0.4628511023859861
0,demo_12,86,0.3,26,0.816068376068376
0,demo_12,86,0.15,13,0.5714285714285714
0,demo_13,88,1.0,88,0.8476806030079956
0,demo_13,88,0.5,44,0.5780126849894291
0,demo_13,88,0.3,26,0.8789743589743589
0,demo_13,88,0.15,13,0.8626373626373626
0,demo_14,112,1.0,112,0.5477585676700721
0,demo_14,112,0.5,56,0.17819548872180452
0,demo_14,112,0.3,34,0.4615737203972498
0,demo_14,112,0.15,17,0.9779411764705883
0,demo_15,84,1.0,84,0.8851315436558878
0,demo_15,84,0.5,42,0.6373065391783487
0,demo_15,84,0.3,25,0.936923076923077
0,demo_15,84,0.15,13,0.9230769230769231
0,demo_16,89,1.0,89,0.7882703438883214
0,demo_16,89,0.5,44,0.22339675828047917
0,demo_16,89,0.3,27,0.9053724053724053
0,demo_16,89,0.15,13,0.8406593406593407
0,demo_17,97,1.0,97,0.7702240690090467
0,demo_17,97,0.5,48,0.6187581415544942
0,demo_17,97,0.3,29,0.8374384236453201
0,demo_17,97,0.15,15,0.825
0,demo_18,75,1.0,75,0.90475106685633
0,demo_18,75,0.5,38,0.6780829412408359
0,demo_18,75,0.3,22,0.8712591756070017
0,demo_18,75,0.15,11,0.7818181818181819
0,demo_19,99,1.0,99,0.867099567099567
0,demo_19,99,0.5,50,0.5747418967587034
0,demo_19,99,0.3,30,0.8807563959955507
0,demo_19,99,0.15,15,0.7928571428571427
0,demo_2,90,1.0,90,0.7388648804379142
0,demo_2,90,0.5,45,0.5625823451910408
0,demo_2,90,0.3,27,0.8266178266178266
0,demo_2,90,0.15,14,0.7934065934065934
0,demo_20,87,1.0,87,0.8425676168258365
0,demo_20,87,0.5,44,0.5281183932346722
0,demo_20,87,0.3,26,0.8721367521367521
0,demo_20,87,0.15,13,0.8956043956043955
0,demo_21,121,1.0,121,0.6723761556305462
0,demo_21,121,0.5,60,0.2139483189774938
0,demo_21,121,0.3,36,0.26640926640926643
0,demo_21,121,0.15,18,0.7420020639834881
0,demo_22,96,1.0,96,0.8146500271296798
0,demo_22,96,0.5,48,0.5403821102909249
0,demo_22,96,0.3,29,0.8591133004926107
0,demo_22,96,0.15,14,0.3802197802197802
0,demo_23,85,1.0,85,0.7965800273597812
0,demo_23,85,0.5,42,0.30070496718256223
0,demo_23,85,0.3,26,0.9323076923076923
0,demo_23,85,0.15,13,0.9725274725274725
0,demo_24,100,1.0,100,0.7993159315931593
0,demo_24,100,0.5,50,0.6396638655462185
0,demo_24,100,0.3,30,0.8941045606229142
0,demo_24,100,0.15,15,0.9714285714285713
0,demo_25,91,1.0,91,0.6298932951106864
0,demo_25,91,0.5,46,0.44705519580635217
0,demo_25,91,0.3,27,0.8998778998778999
0,demo_25,91,0.15,14,1.0
0,demo_26,105,1.0,105,0.6302405142027783
0,demo_26,105,0.5,52,0.5064458294203021
0,demo_26,105,0.3,32,0.750733137829912
0,demo_26,105,0.15,16,0.5147058823529412
0,demo_27,113,1.0,113,0.8076111343319041
0,demo_27,113,0.5,56,0.6462747778537252
0,demo_27,113,0.3,34,0.8835752482811305
0,demo_27,113,0.15,17,0.5833333333333334
0,demo_28,92,1.0,92,0.7904381733273738
0,demo_28,92,0.5,46,0.7629355534998458
0,demo_28,92,0.3,28,0.8051450465243569
0,demo_28,92,0.15,14,0.621978021978022
0,demo_29,124,1.0,124,0.7929504327301335
0,demo_29,124,0.5,62,0.917856513308655
0,demo_29,124,0.3,37,0.9457088667614982
0,demo_29,124,0.15,19,0.7543859649122807
0,demo_3,97,1.0,97,0.578437302756154
0,demo_3,97,0.5,48,0.23480243161094225
0,demo_3,97,0.3,29,0.7704433497536944
0,demo_3,97,0.15,15,0.3107142857142856
0,demo_30,127,1.0,127,0.731153817424706
0,demo_30,127,0.5,64,0.6683226685725013
0,demo_30,127,0.3,38,0.8671627092679723
0,demo_30,127,0.15,19,0.7105263157894737
