encoder,suite,gap,r2_av_only,r2_both,delta
v15,spatial,1,0.3873,0.7789,+0.3916
v15,spatial,13,0.5575,0.7787,+0.2212
v15,spatial,20,0.5806,0.7546,+0.1740
v15,spatial,40,0.3608,0.6250,+0.2642
v15,object,1,0.4726,0.7540,+0.2814
v15,object,13,0.6933,0.7896,+0.0963
v15,object,20,0.6895,0.7562,+0.0667
v15,object,40,0.5989,0.6833,+0.0844
v15,goal,1,0.4085,0.7391,+0.3306
v15,goal,13,0.5851,0.8137,+0.2286
v15,goal,20,0.6071,0.8037,+0.1966
v15,goal,40,0.5757,0.7725,+0.1968
siglip,spatial,1,0.5834,0.8043,+0.2210
siglip,spatial,13,0.6792,0.7942,+0.1150
siglip,spatial,20,0.6458,0.7673,+0.1215
siglip,spatial,40,0.4511,0.6514,+0.2004
siglip,object,1,0.6699,0.7833,+0.1134
siglip,object,13,0.7650,0.8162,+0.0511
siglip,object,20,0.7310,0.7818,+0.0508
siglip,object,40,0.6263,0.6603,+0.0340
siglip,goal,1,0.5891,0.7795,+0.1905
siglip,goal,13,0.7215,0.7993,+0.0778
siglip,goal,20,0.7124,0.8006,+0.0882
siglip,goal,40,0.6800,0.7821,+0.1021
vc1,spatial,1,0.4787,0.8090,+0.3303
vc1,spatial,13,0.5847,0.8095,+0.2248
vc1,spatial,20,0.5523,0.7761,+0.2238
vc1,spatial,40,0.3461,0.6714,+0.3253
vc1,object,1,0.4615,0.7659,+0.3044
vc1,object,13,0.6978,0.8138,+0.1161
vc1,object,20,0.6804,0.7825,+0.1021
vc1,object,40,0.5965,0.6950,+0.0985
vc1,goal,1,0.4266,0.7583,+0.3317
vc1,goal,13,0.6073,0.8038,+0.1964
vc1,goal,20,0.6235,0.8055,+0.1820
vc1,goal,40,0.5757,0.7879,+0.2122
