t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
0,20,0.10155766775290023,-0.15097636200852832,0.18195554887042786,0.06275846064090729,-0.26447632908821106,0.06619518995285034,0.07639488577842712,1,1,1,0
1,21,0.10058201414218376,-0.16445658864944146,0.1927763240626557,0.061814162880182266,-0.26549315452575684,0.057155344635248184,0.062369391322135925,1,1,1,0
2,22,0.09784882323068146,-0.17619077533471844,0.20153803988497648,0.062107153236866,-0.2510080635547638,0.03530071675777435,0.07091240584850311,1,1,1,0
3,23,0.0938735135186467,-0.18612850673420137,0.20846116559071423,0.0709487795829773,-0.2651141881942749,0.02730030007660389,0.06990475952625275,1,1,1,0
4,24,0.088857900359647,-0.193672014569016,0.2130834946295609,0.061542898416519165,-0.25694936513900757,0.021644042804837227,0.07752169668674469,1,1,1,0
5,25,0.08350077422178728,-0.19824776362371116,0.21511521349602578,0.06656250357627869,-0.2526963949203491,0.036158040165901184,0.07694174349308014,1,1,1,0
6,26,0.0782834145036298,-0.19948291285841935,0.21429354985352883,0.07199272513389587,-0.22859904170036316,0.025589056313037872,0.09931088984012604,1,1,1,0
7,27,0.07310522688317829,-0.19776748615551376,0.21084675187897087,0.06900736689567566,-0.2463073432445526,0.03088744543492794,0.09949915111064911,1,1,1,0
8,28,0.06826764678583615,-0.19440258942273908,0.20604086578138267,0.058794520795345306,-0.23243680596351624,0.03292363882064819,0.11102384328842163,1,1,1,0
9,29,0.06365309799273944,-0.19045902719187152,0.2008142373512081,0.04312361031770706,-0.22651682794094086,0.02027793414890766,0.10119694471359253,1,1,1,0
10,30,0.05903144386780289,-0.18633060860534534,0.19545794194239322,0.04529362544417381,-0.23727081716060638,0.02887146919965744,0.1092241033911705,1,1,1,0
11,31,0.05455112898757403,-0.18194772858874794,0.18994947120859174,0.04306228086352348,-0.21607059240341187,0.030477384105324745,0.11970294266939163,1,1,1,0
12,32,0.05081082053466365,-0.17784581949746692,0.1849618203741826,0.03354616463184357,-0.20473521947860718,0.019513841718435287,0.1318087875843048,1,1,1,0
13,33,0.047859946074685356,-0.17447157145104558,0.18091684189944587,0.026696452870965004,-0.20647256076335907,0.025647899135947227,0.13448847830295563,1,1,1,0
14,34,0.04526096759761487,-0.17156688366601783,0.17743661053666812,0.02723071724176407,-0.17850376665592194,0.018131716176867485,0.14007247984409332,1,1,1,0
15,35,0.04288690204184048,-0.16852345860191068,0.173894917884038,0.02399035543203354,-0.18600761890411377,0.027835244312882423,0.14411985874176025,1,1,1,0
16,36,0.04010189903267394,-0.16381645885548837,0.16865347460986,0.0173161830753088,-0.15169593691825867,0.023776307702064514,0.14818105101585388,1,1,1,0
17,37,0.03677457278113054,-0.1561699301784214,0.16044131729441666,0.021590791642665863,-0.1561448872089386,0.03903025761246681,0.1707969754934311,1,1,1,0
18,38,0.03383861088367662,-0.1453208710366105,0.14920860278608625,0.010403081774711609,-0.1539728343486786,0.03716617077589035,0.1676785796880722,1,1,1,0
19,39,0.031788890151398685,-0.13251741074354262,0.13627691545977433,0.012963417917490005,-0.14532184600830078,0.04485834389925003,0.17788708209991455,1,1,1,0
20,40,0.02975776493338235,-0.11858684483179459,0.12226350371631989,0.007680092938244343,-0.12618455290794373,0.046081312000751495,0.17490851879119873,1,1,1,0
21,41,0.027667022377360906,-0.10369806598444511,0.10732545371971983,0.005766107700765133,-0.1165865957736969,0.044722434133291245,0.1701495200395584,1,1,1,0
22,42,0.025875861843415338,-0.08896310802492138,0.09264985059671359,0.011261530220508575,-0.12354423105716705,0.041221968829631805,0.16631437838077545,1,1,1,0
23,43,0.02458980580219633,-0.07497989735652547,0.07890908412207571,0.01282869465649128,-0.10650874674320221,0.041109830141067505,0.17238327860832214,1,1,1,0
24,44,0.024132862450776976,-0.06249690066961497,0.06699445979613419,0.016592837870121002,-0.10534808784723282,0.04072773456573486,0.16777025163173676,1,1,1,0
25,45,0.0237869561949047,-0.05192362595639851,0.0571128901166654,-0.0038163550198078156,-0.10877326130867004,0.05645953118801117,0.17148438096046448,0,1,1,0
26,46,0.02306348575700895,-0.04362797690462882,0.04934900955495035,-0.007738109678030014,-0.13283514976501465,0.047134704887866974,0.1787564605474472,0,1,1,0
27,47,0.022352675409783307,-0.037222125136348046,0.043418068792163984,-0.01941204071044922,-0.1395660936832428,0.03485576808452606,0.16643373668193817,0,1,1,0
28,48,0.021567601926702346,-0.0314109202157549,0.03810258996012233,-0.016333313658833504,-0.1588456779718399,0.03399195522069931,0.15830466151237488,0,1,1,0
29,49,0.02073882504256777,-0.025348811397472894,0.03275150536098895,-0.006689785048365593,-0.1625978797674179,0.03196502849459648,0.1414051204919815,0,1,1,0
30,50,0.019966650393049457,-0.018912163972313066,0.02750158311868461,-0.006691185757517815,-0.1608423888683319,0.030882446095347404,0.15883776545524597,0,1,1,0
31,51,0.019130527018488608,-0.011868221003436808,0.022512923705985885,-0.018172306939959526,-0.16702784597873688,0.012736199423670769,0.14494583010673523,0,1,1,0
32,52,0.017643842372736945,-0.003351453097646735,0.017959326589260343,-0.0036343690007925034,-0.16594089567661285,0.029208067804574966,0.12764279544353485,0,1,1,0
33,53,0.015435684100549879,0.006817060332643647,0.01687402308967461,-0.012777717784047127,-0.17120327055454254,0.033201709389686584,0.13116401433944702,0,0,1,1
34,54,0.013062434944822898,0.018103395061537197,0.022323980815298596,-0.0070017557591199875,-0.16952423751354218,0.050997018814086914,0.1410527229309082,0,0,1,1
35,55,0.01077868838603735,0.02988566045242538,0.03176999880391812,-0.020633934065699577,-0.17725418508052826,0.03967263922095299,0.13892289996147156,0,0,1,1
36,56,0.009134500077850272,0.040680777579161415,0.04169370163606787,-0.01059497520327568,-0.1756042242050171,0.03991996496915817,0.13631832599639893,0,0,1,1
37,57,0.0081008506668446,0.0489080649653749,0.04957441477399253,-0.010480478405952454,-0.18099209666252136,0.0386536605656147,0.13201415538787842,0,0,1,1
38,58,0.006797964358588399,0.05372816649614556,0.05415651571563829,-0.009666554629802704,-0.1879701316356659,0.039468370378017426,0.12444181740283966,0,0,1,1
39,59,0.0052774292081456675,0.05539886871925097,0.05564967128761671,-0.015047989785671234,-0.19433371722698212,0.03103172965347767,0.12298253178596497,0,0,1,1
40,60,0.0040817799445704295,0.054565152378529526,0.054717609428848804,-0.015349376946687698,-0.20067410171031952,0.034766294062137604,0.12288616597652435,0,0,1,1
41,61,0.0030032459878854834,0.051303464467378705,0.051391292577822364,-0.014962887391448021,-0.1798149198293686,0.035882238298654556,0.1035798043012619,0,0,1,1
42,62,0.0015378883072515448,0.04645680216639683,0.04648225003131103,-0.015150301158428192,-0.17645156383514404,0.027367739006876945,0.09064485132694244,0,0,1,1
43,63,0.000136309088364317,0.04018687606097752,0.040187107232394055,-0.015933850780129433,-0.18341867625713348,0.02604471705853939,0.07642613351345062,0,0,1,1
44,64,-0.0010660602540672748,0.03228709379492609,0.032304688671888744,-0.01071062870323658,-0.19217590987682343,0.034121543169021606,0.08405032753944397,1,0,0,1
45,65,-0.0018147123834022505,0.023109992979262056,0.023181133633539474,-0.03227543085813522,-0.20289598405361176,0.03468821197748184,0.06811919808387756,1,0,0,1
46,66,-0.002181273668719841,0.013115236022955667,0.013295389078762777,-0.029011283069849014,-0.20404155552387238,0.03431253507733345,0.055201753973960876,1,0,0,1
47,67,-0.002588770676085872,0.0019164014776803795,0.003220920402154894,-0.0174148827791214,-0.19573579728603363,0.028619345277547836,0.04508537799119949,1,0,0,1
