t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
0,20,0.10155766775290023,-0.15097636200852832,0.18195554887042786,-0.043410420417785645,-0.45727795362472534,0.16525991261005402,0.3225851356983185,0,1,1,0
1,21,0.10058201414218376,-0.16445658864944146,0.1927763240626557,-0.04105636104941368,-0.4549148678779602,0.16013477742671967,0.29744669795036316,0,1,1,0
2,22,0.09784882323068146,-0.17619077533471844,0.20153803988497648,-0.04630202800035477,-0.454313188791275,0.16465573012828827,0.2814651429653168,0,1,1,0
3,23,0.0938735135186467,-0.18612850673420137,0.20846116559071423,-0.05068925395607948,-0.4488852024078369,0.15471015870571136,0.30292952060699463,0,1,1,0
4,24,0.088857900359647,-0.193672014569016,0.2130834946295609,-0.04896758869290352,-0.44354480504989624,0.15270954370498657,0.30272141098976135,0,1,1,0
5,25,0.08350077422178728,-0.19824776362371116,0.21511521349602578,-0.06519968807697296,-0.4332653880119324,0.14575642347335815,0.2848350405693054,0,1,1,0
6,26,0.0782834145036298,-0.19948291285841935,0.21429354985352883,-0.07205288857221603,-0.42358651757240295,0.15148016810417175,0.2929702699184418,0,1,1,0
7,27,0.07310522688317829,-0.19776748615551376,0.21084675187897087,-0.07327991724014282,-0.4290735423564911,0.1566433310508728,0.3059062957763672,0,1,1,0
8,28,0.06826764678583615,-0.19440258942273908,0.20604086578138267,-0.07636801898479462,-0.41534245014190674,0.15903662145137787,0.30912962555885315,0,1,1,0
9,29,0.06365309799273944,-0.19045902719187152,0.2008142373512081,-0.08498625457286835,-0.4144720435142517,0.15879720449447632,0.3145948648452759,0,1,1,0
10,30,0.05903144386780289,-0.18633060860534534,0.19545794194239322,-0.0843689888715744,-0.40101757645606995,0.16212676465511322,0.32837966084480286,0,1,1,0
11,31,0.05455112898757403,-0.18194772858874794,0.18994947120859174,-0.08574715256690979,-0.39336952567100525,0.15917663276195526,0.32693591713905334,0,1,1,0
12,32,0.05081082053466365,-0.17784581949746692,0.1849618203741826,-0.0946737602353096,-0.37698423862457275,0.15256944298744202,0.32715365290641785,0,1,1,0
13,33,0.047859946074685356,-0.17447157145104558,0.18091684189944587,-0.10086973011493683,-0.3818165361881256,0.15128350257873535,0.3432569205760956,0,1,1,0
14,34,0.04526096759761487,-0.17156688366601783,0.17743661053666812,-0.10122505575418472,-0.3723059892654419,0.14731726050376892,0.3630971908569336,0,1,1,0
15,35,0.04288690204184048,-0.16852345860191068,0.173894917884038,-0.10791143774986267,-0.377653032541275,0.15362629294395447,0.3524259924888611,0,1,1,0
16,36,0.04010189903267394,-0.16381645885548837,0.16865347460986,-0.09743919968605042,-0.3488667607307434,0.1587667465209961,0.3725767135620117,0,1,1,0
17,37,0.03677457278113054,-0.1561699301784214,0.16044131729441666,-0.10782644152641296,-0.3541718125343323,0.15460902452468872,0.3762648105621338,0,1,1,0
18,38,0.03383861088367662,-0.1453208710366105,0.14920860278608625,-0.11222244799137115,-0.32829853892326355,0.14856350421905518,0.36217179894447327,0,1,1,0
19,39,0.031788890151398685,-0.13251741074354262,0.13627691545977433,-0.12596845626831055,-0.31970667839050293,0.1485964059829712,0.35584160685539246,0,1,1,0
20,40,0.02975776493338235,-0.11858684483179459,0.12226350371631989,-0.13240455090999603,-0.33024001121520996,0.1484885960817337,0.3564559817314148,0,1,1,0
21,41,0.027667022377360906,-0.10369806598444511,0.10732545371971983,-0.12865781784057617,-0.30140581727027893,0.14977696537971497,0.35941946506500244,0,1,1,0
22,42,0.025875861843415338,-0.08896310802492138,0.09264985059671359,-0.14208170771598816,-0.29526713490486145,0.15050625801086426,0.36161571741104126,0,1,1,0
23,43,0.02458980580219633,-0.07497989735652547,0.07890908412207571,-0.14100265502929688,-0.2993207573890686,0.15276482701301575,0.37027788162231445,0,1,1,0
24,44,0.024132862450776976,-0.06249690066961497,0.06699445979613419,-0.14436876773834229,-0.2919135093688965,0.1582207828760147,0.37250757217407227,0,1,1,0
25,45,0.0237869561949047,-0.05192362595639851,0.0571128901166654,-0.13237018883228302,-0.27407389879226685,0.16580897569656372,0.3738296329975128,0,1,1,0
26,46,0.02306348575700895,-0.04362797690462882,0.04934900955495035,-0.14325785636901855,-0.29102134704589844,0.16781474649906158,0.3729061782360077,0,1,1,0
27,47,0.022352675409783307,-0.037222125136348046,0.043418068792163984,-0.1449800729751587,-0.29980066418647766,0.17102578282356262,0.37559181451797485,0,1,1,0
28,48,0.021567601926702346,-0.0314109202157549,0.03810258996012233,-0.14712084829807281,-0.2995408773422241,0.16946640610694885,0.37415942549705505,0,1,1,0
29,49,0.02073882504256777,-0.025348811397472894,0.03275150536098895,-0.15068218111991882,-0.30034029483795166,0.1726667433977127,0.37858307361602783,0,1,1,0
30,50,0.019966650393049457,-0.018912163972313066,0.02750158311868461,-0.14982126653194427,-0.3126585781574249,0.17174282670021057,0.376463383436203,0,1,1,0
31,51,0.019130527018488608,-0.011868221003436808,0.022512923705985885,-0.14824225008487701,-0.31178274750709534,0.1670316755771637,0.3709959387779236,0,1,1,0
32,52,0.017643842372736945,-0.003351453097646735,0.017959326589260343,-0.14490151405334473,-0.3227830231189728,0.16682352125644684,0.37001436948776245,0,1,1,0
33,53,0.015435684100549879,0.006817060332643647,0.01687402308967461,-0.14636853337287903,-0.3324825167655945,0.16862201690673828,0.3585549592971802,0,0,1,1
34,54,0.013062434944822898,0.018103395061537197,0.022323980815298596,-0.13802212476730347,-0.33979061245918274,0.17314490675926208,0.3633996546268463,0,0,1,1
35,55,0.01077868838603735,0.02988566045242538,0.03176999880391812,-0.1444636881351471,-0.33627647161483765,0.17186230421066284,0.3661864995956421,0,0,1,1
36,56,0.009134500077850272,0.040680777579161415,0.04169370163606787,-0.14830714464187622,-0.3543919324874878,0.17218323051929474,0.3496636748313904,0,0,1,1
37,57,0.0081008506668446,0.0489080649653749,0.04957441477399253,-0.1487509161233902,-0.3546919822692871,0.17482009530067444,0.3487927317619324,0,0,1,1
38,58,0.006797964358588399,0.05372816649614556,0.05415651571563829,-0.14998912811279297,-0.35085344314575195,0.17351745069026947,0.3407307267189026,0,0,1,1
39,59,0.0052774292081456675,0.05539886871925097,0.05564967128761671,-0.1461510956287384,-0.34779879450798035,0.1695386916399002,0.32065850496292114,0,0,1,1
40,60,0.0040817799445704295,0.054565152378529526,0.054717609428848804,-0.14652106165885925,-0.3501805067062378,0.16081693768501282,0.32154765725135803,0,0,1,1
41,61,0.0030032459878854834,0.051303464467378705,0.051391292577822364,-0.14655467867851257,-0.35228249430656433,0.15508291125297546,0.3163629174232483,0,0,1,1
42,62,0.0015378883072515448,0.04645680216639683,0.04648225003131103,-0.1488378942012787,-0.35758161544799805,0.15342003107070923,0.31198590993881226,0,0,1,1
43,63,0.000136309088364317,0.04018687606097752,0.040187107232394055,-0.15030521154403687,-0.3656395673751831,0.15823203325271606,0.3067750632762909,0,0,1,1
