t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
0,20,0.10155766775290023,-0.15097636200852832,0.18195554887042786,-0.12124428153038025,-0.4651227295398712,0.23587025701999664,0.32898664474487305,0,1,1,0
1,21,0.10058201414218376,-0.16445658864944146,0.1927763240626557,-0.11872056126594543,-0.4622221887111664,0.2315169870853424,0.3036881685256958,0,1,1,0
2,22,0.09784882323068146,-0.17619077533471844,0.20153803988497648,-0.12438064813613892,-0.46244552731513977,0.23542916774749756,0.2867792248725891,0,1,1,0
3,23,0.0938735135186467,-0.18612850673420137,0.20846116559071423,-0.12916918098926544,-0.4576110243797302,0.2261074185371399,0.3062630891799927,0,1,1,0
4,24,0.088857900359647,-0.193672014569016,0.2130834946295609,-0.12745320796966553,-0.4517911672592163,0.222981795668602,0.3075936436653137,0,1,1,0
5,25,0.08350077422178728,-0.19824776362371116,0.21511521349602578,-0.14390267431735992,-0.44250211119651794,0.21586628258228302,0.2891864478588104,0,1,1,0
6,26,0.0782834145036298,-0.19948291285841935,0.21429354985352883,-0.14967681467533112,-0.43332406878471375,0.22134964168071747,0.29687535762786865,0,1,1,0
7,27,0.07310522688317829,-0.19776748615551376,0.21084675187897087,-0.1518222540616989,-0.43982991576194763,0.22698666155338287,0.30968597531318665,0,1,1,0
8,28,0.06826764678583615,-0.19440258942273908,0.20604086578138267,-0.1543506532907486,-0.426531583070755,0.2293424904346466,0.31317615509033203,0,1,1,0
9,29,0.06365309799273944,-0.19045902719187152,0.2008142373512081,-0.16377177834510803,-0.4253528118133545,0.22948327660560608,0.3183673024177551,0,1,1,0
10,30,0.05903144386780289,-0.18633060860534534,0.19545794194239322,-0.16243967413902283,-0.41214531660079956,0.23266330361366272,0.33216947317123413,0,1,1,0
11,31,0.05455112898757403,-0.18194772858874794,0.18994947120859174,-0.16359171271324158,-0.4052044451236725,0.22914943099021912,0.33027058839797974,0,1,1,0
12,32,0.05081082053466365,-0.17784581949746692,0.1849618203741826,-0.17230598628520966,-0.3894415497779846,0.22283360362052917,0.33076557517051697,0,1,1,0
13,33,0.047859946074685356,-0.17447157145104558,0.18091684189944587,-0.17867383360862732,-0.3939608633518219,0.22207282483577728,0.3464760184288025,0,1,1,0
14,34,0.04526096759761487,-0.17156688366601783,0.17743661053666812,-0.17858928442001343,-0.3844073712825775,0.218216210603714,0.3661514222621918,0,1,1,0
15,35,0.04288690204184048,-0.16852345860191068,0.173894917884038,-0.18633897602558136,-0.3917456567287445,0.22450774908065796,0.35669076442718506,0,1,1,0
16,36,0.04010189903267394,-0.16381645885548837,0.16865347460986,-0.17535115778446198,-0.3624509871006012,0.229692280292511,0.37657156586647034,0,1,1,0
17,37,0.03677457278113054,-0.1561699301784214,0.16044131729441666,-0.18626810610294342,-0.3667617440223694,0.22499333322048187,0.38058093190193176,0,1,1,0
18,38,0.03383861088367662,-0.1453208710366105,0.14920860278608625,-0.19083863496780396,-0.3397851586341858,0.21915146708488464,0.36700326204299927,0,1,1,0
19,39,0.031788890151398685,-0.13251741074354262,0.13627691545977433,-0.20432670414447784,-0.33179783821105957,0.21971860527992249,0.36055558919906616,0,1,1,0
20,40,0.02975776493338235,-0.11858684483179459,0.12226350371631989,-0.2107105702161789,-0.3427952826023102,0.2195415198802948,0.36095747351646423,0,1,1,0
21,41,0.027667022377360906,-0.10369806598444511,0.10732545371971983,-0.2072516679763794,-0.3152296841144562,0.22047355771064758,0.3638213574886322,0,1,1,0
22,42,0.025875861843415338,-0.08896310802492138,0.09264985059671359,-0.2207462191581726,-0.30694109201431274,0.2214844524860382,0.36581704020500183,0,1,1,0
23,43,0.02458980580219633,-0.07497989735652547,0.07890908412207571,-0.2203163355588913,-0.3122021555900574,0.22368589043617249,0.374225914478302,0,1,1,0
24,44,0.024132862450776976,-0.06249690066961497,0.06699445979613419,-0.22391830384731293,-0.30466100573539734,0.22918912768363953,0.376839816570282,0,1,1,0
25,45,0.0237869561949047,-0.05192362595639851,0.0571128901166654,-0.21208490431308746,-0.28666266798973083,0.23658064007759094,0.3781672418117523,0,1,1,0
26,46,0.02306348575700895,-0.04362797690462882,0.04934900955495035,-0.22242090106010437,-0.30429989099502563,0.2388603687286377,0.3777984380722046,0,1,1,0
27,47,0.022352675409783307,-0.037222125136348046,0.043418068792163984,-0.22442075610160828,-0.3125177323818207,0.24242126941680908,0.3805117905139923,0,1,1,0
28,48,0.021567601926702346,-0.0314109202157549,0.03810258996012233,-0.2257801592350006,-0.31271666288375854,0.2406391203403473,0.37923067808151245,0,1,1,0
29,49,0.02073882504256777,-0.025348811397472894,0.03275150536098895,-0.22900670766830444,-0.31332436203956604,0.2433018684387207,0.3842318058013916,0,1,1,0
