t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
0,20,0.10155766775290023,-0.15097636200852832,0.18195554887042786,-0.05814184993505478,-0.5056467056274414,0.19252453744411469,0.3599579930305481,0,1,1,0
1,21,0.10058201414218376,-0.16445658864944146,0.1927763240626557,-0.05592600256204605,-0.5031452178955078,0.18702369928359985,0.334486186504364,0,1,1,0
2,22,0.09784882323068146,-0.17619077533471844,0.20153803988497648,-0.06104547530412674,-0.5028641223907471,0.19092759490013123,0.3182232975959778,0,1,1,0
3,23,0.0938735135186467,-0.18612850673420137,0.20846116559071423,-0.06493391841650009,-0.4974506199359894,0.18108154833316803,0.3391466736793518,0,1,1,0
4,24,0.088857900359647,-0.193672014569016,0.2130834946295609,-0.06275695562362671,-0.4925583600997925,0.17857153713703156,0.3398633897304535,0,1,1,0
5,25,0.08350077422178728,-0.19824776362371116,0.21511521349602578,-0.07961713522672653,-0.4822227358818054,0.1713326871395111,0.3222511410713196,0,1,1,0
6,26,0.0782834145036298,-0.19948291285841935,0.21429354985352883,-0.08595551550388336,-0.4722088575363159,0.17807292938232422,0.32977500557899475,0,1,1,0
7,27,0.07310522688317829,-0.19776748615551376,0.21084675187897087,-0.08809027820825577,-0.47840365767478943,0.18285632133483887,0.3421042561531067,0,1,1,0
8,28,0.06826764678583615,-0.19440258942273908,0.20604086578138267,-0.09038113802671432,-0.4645746946334839,0.1851576566696167,0.34576189517974854,0,1,1,0
9,29,0.06365309799273944,-0.19045902719187152,0.2008142373512081,-0.09940918534994125,-0.46382319927215576,0.18511180579662323,0.3508742153644562,0,1,1,0
10,30,0.05903144386780289,-0.18633060860534534,0.19545794194239322,-0.09810271114110947,-0.45036637783050537,0.18725621700286865,0.36484602093696594,0,1,1,0
11,31,0.05455112898757403,-0.18194772858874794,0.18994947120859174,-0.09939682483673096,-0.4436107277870178,0.18403330445289612,0.36368975043296814,0,1,1,0
12,32,0.05081082053466365,-0.17784581949746692,0.1849618203741826,-0.10810431092977524,-0.4265974760055542,0.17821446061134338,0.36455804109573364,0,1,1,0
13,33,0.047859946074685356,-0.17447157145104558,0.18091684189944587,-0.11420954018831253,-0.4313526749610901,0.1775638461112976,0.37989920377731323,0,1,1,0
14,34,0.04526096759761487,-0.17156688366601783,0.17743661053666812,-0.11521688848733902,-0.4231545627117157,0.1727799028158188,0.39976173639297485,0,1,1,0
15,35,0.04288690204184048,-0.16852345860191068,0.173894917884038,-0.12294713407754898,-0.4300539493560791,0.17960649728775024,0.3892703354358673,0,1,1,0
16,36,0.04010189903267394,-0.16381645885548837,0.16865347460986,-0.11012572050094604,-0.4006040096282959,0.1850457340478897,0.41040703654289246,0,1,1,0
17,37,0.03677457278113054,-0.1561699301784214,0.16044131729441666,-0.12079720944166183,-0.4043663740158081,0.18105873465538025,0.4138312041759491,0,1,1,0
18,38,0.03383861088367662,-0.1453208710366105,0.14920860278608625,-0.12612001597881317,-0.37897831201553345,0.1754910945892334,0.40057042241096497,0,1,1,0
19,39,0.031788890151398685,-0.13251741074354262,0.13627691545977433,-0.13867448270320892,-0.370192289352417,0.17614533007144928,0.39404594898223877,0,1,1,0
20,40,0.02975776493338235,-0.11858684483179459,0.12226350371631989,-0.14451147615909576,-0.38036656379699707,0.17553918063640594,0.39448606967926025,0,1,1,0
21,41,0.027667022377360906,-0.10369806598444511,0.10732545371971983,-0.14101335406303406,-0.35284942388534546,0.17638584971427917,0.3973269462585449,0,1,1,0
22,42,0.025875861843415338,-0.08896310802492138,0.09264985059671359,-0.15426094830036163,-0.3459705710411072,0.1769847720861435,0.39929449558258057,0,1,1,0
23,43,0.02458980580219633,-0.07497989735652547,0.07890908412207571,-0.15362314879894257,-0.3504917025566101,0.17916172742843628,0.4081071615219116,0,1,1,0
24,44,0.024132862450776976,-0.06249690066961497,0.06699445979613419,-0.1568422168493271,-0.34344643354415894,0.18444205820560455,0.41057801246643066,0,1,1,0
25,45,0.0237869561949047,-0.05192362595639851,0.0571128901166654,-0.1456710398197174,-0.3259173035621643,0.19176049530506134,0.41193485260009766,0,1,1,0
26,46,0.02306348575700895,-0.04362797690462882,0.04934900955495035,-0.1571376919746399,-0.34381914138793945,0.19408205151557922,0.4111010432243347,0,1,1,0
27,47,0.022352675409783307,-0.037222125136348046,0.043418068792163984,-0.15891526639461517,-0.3520985543727875,0.19786980748176575,0.4140796661376953,0,1,1,0
28,48,0.021567601926702346,-0.0314109202157549,0.03810258996012233,-0.16013391315937042,-0.352573037147522,0.19592410326004028,0.41237497329711914,0,1,1,0
29,49,0.02073882504256777,-0.025348811397472894,0.03275150536098895,-0.163549542427063,-0.352817177772522,0.19908538460731506,0.41669243574142456,0,1,1,0
