t,tk,gt_u,gt_v,gt_mag,P_t_u,P_t_v,P_tk_u,P_tk_v,P_t_u_sign_match,P_t_v_sign_match,P_tk_u_sign_match,P_tk_v_sign_match
0,20,0.10155766775290023,-0.15097636200852832,0.18195554887042786,0.1370599865913391,-0.10547943413257599,-0.007411584258079529,-0.08516757935285568,1,1,0,1
1,21,0.10058201414218376,-0.16445658864944146,0.1927763240626557,0.14767441153526306,-0.1056319922208786,-0.00882076844573021,-0.07842012494802475,1,1,0,1
2,22,0.09784882323068146,-0.17619077533471844,0.20153803988497648,0.14303119480609894,-0.09797053039073944,-0.01304268091917038,-0.09938879311084747,1,1,0,1
3,23,0.0938735135186467,-0.18612850673420137,0.20846116559071423,0.13840366899967194,-0.09462860226631165,-0.01983223296701908,-0.09499981999397278,1,1,0,1
4,24,0.088857900359647,-0.193672014569016,0.2130834946295609,0.13852542638778687,-0.09784319996833801,-0.0247904472053051,-0.07250863313674927,1,1,0,1
5,25,0.08350077422178728,-0.19824776362371116,0.21511521349602578,0.1380210816860199,-0.0894457995891571,-0.026382219046354294,-0.0881863385438919,1,1,0,1
6,26,0.0782834145036298,-0.19948291285841935,0.21429354985352883,0.136640265583992,-0.09697949886322021,-0.019546855241060257,-0.08188027143478394,1,1,0,1
7,27,0.07310522688317829,-0.19776748615551376,0.21084675187897087,0.12916825711727142,-0.0728204995393753,-0.01909497007727623,-0.08266955614089966,1,1,0,1
8,28,0.06826764678583615,-0.19440258942273908,0.20604086578138267,0.12032023817300797,-0.07548628747463226,-0.020037610083818436,-0.07468172907829285,1,1,0,1
9,29,0.06365309799273944,-0.19045902719187152,0.2008142373512081,0.12086435407400131,-0.07516150176525116,-0.023827791213989258,-0.06336614489555359,1,1,0,1
10,30,0.05903144386780289,-0.18633060860534534,0.19545794194239322,0.11204339563846588,-0.0681503415107727,-0.02324361354112625,-0.05867835879325867,1,1,0,1
11,31,0.05455112898757403,-0.18194772858874794,0.18994947120859174,0.11634624004364014,-0.05959261953830719,-0.02722027897834778,-0.04522748291492462,1,1,0,1
12,32,0.05081082053466365,-0.17784581949746692,0.1849618203741826,0.11589550971984863,-0.048471346497535706,-0.02401028573513031,-0.023004934191703796,1,1,0,1
13,33,0.047859946074685356,-0.17447157145104558,0.18091684189944587,0.1099143996834755,-0.0526597797870636,-0.022925034165382385,-0.03105895221233368,1,1,0,1
14,34,0.04526096759761487,-0.17156688366601783,0.17743661053666812,0.10835625231266022,-0.032459452748298645,-0.02045493945479393,-0.02029813826084137,1,1,0,1
15,35,0.04288690204184048,-0.16852345860191068,0.173894917884038,0.0968635082244873,-0.03472401201725006,-0.03330715000629425,-0.02485416829586029,1,1,0,1
16,36,0.04010189903267394,-0.16381645885548837,0.16865347460986,0.09017921984195709,-0.01925922930240631,-0.037587735801935196,-0.012302607297897339,1,1,0,1
17,37,0.03677457278113054,-0.1561699301784214,0.16044131729441666,0.08713861554861069,-0.007446497678756714,-0.031042711809277534,-0.006719842553138733,1,1,0,1
18,38,0.03383861088367662,-0.1453208710366105,0.14920860278608625,0.08466766029596329,0.0029068291187286377,-0.03853653743863106,-0.012548565864562988,1,0,0,1
19,39,0.031788890151398685,-0.13251741074354262,0.13627691545977433,0.09180290251970291,-0.007946878671646118,-0.033297717571258545,0.0001941472291946411,1,1,0,0
20,40,0.02975776493338235,-0.11858684483179459,0.12226350371631989,0.06911542266607285,0.016167283058166504,-0.03037216141819954,-0.0019735991954803467,1,0,0,1
21,41,0.027667022377360906,-0.10369806598444511,0.10732545371971983,0.07708892226219177,0.031427472829818726,-0.033544182777404785,-0.010136008262634277,1,0,0,1
22,42,0.025875861843415338,-0.08896310802492138,0.09264985059671359,0.07890871167182922,0.043325841426849365,-0.03904049098491669,-0.001347079873085022,1,0,0,1
23,43,0.02458980580219633,-0.07497989735652547,0.07890908412207571,0.06625906378030777,0.04373188316822052,-0.03293214738368988,-0.011046886444091797,1,0,0,1
24,44,0.024132862450776976,-0.06249690066961497,0.06699445979613419,0.07821163535118103,0.048601001501083374,-0.03325849026441574,-0.007425576448440552,1,0,0,1
25,45,0.0237869561949047,-0.05192362595639851,0.0571128901166654,0.06947875767946243,0.051259368658065796,-0.02626742422580719,-0.006519883871078491,1,0,0,1
26,46,0.02306348575700895,-0.04362797690462882,0.04934900955495035,0.05025816708803177,0.045581966638565063,-0.020765401422977448,-0.010262787342071533,1,0,0,1
27,47,0.022352675409783307,-0.037222125136348046,0.043418068792163984,0.050573911517858505,0.05550701916217804,-0.030020389705896378,-0.019635066390037537,1,0,0,1
28,48,0.021567601926702346,-0.0314109202157549,0.03810258996012233,0.0513969250023365,0.054632872343063354,-0.020001184195280075,-0.017263486981391907,1,0,0,1
29,49,0.02073882504256777,-0.025348811397472894,0.03275150536098895,0.05700618401169777,0.04507717490196228,-0.02998516336083412,-0.025530651211738586,1,0,0,1
30,50,0.019966650393049457,-0.018912163972313066,0.02750158311868461,0.05155893787741661,0.0325152724981308,-0.023451916873455048,-0.019756391644477844,1,0,0,1
31,51,0.019130527018488608,-0.011868221003436808,0.022512923705985885,0.056240446865558624,0.023003727197647095,-0.014805879443883896,-0.012092307209968567,1,0,0,1
32,52,0.017643842372736945,-0.003351453097646735,0.017959326589260343,0.05511617660522461,0.002994433045387268,-0.017288316041231155,-0.003399670124053955,1,0,0,1
33,53,0.015435684100549879,0.006817060332643647,0.01687402308967461,0.045084573328495026,0.0004338473081588745,-0.018675271421670914,-0.00235670804977417,1,1,0,0
